year,sex,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,male,Daily,0.18574,2960,11483,0.17862,0.19285
2013,male,At least once per week,0.08496,1289,11483,0.07986,0.09006
2013,male,At least once per month,0.02400,358,11483,0.02120,0.02680
2013,male,Seldom,0.06496,1020,11483,0.06045,0.06947
2013,male,Never,0.38782,5856,11483,0.37891,0.39673
2013,female,Daily,0.18457,3901,13872,0.17812,0.19103
2013,female,At least once per week,0.07839,1629,13872,0.07392,0.08287
2013,female,At least once per month,0.01952,365,13872,0.01722,0.02182
2013,female,Seldom,0.04839,970,13872,0.04482,0.05197
2013,female,Never,0.43521,7007,13872,0.42696,0.44346
2017,male,Daily,0.00486,1500,2262,0.00200,0.00773
2017,male,At least once per week,0.00111,369,2262,-0.00026,0.00249
2017,male,At least once per month,0.00022,56,2262,-0.00039,0.00083
2017,male,Seldom,0.00039,125,2262,-0.00042,0.00120
2017,male,Never,0.00074,212,2262,-0.00038,0.00186
2017,female,Daily,0.00213,914,1703,-0.00006,0.00432
2017,female,At least once per week,0.00060,274,1703,-0.00056,0.00177
2017,female,At least once per month,0.00013,45,1703,-0.00041,0.00067
2017,female,Seldom,0.00025,108,1703,-0.00050,0.00101
2017,female,Never,0.00083,362,1703,-0.00054,0.00220
2018,male,Daily,0.00544,1322,1888,0.00212,0.00875
2018,male,At least once per week,0.00104,302,1888,-0.00041,0.00250
2018,male,At least once per month,0.00021,58,1888,-0.00044,0.00085
2018,male,Seldom,0.00028,83,1888,-0.00048,0.00104
2018,male,Never,0.00049,123,1888,-0.00051,0.00148
2018,female,Daily,0.00225,769,1294,-0.00033,0.00483
2018,female,At least once per week,0.00061,210,1294,-0.00074,0.00195
2018,female,At least once per month,0.00011,42,1294,-0.00047,0.00069
2018,female,Seldom,0.00021,69,1294,-0.00058,0.00100
2018,female,Never,0.00058,204,1294,-0.00073,0.00190
2019,male,Daily,0.00636,1353,1814,0.00270,0.01003
2019,male,At least once per week,0.00127,286,1814,-0.00037,0.00292
2019,male,Seldom,0.00030,76,1814,-0.00050,0.00110
2019,male,Never,0.00044,99,1814,-0.00053,0.00140
2019,female,Daily,0.00260,798,1257,-0.00021,0.00542
2019,female,At least once per week,0.00067,188,1257,-0.00076,0.00211
2019,female,At least once per month,0.00010,31,1257,-0.00044,0.00064
2019,female,Seldom,0.00029,86,1257,-0.00065,0.00124
2019,female,Never,0.00056,154,1257,-0.00075,0.00187
