"pli0165","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","2013","(noch) kein Abschluss","männlich","223","0.497046578738251","0.446441409113225","0.547651748363277"
"Täglich","2013","(noch) kein Abschluss","weiblich","242","0.447204640335978","0.400155164444786","0.49425411622717"
"Täglich","2013","Hauptschule","männlich","743","0.17669601293282","0.164404667910488","0.188987357955151"
"Täglich","2013","Hauptschule","weiblich","755","0.129514702410015","0.119066123019101","0.139963281800929"
"Täglich","2013","Realschule","männlich","772","0.27130984303749","0.254808166856209","0.28781151921877"
"Täglich","2013","Realschule","weiblich","1315","0.272171699174371","0.25899224525205","0.285351153096691"
"Täglich","2013","(Fach-)Abitur","männlich","501","0.40532038603644","0.378795049930848","0.431845722142031"
"Täglich","2013","(Fach-)Abitur","weiblich","739","0.401364663963399","0.379541287409185","0.423188040517614"
"Täglich","2013","AkademikerIn","männlich","543","0.200969732903022","0.186538530864994","0.215400934941049"
"Täglich","2013","AkademikerIn","weiblich","648","0.232478745181848","0.216943226663361","0.248014263700335"
"Min 1x pro Woche","2013","(noch) kein Abschluss","männlich","38","0.114014638370602","0.0818464919088204","0.146182784832384"
"Min 1x pro Woche","2013","(noch) kein Abschluss","weiblich","48","0.118125873316364","0.0875840288214701","0.148667717811258"
"Min 1x pro Woche","2013","Hauptschule","männlich","373","0.095116234430033","0.0856619285752051","0.104570540284861"
"Min 1x pro Woche","2013","Hauptschule","weiblich","350","0.0669030442974777","0.0591279920337618","0.0746780965611936"
"Min 1x pro Woche","2013","Realschule","männlich","308","0.119554214735772","0.107513352460615","0.131595077010929"
"Min 1x pro Woche","2013","Realschule","weiblich","589","0.134699817468042","0.124590347983076","0.144809286953007"
"Min 1x pro Woche","2013","(Fach-)Abitur","männlich","166","0.137943756990494","0.119312636602125","0.156574877378864"
"Min 1x pro Woche","2013","(Fach-)Abitur","weiblich","237","0.100662781587731","0.0872670341276099","0.114058529047852"
"Min 1x pro Woche","2013","AkademikerIn","männlich","356","0.116526434094901","0.104971577177651","0.128081291012151"
"Min 1x pro Woche","2013","AkademikerIn","weiblich","382","0.118409259848652","0.106526556252337","0.130291963444967"
"Min 1x pro Monat","2013","(noch) kein Abschluss","männlich","8","","",""
"Min 1x pro Monat","2013","(noch) kein Abschluss","weiblich","7","","",""
"Min 1x pro Monat","2013","Hauptschule","männlich","86","0.0257089244614557","0.020608665334492","0.0308091835884194"
"Min 1x pro Monat","2013","Hauptschule","weiblich","93","0.0203213712391498","0.0159306555851147","0.024712086893185"
"Min 1x pro Monat","2013","Realschule","männlich","104","0.0322084955721646","0.0256561022882421","0.038760888856087"
"Min 1x pro Monat","2013","Realschule","weiblich","116","0.0257592005461393","0.0210682504682496","0.0304501506240291"
