year,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Daily,0.18514,6861,25355,0.18036,0.18992
2013,At least once per week,0.08162,2918,25355,0.07825,0.08499
2013,At least once per month,0.02172,723,25355,0.01992,0.02351
2013,Seldom,0.05652,1990,25355,0.05368,0.05937
2013,Never,0.41194,12863,25355,0.40589,0.41800
2017,Daily,0.00348,2414,3965,0.00165,0.00532
2017,At least once per week,0.00086,643,3965,-0.00005,0.00177
2017,At least once per month,0.00017,101,3965,-0.00024,0.00059
2017,Seldom,0.00032,233,3965,-0.00024,0.00088
2017,Never,0.00079,574,3965,-0.00009,0.00166
2018,Daily,0.00383,2091,3182,0.00168,0.00597
2018,At least once per week,0.00082,512,3182,-0.00017,0.00182
2018,At least once per month,0.00016,100,3182,-0.00028,0.00060
2018,Seldom,0.00024,152,3182,-0.00030,0.00079
2018,Never,0.00054,327,3182,-0.00027,0.00134
2019,Daily,0.00446,2151,3099,0.00212,0.00681
2019,At least once per week,0.00097,474,3099,-0.00013,0.00207
2019,At least once per month,0.00010,59,3099,-0.00025,0.00045
2019,Seldom,0.00030,162,3099,-0.00031,0.00090
2019,Never,0.00050,253,3099,-0.00029,0.00129
