"pli0091_h","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","17-34","kein Migrationshintergrund","","","",""
"Taeglich","1985","17-34","direkter Migrationshintergrund","","","",""
"Taeglich","1985","17-34","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","35-65","kein Migrationshintergrund","","","",""
"Taeglich","1985","35-65","direkter Migrationshintergrund","","","",""
"Taeglich","1985","35-65","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1985","66 +","kein Migrationshintergrund","","","",""
"Taeglich","1985","66 +","direkter Migrationshintergrund","","","",""
"Taeglich","1985","66 +","indirekter Migrationshintergrund","","","",""
"Taeglich","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","17-34","kein Migrationshintergrund","615","0.218759348466638","0.203668922563533","0.233849774369743"
"Min 1x pro Woche","1985","17-34","direkter Migrationshintergrund","168","","",""
"Min 1x pro Woche","1985","17-34","indirekter Migrationshintergrund","37","0.278281558301766","0.197421657901963","0.35914145870157"
"Min 1x pro Woche","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","35-65","kein Migrationshintergrund","144","","",""
"Min 1x pro Woche","1985","35-65","direkter Migrationshintergrund","57","0.0343851850651865","0.0257436320022869","0.0430267381280861"
"Min 1x pro Woche","1985","35-65","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1985","66 +","kein Migrationshintergrund","13","","",""
"Min 1x pro Woche","1985","66 +","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","66 +","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","17-34","kein Migrationshintergrund","783","0.280978716370789","0.264571558575881","0.297385874165698"
"Min 1x pro Monat","1985","17-34","direkter Migrationshintergrund","200","","",""
"Min 1x pro Monat","1985","17-34","indirekter Migrationshintergrund","34","0.251621149096559","0.173324818154706","0.329917480038412"
"Min 1x pro Monat","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","35-65","kein Migrationshintergrund","306","0.073521211837626","0.0653924468688712","0.0816499768063808"
"Min 1x pro Monat","1985","35-65","direkter Migrationshintergrund","124","","",""
"Min 1x pro Monat","1985","35-65","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1985","66 +","kein Migrationshintergrund","13","","",""
"Min 1x pro Monat","1985","66 +","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","66 +","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","17-34","kein Migrationshintergrund","1109","","",""
"Seltener","1985","17-34","direkter Migrationshintergrund","332","0.296214690403743","0.26959320621003","0.322836174597455"
"Seltener","1985","17-34","indirekter Migrationshintergrund","31","0.311238990062337","0.227700164932921","0.394777815191754"
"Seltener","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","35-65","kein Migrationshintergrund","1507","","",""
"Seltener","1985","35-65","direkter Migrationshintergrund","389","0.278050631120562","0.256802561975102","0.299298700266023"
"Seltener","1985","35-65","indirekter Migrationshintergrund","5","0.362660905382057","0.140561452493378","0.584760358270736"
"Seltener","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1985","66 +","kein Migrationshintergrund","79","0.0701382035132384","0.0546692379859626","0.0856071690405142"
"Seltener","1985","66 +","direkter Migrationshintergrund","5","0.0992247700645783","0.00289389682900006","0.195555643300157"
"Seltener","1985","66 +","indirekter Migrationshintergrund","1","","",""
"Seltener","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","17-34","kein Migrationshintergrund","376","0.122625423931975","0.110652270344582","0.134598577519367"
"Nie","1985","17-34","direkter Migrationshintergrund","430","0.342237918756718","0.314574404567586","0.369901432945851"
"Nie","1985","17-34","indirekter Migrationshintergrund","16","","",""
"Nie","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","35-65","kein Migrationshintergrund","2003","","",""
"Nie","1985","35-65","direkter Migrationshintergrund","1138","","",""
"Nie","1985","35-65","indirekter Migrationshintergrund","12","","",""
"Nie","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1985","66 +","kein Migrationshintergrund","942","0.907477541365583","0.889925959037977","0.925029123693189"
"Nie","1985","66 +","direkter Migrationshintergrund","32","0.900775229935422","0.804444356699843","0.997106103171"
"Nie","1985","66 +","indirekter Migrationshintergrund","2","","",""
"Nie","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","17-34","kein Migrationshintergrund","","","",""
"Taeglich","1986","17-34","direkter Migrationshintergrund","","","",""
"Taeglich","1986","17-34","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1986","35-65","kein Migrationshintergrund","","","",""
"Taeglich","1986","35-65","direkter Migrationshintergrund","","","",""
"Taeglich","1986","35-65","indirekter Migrationshintergrund","","","",""
"Taeglich","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
