"party","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"keine Parteineigung","1984","(noch) kein Abschluss","Schleswig-Holstein","10","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Hamburg","20","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Niedersachsen","78","0.789568794506896","0.708030329031276","0.871107259982516"
"keine Parteineigung","1984","(noch) kein Abschluss","Bremen","5","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Nordrhein-Westfalen","270","0.611963798874027","0.564387072509973","0.659540525238081"
"keine Parteineigung","1984","(noch) kein Abschluss","Hessen","90","0.572791647950948","0.491141544294283","0.654441751607614"
"keine Parteineigung","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","46","0.462933403332218","0.349326280428369","0.576540526236066"
"keine Parteineigung","1984","(noch) kein Abschluss","Baden-Wuerttemberg","264","0.799795311271971","0.756881073152208","0.842709549391734"
"keine Parteineigung","1984","(noch) kein Abschluss","Bayern","95","0.66613264357223","0.585375717300979","0.746889569843481"
"keine Parteineigung","1984","(noch) kein Abschluss","Saarland","","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Berlin","37","0.682720355615687","0.551055458762997","0.814385252468377"
"keine Parteineigung","1984","(noch) kein Abschluss","Brandenburg","","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Sachsen","","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"keine Parteineigung","1984","(noch) kein Abschluss","Thueringen","","","",""
"keine Parteineigung","1984","Hauptschule","Schleswig-Holstein","68","0.294621055949044","0.235054845898966","0.354187265999123"
"keine Parteineigung","1984","Hauptschule","Hamburg","71","0.410390726553237","0.3344077898019","0.486373663304575"
"keine Parteineigung","1984","Hauptschule","Niedersachsen","315","0.38234555312272","0.347284842190594","0.417406264054847"
"keine Parteineigung","1984","Hauptschule","Bremen","36","0.320490099777463","0.225131606391699","0.415848593163226"
"keine Parteineigung","1984","Hauptschule","Nordrhein-Westfalen","807","0.377675352181078","0.355625282735899","0.399725421626257"
"keine Parteineigung","1984","Hauptschule","Hessen","318","0.370526897794667","0.334699205266122","0.406354590323211"
"keine Parteineigung","1984","Hauptschule","Rheinland-Pfalz,Saarland","278","0.461594526790535","0.421436506387108","0.501752547193962"
