"party","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"keine Parteineigung","1985","17-34","Staedtischer Raum","1807","0.504279648658654","0.487179471410435","0.521379825906873"
"keine Parteineigung","1985","17-34","Laendlicher Raum","488","0.544280293986626","0.510955716124265","0.577604871848987"
"keine Parteineigung","1985","35-65","Staedtischer Raum","1993","0.363645068717787","0.349602560212297","0.377687577223276"
"keine Parteineigung","1985","35-65","Laendlicher Raum","497","0.368365107033787","0.341163978457988","0.395566235609586"
"keine Parteineigung","1985","66 +","Staedtischer Raum","310","0.384908684530023","0.351317198034449","0.418500171025597"
"keine Parteineigung","1985","66 +","Laendlicher Raum","113","0.400647399419784","0.344345381896784","0.456949416942784"
"SPD","1985","17-34","Staedtischer Raum","760","0.23257313942114","0.218123906486545","0.247022372355736"
"SPD","1985","17-34","Laendlicher Raum","160","0.180124092545702","0.154410402041501","0.205837783049903"
"SPD","1985","35-65","Staedtischer Raum","1306","0.305405490209077","0.29196050804415","0.318850472374005"
"SPD","1985","35-65","Laendlicher Raum","302","0.253437603485342","0.22890841354844","0.277966793422245"
"SPD","1985","66 +","Staedtischer Raum","207","0.261179481768318","0.230853171632945","0.29150579190369"
"SPD","1985","66 +","Laendlicher Raum","62","0.213475471243984","0.166395984172017","0.260554958315952"
"CDU/CSU","1985","17-34","Staedtischer Raum","413","0.157411630534534","0.144955801011329","0.16986746005774"
"CDU/CSU","1985","17-34","Laendlicher Raum","156","0.208304979445569","0.181132252187134","0.235477706704004"
"CDU/CSU","1985","35-65","Staedtischer Raum","1006","0.27925877262873","0.266162454014123","0.292355091243337"
"CDU/CSU","1985","35-65","Laendlicher Raum","374","0.348017868211861","0.321156183832862","0.37487955259086"
"CDU/CSU","1985","66 +","Staedtischer Raum","256","0.310238494927439","0.278302688361628","0.34217430149325"
"CDU/CSU","1985","66 +","Laendlicher Raum","107","0.350138803373266","0.295332309353853","0.404945297392679"
"FDP","1985","17-34","Staedtischer Raum","36","0.0128266371005631","0.00897806493375933","0.016675209267367"
"FDP","1985","17-34","Laendlicher Raum","","","",""
"FDP","1985","35-65","Staedtischer Raum","96","0.0270316079163121","0.0222974641428791","0.0317657516897451"
"FDP","1985","35-65","Laendlicher Raum","","","",""
"FDP","1985","66 +","Staedtischer Raum","","","",""
"FDP","1985","66 +","Laendlicher Raum","","","",""
"Grüne","1985","17-34","Staedtischer Raum","259","0.0892663100231549","0.0795144825469207","0.0990181374993892"
"Grüne","1985","17-34","Laendlicher Raum","40","0.0506831525382202","0.0360059985227937","0.0653603065536466"
"Grüne","1985","35-65","Staedtischer Raum","94","0.0207942023923878","0.0166287300160764","0.0249596747686991"
"Grüne","1985","35-65","Laendlicher Raum","","","",""
"Grüne","1985","66 +","Staedtischer Raum","","","",""
"Grüne","1985","66 +","Laendlicher Raum","","","",""
"Linke","1985","17-34","Staedtischer Raum","","","",""
"Linke","1985","17-34","Laendlicher Raum","","","",""
"Linke","1985","35-65","Staedtischer Raum","","","",""
"Linke","1985","35-65","Laendlicher Raum","","","",""
"Linke","1985","66 +","Staedtischer Raum","","","",""
"Linke","1985","66 +","Laendlicher Raum","","","",""
"Rechte","1985","17-34","Staedtischer Raum","","","",""
"Rechte","1985","17-34","Laendlicher Raum","","","",""
"Rechte","1985","35-65","Staedtischer Raum","","","",""
"Rechte","1985","35-65","Laendlicher Raum","","","",""
"Rechte","1985","66 +","Staedtischer Raum","","","",""
"Rechte","1985","66 +","Laendlicher Raum","","","",""
"AfD","1985","17-34","Staedtischer Raum","","","",""
"AfD","1985","17-34","Laendlicher Raum","","","",""
"AfD","1985","35-65","Staedtischer Raum","","","",""
"AfD","1985","35-65","Laendlicher Raum","","","",""
"AfD","1985","66 +","Staedtischer Raum","","","",""
"AfD","1985","66 +","Laendlicher Raum","","","",""
"Andere","1985","17-34","Staedtischer Raum","","","",""
"Andere","1985","17-34","Laendlicher Raum","","","",""
"Andere","1985","35-65","Staedtischer Raum","","","",""
"Andere","1985","35-65","Laendlicher Raum","","","",""
"Andere","1985","66 +","Staedtischer Raum","","","",""
"Andere","1985","66 +","Laendlicher Raum","","","",""
"keine Parteineigung","1986","17-34","Staedtischer Raum","1820","0.513794853194314","0.496523466364423","0.531066240024206"
"keine Parteineigung","1986","17-34","Laendlicher Raum","475","0.549592313987606","0.515906324914439","0.583278303060774"
"keine Parteineigung","1986","35-65","Staedtischer Raum","1874","0.357725450318515","0.343385306380257","0.372065594256773"
"keine Parteineigung","1986","35-65","Laendlicher Raum","466","0.360307446129805","0.332414189251141","0.38820070300847"
"keine Parteineigung","1986","66 +","Staedtischer Raum","304","0.387450786927136","0.35272389143676","0.422177682417511"
"keine Parteineigung","1986","66 +","Laendlicher Raum","111","0.405692623773064","0.346684556695347","0.464700690850781"
"SPD","1986","17-34","Staedtischer Raum","726","0.233976838455539","0.219347322889531","0.248606354021547"
"SPD","1986","17-34","Laendlicher Raum","162","0.190437011550908","0.163852598078834","0.217021425022983"
"SPD","1986","35-65","Staedtischer Raum","1250","0.305777141121198","0.291993301949465","0.31956098029293"
"SPD","1986","35-65","Laendlicher Raum","289","0.267098618890603","0.241392556857643","0.292804680923562"
"SPD","1986","66 +","Staedtischer Raum","195","0.267016089959781","0.235480342434447","0.298551837485116"
"SPD","1986","66 +","Laendlicher Raum","61","0.22980819906742","0.179250246526693","0.280366151608148"
"CDU/CSU","1986","17-34","Staedtischer Raum","395","0.152204086449145","0.13979095437109","0.1646172185272"
"CDU/CSU","1986","17-34","Laendlicher Raum","148","0.196684381856677","0.16977187678775","0.223596886925604"
"CDU/CSU","1986","35-65","Staedtischer Raum","992","0.287401510359608","0.273862553444367","0.30094046727485"
"CDU/CSU","1986","35-65","Laendlicher Raum","351","0.345693539451547","0.318061483739315","0.373325595163778"
"CDU/CSU","1986","66 +","Staedtischer Raum","225","0.306449867980514","0.273586971260741","0.339312764700287"
"CDU/CSU","1986","66 +","Laendlicher Raum","83","0.311314478133467","0.255670597728768","0.366958358538166"
"FDP","1986","17-34","Staedtischer Raum","","","",""
"FDP","1986","17-34","Laendlicher Raum","","","",""
"FDP","1986","35-65","Staedtischer Raum","84","0.0246698259743681","0.0200291942196638","0.0293104577290724"
"FDP","1986","35-65","Laendlicher Raum","","","",""
"FDP","1986","66 +","Staedtischer Raum","","","",""
"FDP","1986","66 +","Laendlicher Raum","","","",""
"Grüne","1986","17-34","Staedtischer Raum","242","0.0875729640949243","0.0778049414444548","0.0973409867453939"
"Grüne","1986","17-34","Laendlicher Raum","42","0.0477296499315025","0.0332951967099376","0.0621641031530673"
"Grüne","1986","35-65","Staedtischer Raum","78","0.02013807996767","0.0159355607798377","0.0243405991555022"
"Grüne","1986","35-65","Laendlicher Raum","","","",""
"Grüne","1986","66 +","Staedtischer Raum","","","",""
"Grüne","1986","66 +","Laendlicher Raum","","","",""
"Linke","1986","17-34","Staedtischer Raum","","","",""
"Linke","1986","17-34","Laendlicher Raum","","","",""
"Linke","1986","35-65","Staedtischer Raum","","","",""
"Linke","1986","35-65","Laendlicher Raum","","","",""
"Linke","1986","66 +","Staedtischer Raum","","","",""
"Linke","1986","66 +","Laendlicher Raum","","","",""
"Rechte","1986","17-34","Staedtischer Raum","","","",""
"Rechte","1986","17-34","Laendlicher Raum","","","",""
"Rechte","1986","35-65","Staedtischer Raum","","","",""
"Rechte","1986","35-65","Laendlicher Raum","","","",""
"Rechte","1986","66 +","Staedtischer Raum","","","",""
"Rechte","1986","66 +","Laendlicher Raum","","","",""
"AfD","1986","17-34","Staedtischer Raum","","","",""
"AfD","1986","17-34","Laendlicher Raum","","","",""
"AfD","1986","35-65","Staedtischer Raum","","","",""
"AfD","1986","35-65","Laendlicher Raum","","","",""
"AfD","1986","66 +","Staedtischer Raum","","","",""
"AfD","1986","66 +","Laendlicher Raum","","","",""
"Andere","1986","17-34","Staedtischer Raum","","","",""
"Andere","1986","17-34","Laendlicher Raum","","","",""
"Andere","1986","35-65","Staedtischer Raum","","","",""
"Andere","1986","35-65","Laendlicher Raum","","","",""
"Andere","1986","66 +","Staedtischer Raum","","","",""
"Andere","1986","66 +","Laendlicher Raum","","","",""
"keine Parteineigung","1987","17-34","Staedtischer Raum","1656","0.46615315167536","0.448784759157901","0.483521544192819"
"keine Parteineigung","1987","17-34","Laendlicher Raum","422","0.467429726809433","0.433486301190659","0.501373152428207"
"keine Parteineigung","1987","35-65","Staedtischer Raum","1711","0.308142847111663","0.294183900084303","0.322101794139023"
"keine Parteineigung","1987","35-65","Laendlicher Raum","414","0.315536716981035","0.288234335019648","0.342839098942422"
"keine Parteineigung","1987","66 +","Staedtischer Raum","273","0.329387629536723","0.296593280698496","0.362181978374949"
"keine Parteineigung","1987","66 +","Laendlicher Raum","99","0.348652219139105","0.291915250115043","0.405389188163168"
"SPD","1987","17-34","Staedtischer Raum","695","0.220100629219692","0.205675593459655","0.234525664979728"
"SPD","1987","17-34","Laendlicher Raum","154","0.184511152177058","0.158121761150697","0.210900543203419"
"SPD","1987","35-65","Staedtischer Raum","1202","0.310580740256939","0.296591395850897","0.324570084662981"
"SPD","1987","35-65","Laendlicher Raum","283","0.263435041116301","0.237556320192088","0.289313762040515"
"SPD","1987","66 +","Staedtischer Raum","218","0.287236259152781","0.255664264565502","0.318808253740061"
"SPD","1987","66 +","Laendlicher Raum","56","0.216679538916545","0.167629186459343","0.265729891373747"
"CDU/CSU","1987","17-34","Staedtischer Raum","485","0.190722474161087","0.177044031715713","0.204400916606461"
"CDU/CSU","1987","17-34","Laendlicher Raum","186","0.264970624254952","0.234947197638677","0.294994050871227"
"CDU/CSU","1987","35-65","Staedtischer Raum","1026","0.308452073807955","0.294489245914907","0.322414901701002"
"CDU/CSU","1987","35-65","Laendlicher Raum","355","0.366610476868655","0.338300573789036","0.394920379948274"
"CDU/CSU","1987","66 +","Staedtischer Raum","257","0.325941763992566","0.293235698281034","0.358647829704098"
"CDU/CSU","1987","66 +","Laendlicher Raum","103","0.380212594616896","0.322416556557384","0.438008632676409"
"FDP","1987","17-34","Staedtischer Raum","45","0.0190731746921794","0.0143108744715","0.0238354749128589"
"FDP","1987","17-34","Laendlicher Raum","","","",""
"FDP","1987","35-65","Staedtischer Raum","138","0.0417222990846334","0.035677272666999","0.0477673255022679"
"FDP","1987","35-65","Laendlicher Raum","32","0.0308706676723445","0.020709013998906","0.041032321345783"
"FDP","1987","66 +","Staedtischer Raum","34","0.0464620601118538","0.0317752388541277","0.0611488813695799"
"FDP","1987","66 +","Laendlicher Raum","","","",""
"Grüne","1987","17-34","Staedtischer Raum","276","0.0989135586986694","0.088519190124137","0.109307927273202"
"Grüne","1987","17-34","Laendlicher Raum","49","0.0561788398548617","0.040513483344856","0.0718441963648675"
"Grüne","1987","35-65","Staedtischer Raum","115","0.0277288336767666","0.0227648779355839","0.0326927894179494"
"Grüne","1987","35-65","Laendlicher Raum","","","",""
"Grüne","1987","66 +","Staedtischer Raum","","","",""
"Grüne","1987","66 +","Laendlicher Raum","","","",""
"Linke","1987","17-34","Staedtischer Raum","","","",""
"Linke","1987","17-34","Laendlicher Raum","","","",""
"Linke","1987","35-65","Staedtischer Raum","","","",""
"Linke","1987","35-65","Laendlicher Raum","","","",""
"Linke","1987","66 +","Staedtischer Raum","","","",""
"Linke","1987","66 +","Laendlicher Raum","","","",""
"Rechte","1987","17-34","Staedtischer Raum","","","",""
"Rechte","1987","17-34","Laendlicher Raum","","","",""
"Rechte","1987","35-65","Staedtischer Raum","","","",""
"Rechte","1987","35-65","Laendlicher Raum","","","",""
"Rechte","1987","66 +","Staedtischer Raum","","","",""
"Rechte","1987","66 +","Laendlicher Raum","","","",""
"AfD","1987","17-34","Staedtischer Raum","","","",""
"AfD","1987","17-34","Laendlicher Raum","","","",""
"AfD","1987","35-65","Staedtischer Raum","","","",""
"AfD","1987","35-65","Laendlicher Raum","","","",""
"AfD","1987","66 +","Staedtischer Raum","","","",""
"AfD","1987","66 +","Laendlicher Raum","","","",""
"Andere","1987","17-34","Staedtischer Raum","","","",""
"Andere","1987","17-34","Laendlicher Raum","","","",""
"Andere","1987","35-65","Staedtischer Raum","","","",""
"Andere","1987","35-65","Laendlicher Raum","","","",""
"Andere","1987","66 +","Staedtischer Raum","","","",""
"Andere","1987","66 +","Laendlicher Raum","","","",""
"keine Parteineigung","1988","17-34","Staedtischer Raum","1695","0.498084564576561","0.480319616912173","0.51584951224095"
"keine Parteineigung","1988","17-34","Laendlicher Raum","453","0.5466462720615","0.511575170930674","0.581717373192325"
"keine Parteineigung","1988","35-65","Staedtischer Raum","1757","0.352754876535382","0.337963759634265","0.367545993436499"
"keine Parteineigung","1988","35-65","Laendlicher Raum","424","0.340095032245295","0.311426781792236","0.368763282698355"
"keine Parteineigung","1988","66 +","Staedtischer Raum","276","0.342452868675829","0.309000860669349","0.375904876682309"
"keine Parteineigung","1988","66 +","Laendlicher Raum","104","0.392130684347266","0.332206997587753","0.452054371106779"
"SPD","1988","17-34","Staedtischer Raum","712","0.240866929170952","0.225673889968035","0.256059968373868"
"SPD","1988","17-34","Laendlicher Raum","138","0.193360681387865","0.165537845873742","0.221183516901988"
"SPD","1988","35-65","Staedtischer Raum","1179","0.318044206665654","0.303627969479571","0.332460443851736"
"SPD","1988","35-65","Laendlicher Raum","288","0.293770104000251","0.266206424308989","0.321333783691513"
"SPD","1988","66 +","Staedtischer Raum","216","0.288929041794349","0.256976131996457","0.320881951592241"
"SPD","1988","66 +","Laendlicher Raum","58","0.247027391690224","0.19409272948509","0.299962053895358"
"CDU/CSU","1988","17-34","Staedtischer Raum","376","0.153193069735177","0.140396048928977","0.165990090541377"
"CDU/CSU","1988","17-34","Laendlicher Raum","141","0.202106236023278","0.173815776416519","0.230396695630038"
"CDU/CSU","1988","35-65","Staedtischer Raum","865","0.268476018032657","0.254757819112712","0.282194216952603"
"CDU/CSU","1988","35-65","Laendlicher Raum","295","0.32733358631557","0.298937695134111","0.35572947749703"
"CDU/CSU","1988","66 +","Staedtischer Raum","245","0.321270765548687","0.288352099663855","0.354189431433519"
"CDU/CSU","1988","66 +","Laendlicher Raum","82","0.308619091659935","0.251923657342268","0.365314525977603"
"FDP","1988","17-34","Staedtischer Raum","42","0.0184535507173613","0.0136717385318101","0.0232353629029125"
"FDP","1988","17-34","Laendlicher Raum","","","",""
"FDP","1988","35-65","Staedtischer Raum","100","0.0304609440534961","0.0251412776734434","0.0357806104335489"
"FDP","1988","35-65","Laendlicher Raum","","","",""
"FDP","1988","66 +","Staedtischer Raum","","","",""
"FDP","1988","66 +","Laendlicher Raum","","","",""
"Grüne","1988","17-34","Staedtischer Raum","208","0.0846143055988437","0.0747260183780592","0.0945025928196281"
"Grüne","1988","17-34","Laendlicher Raum","","","",""
"Grüne","1988","35-65","Staedtischer Raum","88","0.0234086696497516","0.0187283570410916","0.0280889822584116"
"Grüne","1988","35-65","Laendlicher Raum","","","",""
"Grüne","1988","66 +","Staedtischer Raum","","","",""
"Grüne","1988","66 +","Laendlicher Raum","","","",""
"Linke","1988","17-34","Staedtischer Raum","","","",""
"Linke","1988","17-34","Laendlicher Raum","","","",""
"Linke","1988","35-65","Staedtischer Raum","","","",""
"Linke","1988","35-65","Laendlicher Raum","","","",""
"Linke","1988","66 +","Staedtischer Raum","","","",""
"Linke","1988","66 +","Laendlicher Raum","","","",""
"Rechte","1988","17-34","Staedtischer Raum","","","",""
"Rechte","1988","17-34","Laendlicher Raum","","","",""
"Rechte","1988","35-65","Staedtischer Raum","","","",""
"Rechte","1988","35-65","Laendlicher Raum","","","",""
"Rechte","1988","66 +","Staedtischer Raum","","","",""
"Rechte","1988","66 +","Laendlicher Raum","","","",""
"AfD","1988","17-34","Staedtischer Raum","","","",""
"AfD","1988","17-34","Laendlicher Raum","","","",""
"AfD","1988","35-65","Staedtischer Raum","","","",""
"AfD","1988","35-65","Laendlicher Raum","","","",""
"AfD","1988","66 +","Staedtischer Raum","","","",""
"AfD","1988","66 +","Laendlicher Raum","","","",""
"Andere","1988","17-34","Staedtischer Raum","","","",""
"Andere","1988","17-34","Laendlicher Raum","","","",""
"Andere","1988","35-65","Staedtischer Raum","","","",""
"Andere","1988","35-65","Laendlicher Raum","","","",""
"Andere","1988","66 +","Staedtischer Raum","","","",""
"Andere","1988","66 +","Laendlicher Raum","","","",""
"keine Parteineigung","1989","17-34","Staedtischer Raum","1687","0.526284620222028","0.508384571409386","0.544184669034669"
"keine Parteineigung","1989","17-34","Laendlicher Raum","448","0.591369207180383","0.555830688621604","0.626907725739163"
"keine Parteineigung","1989","35-65","Staedtischer Raum","1696","0.370234045261818","0.355028708316651","0.385439382206986"
"keine Parteineigung","1989","35-65","Laendlicher Raum","409","0.356541369568651","0.326644555338552","0.386438183798751"
"keine Parteineigung","1989","66 +","Staedtischer Raum","274","0.346010457146134","0.312011219045779","0.38000969524649"
"keine Parteineigung","1989","66 +","Laendlicher Raum","105","0.412310838497017","0.351169543392396","0.473452133601637"
"SPD","1989","17-34","Staedtischer Raum","694","0.221530775775707","0.206643237479312","0.236418314072103"
"SPD","1989","17-34","Laendlicher Raum","132","0.17682883376268","0.149246815756734","0.204410851768626"
"SPD","1989","35-65","Staedtischer Raum","1214","0.325289045836199","0.310536672900428","0.34004141877197"
"SPD","1989","35-65","Laendlicher Raum","264","0.277678068590251","0.249723948655467","0.305632188525034"
