year,pgisced97,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,No answer / don't know,Not leaning towards specific party,0.56395,43,43,0.41397,0.71392
1984,Pre-primary Level,No answer / don't know,Not leaning towards specific party,0.62989,113,144,0.55076,0.70903
1984,Pre-primary Level,No answer / don't know,SPD,0.13367,31,144,0.07789,0.18944
1984,Primary Level,No answer / don't know,Not leaning towards specific party,0.69301,743,951,0.66368,0.72234
1984,Primary Level,No answer / don't know,SPD,0.21881,208,951,0.19252,0.24510
1984,Lower Secondary Level,No answer / don't know,Not leaning towards specific party,0.43934,1746,3413,0.42269,0.45600
1984,Lower Secondary Level,No answer / don't know,SPD,0.27041,869,3413,0.25550,0.28531
1984,Lower Secondary Level,No answer / don't know,CDU/CSU,0.25051,672,3413,0.23597,0.26505
1984,Lower Secondary Level,No answer / don't know,FDP,0.01122,32,3413,0.00768,0.01475
1984,Lower Secondary Level,No answer / don't know,Bündnis90/Grüne,0.02395,94,3413,0.01882,0.02908
1984,Upper Secondary Level,No answer / don't know,Not leaning towards specific party,0.39063,2387,5633,0.37789,0.40337
1984,Upper Secondary Level,No answer / don't know,SPD,0.28770,1624,5633,0.27587,0.29952
1984,Upper Secondary Level,No answer / don't know,CDU/CSU,0.27423,1366,5633,0.26258,0.28588
1984,Upper Secondary Level,No answer / don't know,FDP,0.01511,71,5633,0.01193,0.01830
1984,Upper Secondary Level,No answer / don't know,Bündnis90/Grüne,0.02911,185,5633,0.02472,0.03351
1984,Post-secondary Non-tertiary Level,No answer / don't know,Not leaning towards specific party,0.36151,123,261,0.30311,0.41991
1984,Post-secondary Non-tertiary Level,No answer / don't know,SPD,0.26074,88,261,0.20737,0.31411
1984,Post-secondary Non-tertiary Level,No answer / don't know,CDU/CSU,0.20465,50,261,0.15561,0.25369
1984,First Stage of Tertiary Education,No answer / don't know,Not leaning towards specific party,0.32824,215,598,0.29057,0.36591
1984,First Stage of Tertiary Education,No answer / don't know,SPD,0.22056,144,598,0.18730,0.25382
1984,First Stage of Tertiary Education,No answer / don't know,CDU/CSU,0.38302,239,598,0.34403,0.42202
1984,Second Stage of Tertiary Education,No answer / don't know,Not leaning towards specific party,0.34621,276,779,0.31278,0.37964
1984,Second Stage of Tertiary Education,No answer / don't know,SPD,0.20761,179,779,0.17911,0.23611
1984,Second Stage of Tertiary Education,No answer / don't know,CDU/CSU,0.31090,219,779,0.27838,0.34343
1984,Second Stage of Tertiary Education,No answer / don't know,FDP,0.05836,44,779,0.04189,0.07483
1984,Second Stage of Tertiary Education,No answer / don't know,Bündnis90/Grüne,0.07552,61,779,0.05696,0.09409
