year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,4.802233216407383,4.778275967415955,4.822540687774036,4.0,5.0,5.666666507720947,1.500000238418579,7.0,5.0,5.0,5.333333492279053,20500.0
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,4.73074626381518,4.705827373760674,4.755157968380227,4.0,4.666666507720947,5.666666507720947,1.500000238418579,7.0,4.666666507720947,4.666666507720947,4.666666507720947,17764.0
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,5.074363789141852,5.042629408251148,5.099912652116541,4.333333492279053,5.0,6.0,1.8333337306976318,7.0,5.0,5.0,5.0,7099.0
2013,4.823307757695112,4.801959930633972,4.843842667009048,4.0,5.0,5.666666507720947,1.500000238418579,7.0,5.0,5.0,5.0,18683.0
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,4.8660694585777255,4.843898102205261,4.8868903083311075,4.0,5.0,5.666666507720947,1.500000238418579,7.0,5.0,5.0,5.0,28472.0
2018,,,,,,,,,,,,
2019,4.862898851280902,4.841522580695403,4.885044929986022,4.0,5.0,5.666666507720947,1.500000238418579,7.0,5.0,5.0,5.0,25506.0
2020,,,,,,,,,,,,
2021,,,,,,,,,,,,
