"plh0042","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1984","(Fach-)Abitur","maennlich","81","0.27915060853835","0.225243153387327","0.333058063689372"
"Einige Sorgen","1984","(Fach-)Abitur","weiblich","40","0.226705820733104","0.160143262804097","0.293268378662111"
"Einige Sorgen","1984","(noch) kein Abschluss","maennlich","131","0.353789657982347","0.305200861730357","0.402378454234338"
"Einige Sorgen","1984","(noch) kein Abschluss","weiblich","79","0.332723813104731","0.274315744954367","0.391131881255095"
"Einige Sorgen","1984","AkademikerIn","maennlich","97","0.223709719103457","0.183902527079973","0.263516911126941"
"Einige Sorgen","1984","AkademikerIn","weiblich","","","",""
"Einige Sorgen","1984","Hauptschule","maennlich","877","0.33772002031398","0.319432060630003","0.356007979997958"
"Einige Sorgen","1984","Hauptschule","weiblich","441","0.313207974799708","0.28886968742545","0.337546262173967"
"Einige Sorgen","1984","Realschule","maennlich","166","0.301891682513424","0.263766891340099","0.34001647368675"
"Einige Sorgen","1984","Realschule","weiblich","172","0.300631169361448","0.262822272472196","0.3384400662507"
"Grosse Sorgen","1984","(Fach-)Abitur","maennlich","56","0.169440791483144","0.124358959379094","0.214522623587193"
"Grosse Sorgen","1984","(Fach-)Abitur","weiblich","","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","maennlich","114","0.32900676007107","0.281260637983959","0.376752882158181"
"Grosse Sorgen","1984","(noch) kein Abschluss","weiblich","76","0.30124431425864","0.244372092661806","0.358116535855474"
"Grosse Sorgen","1984","AkademikerIn","maennlich","37","0.0729289828610501","0.0480911543999673","0.0977668113221328"
"Grosse Sorgen","1984","AkademikerIn","weiblich","","","",""
"Grosse Sorgen","1984","Hauptschule","maennlich","617","0.21827270156207","0.202299447852224","0.234245955271916"
"Grosse Sorgen","1984","Hauptschule","weiblich","270","0.166946201036184","0.147376428298244","0.186515973774124"
"Grosse Sorgen","1984","Realschule","maennlich","65","0.122093647871024","0.0949047800154248","0.149282515726622"
"Grosse Sorgen","1984","Realschule","weiblich","63","0.113800382218633","0.0876148438899913","0.139985920547274"
"Keine Sorgen","1984","(Fach-)Abitur","maennlich","129","0.551408599978507","0.491640491444558","0.611176708512455"
"Keine Sorgen","1984","(Fach-)Abitur","weiblich","94","0.690485938423736","0.616993288240269","0.763978588607202"
"Keine Sorgen","1984","(noch) kein Abschluss","maennlich","127","0.317203581946583","0.269911190073268","0.364495973819898"
"Keine Sorgen","1984","(noch) kein Abschluss","weiblich","95","0.366031872636629","0.306318548163255","0.425745197110003"
"Keine Sorgen","1984","AkademikerIn","maennlich","287","0.703361298035493","0.659728789422711","0.746993806648276"
"Keine Sorgen","1984","AkademikerIn","weiblich","109","0.720654325237826","0.649090410136315","0.792218240339337"
"Keine Sorgen","1984","Hauptschule","maennlich","1075","0.44400727812395","0.424794258041054","0.463220298206845"
"Keine Sorgen","1984","Hauptschule","weiblich","684","0.519845824164107","0.493628484410523","0.546063163917691"
"Keine Sorgen","1984","Realschule","maennlich","326","0.576014669615552","0.534974166072937","0.617055173158167"
"Keine Sorgen","1984","Realschule","weiblich","330","0.58556844841992","0.54494852437137","0.626188372468469"
"Einige Sorgen","1985","(Fach-)Abitur","maennlich","72","0.266967059012519","0.21099992673926","0.322934191285778"
