"pli0081","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","Westdeutschland","713","0.0681622844757978","0.0630726346491097","0.0732519343024858"
"Taeglich","1990","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Westdeutschland","3521","0.358040603080932","0.348358591166099","0.367722614995766"
"Min 1x pro Woche","1990","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Westdeutschland","2726","","",""
"Min 1x pro Monat","1990","Ostdeutschland","","","",""
"Seltener","1990","Westdeutschland","2081","","",""
"Seltener","1990","Ostdeutschland","","","",""
"Nie","1990","Westdeutschland","378","0.0279933082682676","0.0246620566807287","0.0313245598558066"
"Nie","1990","Ostdeutschland","","","",""
"Taeglich","1991","Westdeutschland","","","",""
"Taeglich","1991","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Ostdeutschland","","","",""
"Seltener","1991","Westdeutschland","","","",""
"Seltener","1991","Ostdeutschland","","","",""
"Nie","1991","Westdeutschland","","","",""
"Nie","1991","Ostdeutschland","","","",""
"Taeglich","1992","Westdeutschland","","","",""
"Taeglich","1992","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","Westdeutschland","","","",""
"Min 1x pro Woche","1992","Ostdeutschland","","","",""
"Min 1x pro Monat","1992","Westdeutschland","","","",""
"Min 1x pro Monat","1992","Ostdeutschland","","","",""
"Seltener","1992","Westdeutschland","","","",""
"Seltener","1992","Ostdeutschland","","","",""
"Nie","1992","Westdeutschland","","","",""
"Nie","1992","Ostdeutschland","","","",""
"Taeglich","1993","Westdeutschland","","","",""
"Taeglich","1993","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","Westdeutschland","","","",""
"Min 1x pro Woche","1993","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","Westdeutschland","","","",""
"Min 1x pro Monat","1993","Ostdeutschland","","","",""
"Seltener","1993","Westdeutschland","","","",""
"Seltener","1993","Ostdeutschland","","","",""
"Nie","1993","Westdeutschland","","","",""
