"hgeqpter","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Schleswig-Holstein","2","74","0.835952541903038","0.761090834459006","0.91081424934707"
"Ja","1995","Schleswig-Holstein","3","69","0.738179044476941","0.644719924781952","0.83163816417193"
"Ja","1995","Schleswig-Holstein","4","42","0.93161706384768","0.860213471527636","1.00302065616772"
"Ja","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hamburg","2","35","0.754141358552708","0.62233836297046","0.885944354134955"
"Ja","1995","Hamburg","3","31","0.846704290325987","0.730618754765566","0.962789825886408"
"Ja","1995","Hamburg","4","18","","",""
"Ja","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Niedersachsen","2","284","0.800631860870338","0.760086797167878","0.841176924572797"
"Ja","1995","Niedersachsen","3","183","0.823012442047795","0.773580813499792","0.872444070595797"
"Ja","1995","Niedersachsen","4","134","0.74158650458118","0.678334006263375","0.804839002898984"
"Ja","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bremen","2","29","","",""
"Ja","1995","Bremen","3","6","","",""
"Ja","1995","Bremen","4","12","","",""
"Ja","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Nordrhein-Westfalen","2","590","0.729004814236946","0.699367611855537","0.758642016618356"
"Ja","1995","Nordrhein-Westfalen","3","422","0.788113768775528","0.754537086319553","0.821690451231504"
"Ja","1995","Nordrhein-Westfalen","4","321","0.84990357419865","0.814180199244996","0.885626949152304"
"Ja","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Hessen","2","211","0.714755934385477","0.666186142450976","0.763325726319978"
"Ja","1995","Hessen","3","158","0.805761878668499","0.75360368447339","0.857920072863609"
"Ja","1995","Hessen","4","114","0.771508299973258","0.703403585125399","0.839613014821118"
"Ja","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Rheinland-Pfalz,Saarland","2","209","0.791601593365588","0.743684101599113","0.839519085132063"
"Ja","1995","Rheinland-Pfalz,Saarland","3","134","0.786735858195432","0.724980004316169","0.848491712074695"
"Ja","1995","Rheinland-Pfalz,Saarland","4","96","0.810491980381776","0.74007737205533","0.880906588708221"
"Ja","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Baden-Wuerttemberg","2","435","0.806180556972818","0.775792268305771","0.836568845639866"
"Ja","1995","Baden-Wuerttemberg","3","324","0.835738008373081","0.799518822551747","0.871957194194414"
"Ja","1995","Baden-Wuerttemberg","4","229","0.800282565290677","0.754348882823265","0.846216247758088"
"Ja","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Bayern","2","484","0.841829980928975","0.812559139749891","0.871100822108058"
"Ja","1995","Bayern","3","388","0.867936133381188","0.837197042321477","0.898675224440899"
"Ja","1995","Bayern","4","193","0.835424418140478","0.788899088390589","0.881949747890366"
"Ja","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Saarland","2","","","",""
"Ja","1995","Saarland","3","","","",""
"Ja","1995","Saarland","4","","","",""
"Ja","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Berlin","2","138","0.745961317992153","0.683061808492275","0.808860827492031"
"Ja","1995","Berlin","3","93","0.850642302814264","0.786055698333631","0.915228907294897"
"Ja","1995","Berlin","4","74","0.869626151358875","0.797619935720597","0.941632366997153"
"Ja","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Brandenburg","2","110","0.497482164814585","0.430335756485513","0.564628573143656"
