"year","age_gr","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","17-34","Ostdeutschland","5.8","5.5","1345","4","5","7","7","7","5.74","5.86","1","7","6","6"
"2005","17-34","Westdeutschland","5.83","5.5","3937","4","5","7","7","7","5.79","5.87","1","7","6","6"
"2005","35-65","Ostdeutschland","5.95","5.5","2721","4","5","7","7","7","5.91","5.99","1","7","6","6"
"2005","35-65","Westdeutschland","5.93","5.5","8841","4","5","7","7","7","5.91","5.95","1","7","6","6"
"2005","66 +","Ostdeutschland","5.95","5.5","949","4","5","7","7","7","5.87","6.03","1","7","6","6"
"2005","66 +","Westdeutschland","5.87","5.5","2775","4","5","7","7","7","5.82","5.92","1","7","6","6"
"2006","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2006","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2006","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2006","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2006","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2006","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2007","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2007","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2007","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2007","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2007","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2007","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2008","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2008","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2008","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2008","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2008","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2008","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2009","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2009","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2009","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2009","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2009","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2009","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2010","17-34","Ostdeutschland","5.8","5.5","889","4","5","7","7","7","5.73","5.87","1","7","6","6"
"2010","17-34","Westdeutschland","5.73","5.5","2650","4","5","7","7","7","5.69","5.77","1","7","6","6"
"2010","35-65","Ostdeutschland","5.86","5.5","2166","4","5","7","7","7","5.81","5.91","1","7","6","6"
"2010","35-65","Westdeutschland","5.84","5.5","6876","4","5","7","7","7","5.81","5.87","1","7","6","6"
"2010","66 +","Ostdeutschland","5.9","5.5","1053","4","5","7","7","7","5.83","5.97","1","7","6","6"
"2010","66 +","Westdeutschland","5.89","5.5","2925","4","5","7","7","7","5.84","5.94","1","7","6","6"
"2011","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2011","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2011","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2011","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2011","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2011","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2012","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2012","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2012","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2012","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2012","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2012","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2013","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2013","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2013","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2013","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2013","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2013","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2014","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2014","17-34","Westdeutschland","","","","","","","","","","","","","",""
"2014","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2014","35-65","Westdeutschland","","","","","","","","","","","","","",""
"2014","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2014","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2015","17-34","Ostdeutschland","5.78","5.5","1120","4","5","7","7","7","5.71","5.85","1","7","6","6"
"2015","17-34","Westdeutschland","5.87","5.5","5465","4","5","7","7","7","5.84","5.9","1","7","6","6"
"2015","35-65","Ostdeutschland","5.87","5.5","3052","4","5","7","7","7","5.83","5.91","1","7","6","6"
"2015","35-65","Westdeutschland","5.9","5.5","12069","4","5","7","7","7","5.88","5.92","1","7","6","6"
"2015","66 +","Ostdeutschland","5.89","5.5","1215","4","5","7","7","7","5.82","5.96","1","7","6","6"
"2015","66 +","Westdeutschland","5.88","5.5","3657","4","5","7","7","7","5.84","5.92","1","7","6","6"
"2016","17-34","Ostdeutschland","6.54","6.5","254","6","6","7","7","7","6.46","6.62","1","7","7","7"
"2016","17-34","Westdeutschland","6.25","6.5","1327","4","6","7","7","7","6.21","6.29","1","7","7","7"
"2016","35-65","Ostdeutschland","6.88","6.5","222","7","7","7","7","7","6.81","6.95","2","7","7","7"
"2016","35-65","Westdeutschland","6.64","6.5","1163","6","6","7","7","7","6.61","6.67","1","7","7","7"
"2016","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2016","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2017","17-34","Ostdeutschland","6.85","6.5","134","6","7","7","7","7","6.75","6.95","2","7","7","7"
"2017","17-34","Westdeutschland","6.68","6.5","984","6","7","7","7","7","6.64","6.72","1","7","7","7"
"2017","35-65","Ostdeutschland","6.81","6.5","67","6","7","7","7","7","6.65","6.97","3","7","7","7"
"2017","35-65","Westdeutschland","6.73","6.5","629","6","7","7","7","7","6.67","6.79","1","7","7","7"
"2017","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2017","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2018","17-34","Ostdeutschland","6.88","6.5","30","7","7","7","7","7","6.46","7.3","1","7","7","7"
"2018","17-34","Westdeutschland","6.85","6.5","191","7","7","7","7","7","6.78","6.92","3","7","7","7"
"2018","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2018","35-65","Westdeutschland","6.48","6.5","134","6","7","7","7","7","6.28","6.68","1","7","7","7"
"2018","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2018","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2019","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"2019","17-34","Westdeutschland","6.68","6.5","119","6","7","7","7","7","6.51","6.85","2","7","7","7"
"2019","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"2019","35-65","Westdeutschland","5.9","6.5","108","2","6","7","7","7","5.65","6.15","1","7","7","7"
"2019","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"2019","66 +","Westdeutschland","","","","","","","","","","","","","",""
"2020","17-34","Ostdeutschland","5.92","5.5","1274","5","5","7","7","7","5.86","5.98","1","7","6","6"
"2020","17-34","Westdeutschland","5.86","5.5","6761","4","5","7","7","7","5.83","5.89","1","7","6","6"
"2020","35-65","Ostdeutschland","5.93","5.5","3304","4","5","7","7","7","5.89","5.97","1","7","6","6"
"2020","35-65","Westdeutschland","5.86","5.5","13089","4","5","7","7","7","5.84","5.88","1","7","6","6"
"2020","66 +","Ostdeutschland","5.84","5.5","1251","4","5","7","7","7","5.77","5.91","1","7","6","6"
"2020","66 +","Westdeutschland","5.8","5.5","3704","4","5","7","7","7","5.76","5.84","1","7","6","6"
