"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","7.43","7.5","865","4","6","9","10","10","7.27","7.59","0","10","8","8"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","7.26","7.5","1281","3","5","10","10","10","7.1","7.42","0","10","7","8"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","7.44","7.5","789","4","6","9","10","10","7.28","7.6","0","10","8","8"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","6.48","6.5","7237","2","5","9","10","10","6.42","6.54","0","10","7","7"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","7.43","7.5","1882","4","6","9","10","10","7.32","7.54","0","10","8","8"
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","7.3","7.5","780","4","6","9","10","10","7.14","7.46","0","10","8","8"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","7.11","7.5","1078","3","5","9","10","10","6.95","7.27","0","10","7","8"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","7.36","7.5","754","5","6","9","10","10","7.22","7.5","0","10","8","8"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","6.46","6.5","6406","3","5","8","10","10","6.4","6.52","0","10","7","7"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","7.25","7.5","1813","4","6","9","10","10","7.15","7.35","0","10","8","8"
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","7.3","7.5","808","4","6","9","10","10","7.14","7.46","0","10","8","8"
"1986","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","6.95","7.5","1025","3","5","9","10","10","6.78","7.12","0","10","7","8"
"1986","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Westdeutschland","7.21","7.5","748","4","6","9","10","10","7.06","7.36","0","10","8","8"
"1986","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Westdeutschland","6.43","6.5","6072","3","5","8","10","10","6.37","6.49","0","10","7","7"
"1986","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Westdeutschland","7.15","7.5","1767","4","5","9","10","10","7.05","7.25","0","10","8","8"
"1987","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","7.2","7.5","778","4","6","9","10","10","7.04","7.36","0","10","8","8"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Westdeutschland","6.77","6.5","998","3","5","9","10","10","6.61","6.93","0","10","7","7"
"1987","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1987","AkademikerIn","Westdeutschland","7.16","7.5","741","4","6","9","10","10","7.01","7.31","0","10","8","8"
"1987","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Hauptschule","Westdeutschland","6.39","6.5","6007","3","5","8","10","10","6.33","6.45","0","10","7","7"
"1987","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Realschule","Westdeutschland","7.07","7.5","1758","4","6","9","10","10","6.97","7.17","0","10","8","8"
"1988","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","Westdeutschland","7.14","7.5","737","4","6","9","10","10","6.99","7.29","0","10","8","8"
"1988","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1988","(noch) kein Abschluss","Westdeutschland","6.92","7.5","902","3","5","9","10","10","6.75","7.09","0","10","7","7"
"1988","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1988","AkademikerIn","Westdeutschland","7.05","7.5","701","4","6","9","9","10","6.89","7.21","0","10","8","8"
"1988","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Hauptschule","Westdeutschland","6.28","6.5","5736","3","5","8","9","10","6.22","6.34","0","10","7","7"
"1988","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Realschule","Westdeutschland","6.93","6.5","1696","4","5","8","10","10","6.83","7.03","0","10","8","8"
"1989","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","Westdeutschland","7.14","7.5","752","5","6","8","10","10","6.99","7.29","0","10","8","8"
"1989","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1989","(noch) kein Abschluss","Westdeutschland","6.86","7.5","880","2","5","9","10","10","6.68","7.04","0","10","7","7"
"1989","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1989","AkademikerIn","Westdeutschland","6.96","7.5","698","4","5","9","10","10","6.8","7.12","0","10","7","8"
"1989","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Hauptschule","Westdeutschland","6.22","6.5","5480","3","5","8","9","10","6.15","6.29","0","10","7","7"
"1989","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Realschule","Westdeutschland","6.99","7.5","1648","4","5","9","10","10","6.88","7.1","0","10","8","8"
"1990","(Fach-)Abitur","Ostdeutschland","7.59","7.5","129","4","7","9","10","10","7.2","7.98","0","10","8","8"
"1990","(Fach-)Abitur","Westdeutschland","7.1","7.5","746","4","6","9","10","10","6.95","7.25","0","10","7","8"
"1990","(noch) kein Abschluss","Ostdeutschland","7.7","7.5","45","5","6","10","10","10","7.07","8.33","3","10","7","10"
"1990","(noch) kein Abschluss","Westdeutschland","6.86","6.5","842","3","5","9","10","10","6.69","7.03","0","10","7","7"
"1990","AkademikerIn","Ostdeutschland","6.8","6.5","991","3","5","9","10","10","6.65","6.95","0","10","7","8"
"1990","AkademikerIn","Westdeutschland","7.03","7.5","698","4","6","9","9","10","6.87","7.19","0","10","8","8"
"1990","Hauptschule","Ostdeutschland","5.93","5.5","1666","2","5","8","10","10","5.8","6.06","0","10","6","6"
"1990","Hauptschule","Westdeutschland","6.27","6.5","5339","3","5","8","9","10","6.21","6.33","0","10","7","7"
"1990","Realschule","Ostdeutschland","7.34","7.5","1565","4","6","9","10","10","7.22","7.46","0","10","8","8"
"1990","Realschule","Westdeutschland","6.99","6.5","1625","4","6","8","10","10","6.89","7.09","0","10","8","8"
"1991","(Fach-)Abitur","Ostdeutschland","7.19","7.5","116","3","6","9","10","10","6.76","7.62","0","10","7","8"
"1991","(Fach-)Abitur","Westdeutschland","7.11","7.5","772","4","6","9","9","10","6.96","7.26","0","10","8","8"
"1991","(noch) kein Abschluss","Ostdeutschland","7.84","7.5","54","5","6","10","10","10","7.31","8.37","2","10","8","9"
"1991","(noch) kein Abschluss","Westdeutschland","6.92","7.5","823","3","5","9","10","10","6.75","7.09","0","10","7","8"
"1991","AkademikerIn","Ostdeutschland","6.78","6.5","953","4","5","8","9","10","6.64","6.92","0","10","7","8"
"1991","AkademikerIn","Westdeutschland","6.98","7.5","724","4","5","9","9","10","6.83","7.13","0","10","7","8"
"1991","Hauptschule","Ostdeutschland","5.68","4.5","1493","2","5","8","9","10","5.56","5.8","0","10","5","6"
"1991","Hauptschule","Westdeutschland","6.28","6.5","5249","3","5","8","9","10","6.22","6.34","0","10","7","7"
"1991","Realschule","Ostdeutschland","7.41","7.5","1492","5","6","9","10","10","7.3","7.52","0","10","8","8"
"1991","Realschule","Westdeutschland","6.89","6.5","1650","4","5","8","9","10","6.78","7","0","10","7","8"
"1992","(Fach-)Abitur","Ostdeutschland","7.04","7.5","116","4","6","8","10","10","6.66","7.42","1","10","7","8"
"1992","(Fach-)Abitur","Westdeutschland","7.27","7.5","781","4","6","9","10","10","7.12","7.42","0","10","8","8"
"1992","(noch) kein Abschluss","Ostdeutschland","7.51","7.5","68","5","6","9","10","10","6.99","8.03","0","10","7","9"
"1992","(noch) kein Abschluss","Westdeutschland","6.87","7.5","795","3","5","9","10","10","6.69","7.05","0","10","7","7"
"1992","AkademikerIn","Ostdeutschland","6.82","6.5","912","4","5","8","9","10","6.68","6.96","0","10","7","8"
"1992","AkademikerIn","Westdeutschland","7.1","7.5","738","4","6","9","10","10","6.95","7.25","0","10","8","8"
"1992","Hauptschule","Ostdeutschland","5.75","5.5","1411","2","5","8","9","10","5.63","5.87","0","10","6","6"
"1992","Hauptschule","Westdeutschland","6.35","6.5","5109","3","5","8","9","10","6.28","6.42","0","10","7","7"
"1992","Realschule","Ostdeutschland","7.22","7.5","1424","4","6","9","10","10","7.11","7.33","0","10","8","8"
"1992","Realschule","Westdeutschland","7.03","7.5","1669","4","6","8","9","10","6.93","7.13","0","10","8","8"
"1993","(Fach-)Abitur","Ostdeutschland","7.3","7.5","123","5","6","9","10","10","6.92","7.68","1","10","7","8"
"1993","(Fach-)Abitur","Westdeutschland","7.1","7.5","785","4","6","9","9","10","6.95","7.25","0","10","8","8"
"1993","(noch) kein Abschluss","Ostdeutschland","7.56","7.5","80","5","7","9","10","10","7.09","8.03","0","10","7","8"
"1993","(noch) kein Abschluss","Westdeutschland","6.82","6.5","762","4","5","9","10","10","6.64","7","0","10","7","7"
"1993","AkademikerIn","Ostdeutschland","6.59","6.5","869","4","5","8","9","10","6.45","6.73","0","10","7","7"
"1993","AkademikerIn","Westdeutschland","6.85","6.5","762","4","6","8","9","10","6.7","7","0","10","7","8"
"1993","Hauptschule","Ostdeutschland","5.65","4.5","1329","2","4","8","9","10","5.52","5.78","0","10","5","6"
"1993","Hauptschule","Westdeutschland","6.24","6.5","5008","3","5","8","9","10","6.17","6.31","0","10","7","7"
"1993","Realschule","Ostdeutschland","7.1","7.5","1394","4","6","8","10","10","6.99","7.21","0","10","7","8"
