year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,6.779848319366841,6.756275675676529,6.803420963057152,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,11862.0
1985,Westdeutschland,6.73493285422378,6.71199024692382,6.75787546152374,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,10706.0
1986,Westdeutschland,6.701766455449056,6.6786586817637055,6.724874229134407,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,10294.0
1987,Westdeutschland,6.645190973793918,6.622508333984273,6.667873613603563,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,10197.0
1988,Westdeutschland,6.533574047790266,6.510216061120703,6.5569320344598285,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9738.0
1989,Westdeutschland,6.508164029328105,6.48426571669594,6.532062341960271,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9454.0
1990,Westdeutschland,6.560123424094292,6.536956910699232,6.5832899374893525,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9276.0
1990,Ostdeutschland,6.606887091371903,6.568000815801277,6.64577336694253,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,4337.0
1991,Westdeutschland,6.546024041004216,6.522793567684929,6.569254514323503,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9274.0
1991,Ostdeutschland,6.525639131384887,6.488926748667141,6.562351514102633,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4071.0
1992,Westdeutschland,6.6555758371718365,6.631973959476198,6.679177714867475,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9167.0
1992,Ostdeutschland,6.501354086704736,6.465708725928131,6.536999447481341,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3881.0
1993,Westdeutschland,6.515635909059321,6.492265366409715,6.539006451708927,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9106.0
1993,Ostdeutschland,6.40685074076457,6.370857511550294,6.4428439699788465,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3747.0
1994,Westdeutschland,6.437111867577393,6.413362898180594,6.460860836974192,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,8958.0
1994,Ostdeutschland,6.240687994936441,6.204914692925567,6.276461296947315,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3697.0
1995,Westdeutschland,6.487664173257574,6.464940778525148,6.5103875679900005,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9410.0
1995,Ostdeutschland,6.289692601367895,6.255179693298716,6.324205509437073,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3600.0
1996,Westdeutschland,6.4593559207786315,6.436453537904959,6.482258303652304,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9213.0
1996,Ostdeutschland,6.271726541855298,6.237646774225727,6.305806309484868,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3602.0
1997,Westdeutschland,6.46992167917652,6.447205468901999,6.49263788945104,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9013.0
1997,Ostdeutschland,6.174104364183063,6.139480687171015,6.208728041195111,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3543.0
1998,Westdeutschland,6.5947015525286865,6.573038144496312,6.616364960561061,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,10163.0
1998,Ostdeutschland,6.261272975934917,6.228004070064107,6.294541881805727,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3784.0
1999,Westdeutschland,6.546833711857554,6.524521049102922,6.569146374612186,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9711.0
1999,Ostdeutschland,6.207083142451431,6.172809597677594,6.241356687225268,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3704.0
2000,Westdeutschland,6.75229530002112,6.735932991189516,6.768657608852724,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,17965.0
2000,Ostdeutschland,6.34895978342008,6.320197985499273,6.377721581340887,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5716.0
2001,Westdeutschland,6.757412105731965,6.740362320805787,6.774461890658143,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,16202.0
2001,Ostdeutschland,6.351128003502218,6.321918178625258,6.3803378283791785,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5328.0
2002,Westdeutschland,6.642064413146796,6.625700806782285,6.658428019511308,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,17291.0
2002,Ostdeutschland,6.279863106961252,6.250535253828457,6.309190960094047,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5314.0
2003,Westdeutschland,6.644151252206696,6.62756823012673,6.660734274286662,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,16534.0
2003,Ostdeutschland,6.256854174988083,6.227704693779716,6.286003656196451,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5237.0
2004,Westdeutschland,6.517424719431523,6.500113536154966,6.534735902708081,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,16070.0
2004,Ostdeutschland,6.064952999644738,6.033910219347477,6.095995779942,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,5100.0
2005,Westdeutschland,6.539050551554874,6.521437076168602,6.556664026941147,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,15345.0
2005,Ostdeutschland,6.213951168613298,6.18303020750845,6.244872129718146,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,4940.0
2006,Westdeutschland,6.5811210234327335,6.56422593058196,6.598016116283507,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,16632.0
2006,Ostdeutschland,6.211840825702977,6.181216504438397,6.2424651469675565,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5253.0
2007,Westdeutschland,6.540924195317813,6.523801632711625,6.558046757924001,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,15464.0
2007,Ostdeutschland,6.253096303128364,6.222640666566357,6.283551939690372,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5002.0
2008,Westdeutschland,6.517782488763584,6.500196954012858,6.53536802351431,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14526.0
2008,Ostdeutschland,6.283156477468286,6.252947243301989,6.313365711634583,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4762.0
2009,Westdeutschland,6.464615739065198,6.446035982043118,6.483195496087277,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13458.0
2009,Ostdeutschland,6.182613925489113,6.151135380704868,6.214092470273358,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4529.0
2010,Westdeutschland,6.551917781366547,6.535983233701406,6.567852329031688,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,18462.0
2010,Ostdeutschland,6.1749398384080605,6.145070547997886,6.204809128818235,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,5464.0
2011,Westdeutschland,6.5592038987678976,6.543792717992499,6.574615079543296,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,19987.0
2011,Ostdeutschland,6.218580891088018,6.1899147380887305,6.247247044087305,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,5785.0
2012,Westdeutschland,6.648496055726962,6.633567575530329,6.663424535923595,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,20463.0
2012,Ostdeutschland,6.236976031256304,6.208910355520444,6.265041706992164,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5942.0
2013,Westdeutschland,6.673375084882776,6.659542424198225,6.687207745567328,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,24473.0
2013,Ostdeutschland,6.265169793819795,6.236767365321691,6.293572222317899,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6096.0
2014,Westdeutschland,6.647846311340787,6.633183979621579,6.662508643059995,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,21479.0
2014,Ostdeutschland,6.319914272428333,6.291253543063392,6.348575001793274,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5576.0
2015,Westdeutschland,6.661025179624241,6.64594795567698,6.676102403571503,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,19760.0
2015,Ostdeutschland,6.2624283274102455,6.232765124106166,6.292091530714325,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5239.0
2016,Westdeutschland,6.673864162576525,6.659674927396448,6.688053397756601,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,21568.0
2016,Ostdeutschland,6.310592177306114,6.281784512978761,6.339399841633468,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5522.0
2017,Westdeutschland,6.626613568547947,6.613007549676775,6.64021958741912,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,24212.0
2017,Ostdeutschland,6.301475216600899,6.274057465826834,6.328892967374964,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6157.0
2018,Westdeutschland,6.588424800090049,6.574502327028283,6.602347273151815,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,23124.0
2018,Ostdeutschland,6.306970267351376,6.280005813329953,6.3339347213728,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5999.0
2019,-2,7.0363434073489675,6.788685972711056,7.284000841986879,5.586483690877663,7.562136360398017,9.0,0.4662092271941569,10.0,8.0,8.0,9.0,76.0
2019,Westdeutschland,6.686311432629472,6.672416823153911,6.700206042105032,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,22995.0
2019,Ostdeutschland,6.401609116542772,6.374358816828054,6.428859416257491,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5995.0
2020,Westdeutschland,6.652246547265142,6.638495991120454,6.665997103409831,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,23551.0
2020,Ostdeutschland,6.468834369899109,6.441833192899761,6.495835546898457,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5817.0
2021,Westdeutschland,6.917949807888076,6.902353266968024,6.933546348808127,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,15657.0
2021,Ostdeutschland,6.787608368412725,6.755323375527636,6.819893361297813,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3899.0
