"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2005","(Fach-)Abitur","Laendlicher Raum","2.74","1.5","550","1","2","4","5","6","2.62","2.86","1","7","2","3"
"2005","(Fach-)Abitur","Staedtischer Raum","2.84","2.5","1733","1","2","4","5","7","2.77","2.91","1","7","2","3"
"2005","(noch) kein Abschluss","Laendlicher Raum","2.84","1.5","256","1","1","4","5","7","2.63","3.05","1","7","2","3"
"2005","(noch) kein Abschluss","Staedtischer Raum","3.04","2.5","633","1","1","4","6","7","2.91","3.17","1","7","3","3"
"2005","AkademikerIn","Laendlicher Raum","2.67","1.5","1218","1","2","4","5","7","2.59","2.75","1","7","2","3"
"2005","AkademikerIn","Staedtischer Raum","2.68","1.5","2927","1","1","4","5","7","2.63","2.73","1","7","2","2"
"2005","Hauptschule","Laendlicher Raum","2.92","2.5","2599","1","1","4","5","7","2.86","2.98","1","7","3","3"
"2005","Hauptschule","Staedtischer Raum","2.92","2.5","4886","1","1","4","5","7","2.87","2.97","1","7","3","3"
"2005","Realschule","Laendlicher Raum","3","2.5","2177","1","2","4","5","7","2.93","3.07","1","7","3","3"
"2005","Realschule","Staedtischer Raum","2.84","2.5","3172","1","2","4","5","7","2.78","2.9","1","7","2","3"
"2006","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
