"year","age_gr","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","17-34","3.08","2.5","5270","3.04","3.12"
"2005","35-65","2.91","2.5","11540","2.88","2.94"
"2005","66 +","2.55","1.5","3708","2.5","2.6"
"2006","17-34","","","","",""
"2006","35-65","","","","",""
"2006","66 +","","","","",""
"2007","17-34","","","","",""
"2007","35-65","","","","",""
"2007","66 +","","","","",""
"2008","17-34","","","","",""
"2008","35-65","","","","",""
"2008","66 +","","","","",""
"2009","17-34","","","","",""
"2009","35-65","","","","",""
"2009","66 +","","","","",""
"2010","17-34","3","2.5","3529","2.95","3.05"
"2010","35-65","2.96","2.5","9034","2.93","2.99"
"2010","66 +","2.69","1.5","3969","2.64","2.74"
"2011","17-34","","","","",""
"2011","35-65","","","","",""
"2011","66 +","","","","",""
"2012","17-34","","","","",""
"2012","35-65","","","","",""
"2012","66 +","","","","",""
"2013","17-34","","","","",""
"2013","35-65","","","","",""
"2013","66 +","","","","",""
"2014","17-34","","","","",""
"2014","35-65","","","","",""
"2014","66 +","","","","",""
"2015","17-34","2.53","1.5","6576","2.49","2.57"
"2015","35-65","2.56","1.5","15108","2.54","2.58"
"2015","66 +","2.44","1.5","4867","2.4","2.48"
"2016","17-34","2.23","1","1547","2.16","2.3"
"2016","35-65","1.87","1","1372","1.81","1.93"
"2016","66 +","","","","",""
"2017","17-34","1.66","1","1108","1.57","1.75"
"2017","35-65","1.54","1","688","1.45","1.63"
"2017","66 +","","","","",""
"2018","17-34","1.71","1","217","1.49","1.93"
"2018","35-65","1.49","1","147","1.27","1.71"
"2018","66 +","","","","",""
"2019","17-34","1.93","1","131","1.64","2.22"
"2019","35-65","1.96","1","118","1.7","2.22"
"2019","66 +","","","","",""
"2020","17-34","2.41","1.5","8024","2.38","2.44"
"2020","35-65","2.47","1.5","16377","2.45","2.49"
"2020","66 +","2.4","1.5","4954","2.36","2.44"
