"year","age_gr","bildungsniveau","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","17-34","(Fach-)Abitur","2.82","2.5","1141","1","2","4","5","7","2.74","2.9","1","7","3","3"
"2005","17-34","(noch) kein Abschluss","3.18","2.5","689","1","2","4","6","7","3.06","3.3","1","7","3","3"
"2005","17-34","AkademikerIn","2.78","1.5","518","1","2","4","5","6","2.66","2.9","1","7","2","3"
"2005","17-34","Hauptschule","3.28","2.5","1015","1","2","4","6","7","3.17","3.39","1","7","3","3"
"2005","17-34","Realschule","3.11","2.5","1582","1","2","4","5","7","3.03","3.19","1","7","3","3"
"2005","35-65","(Fach-)Abitur","2.94","2.5","980","1","2","4","5","7","2.84","3.04","1","7","2","3"
"2005","35-65","(noch) kein Abschluss","2.67","1.5","138","1","1","4","6","7","2.36","2.98","1","7","2","3"
"2005","35-65","AkademikerIn","2.72","1.5","2969","1","2","4","5","7","2.67","2.77","1","7","2","3"
"2005","35-65","Hauptschule","3.03","2.5","4085","1","2","4","6","7","2.98","3.08","1","7","3","3"
"2005","35-65","Realschule","2.88","2.5","3335","1","2","4","5","7","2.83","2.93","1","7","2","3"
"2005","66 +","(Fach-)Abitur","2.28","1.5","162","1","1","3","4","6","2.07","2.49","1","6","2","2"
"2005","66 +","(noch) kein Abschluss","2.33","1.5","62","1","1","4","5","7","1.9","2.76","1","7","1","3"
"2005","66 +","AkademikerIn","2.43","1.5","658","1","1","3","5","7","2.31","2.55","1","7","2","2"
"2005","66 +","Hauptschule","2.61","1.5","2385","1","1","4","5","7","2.54","2.68","1","7","2","2"
"2005","66 +","Realschule","2.44","1.5","432","1","1","4","5","7","2.29","2.59","1","7","2","2"
"2006","17-34","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","17-34","AkademikerIn","","","","","","","","","","","","","",""
"2006","17-34","Hauptschule","","","","","","","","","","","","","",""
"2006","17-34","Realschule","","","","","","","","","","","","","",""
"2006","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","35-65","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","35-65","AkademikerIn","","","","","","","","","","","","","",""
"2006","35-65","Hauptschule","","","","","","","","","","","","","",""
"2006","35-65","Realschule","","","","","","","","","","","","","",""
"2006","66 +","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","66 +","AkademikerIn","","","","","","","","","","","","","",""
"2006","66 +","Hauptschule","","","","","","","","","","","","","",""
"2006","66 +","Realschule","","","","","","","","","","","","","",""
"2007","17-34","(Fach-)Abitur","","","","","","","","","","","","","",""
"2007","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2007","17-34","AkademikerIn","","","","","","","","","","","","","",""
