"hlc0052","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2006","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","1-Pers.- Haushalt","2","20","","",""
"Ja","2006","1-Pers.- Haushalt","3","10","","",""
"Ja","2006","1-Pers.- Haushalt","4","8","0.0134301549551395","0.00508006621054898","0.02178024369973"
"Ja","2006","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","2","66","0.0378952659476353","0.0278063958654684","0.0479841360298022"
"Ja","2006","(Ehe-)Paar ohne Kind(er)","3","44","0.0244406871009825","0.0168745946306523","0.0320067795713128"
"Ja","2006","(Ehe-)Paar ohne Kind(er)","4","28","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","Alleinerziehende","2","72","0.221058851637203","0.179928162094793","0.262189541179612"
"Ja","2006","Alleinerziehende","3","13","","",""
"Ja","2006","Alleinerziehende","4","2","","",""
"Ja","2006","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","Paar mit Kind(ern)","2","245","","",""
"Ja","2006","Paar mit Kind(ern)","3","107","","",""
"Ja","2006","Paar mit Kind(ern)","4","59","0.0237899092132353","0.0181219307712887","0.029457887655182"
"Ja","2006","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","Sonstige","2","13","","",""
"Ja","2006","Sonstige","3","","","",""
"Ja","2006","Sonstige","4","5","0.00398217475734445","-0.00742948653916742","0.0153938360538563"
"Ja","2006","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","1-Pers.- Haushalt","2","552","0.972273502515514","0.958818251403505","0.985728753627524"
"Nein","2006","1-Pers.- Haushalt","3","598","0.981655034962372","0.970988233917041","0.992321836007703"
"Nein","2006","1-Pers.- Haushalt","4","722","0.986569845044861","0.97821975630027","0.994919933789451"
"Nein","2006","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","(Ehe-)Paar ohne Kind(er)","2","1310","","",""
"Nein","2006","(Ehe-)Paar ohne Kind(er)","3","1556","","",""
"Nein","2006","(Ehe-)Paar ohne Kind(er)","4","1910","","",""
"Nein","2006","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
