year,sampreg,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,male,At least once per week,0.09983,512,4627,0.09119,0.10847
1990,West,male,At least once per month,0.12557,606,4627,0.11602,0.13512
1990,West,male,Seldom,0.31358,1356,4627,0.30021,0.32695
1990,West,male,Never,0.45736,2153,4627,0.44300,0.47172
1990,West,female,At least once per week,0.03461,171,4770,0.02943,0.03980
1990,West,female,At least once per month,0.05256,260,4770,0.04622,0.05889
1990,West,female,Seldom,0.20837,993,4770,0.19684,0.21990
1990,West,female,Never,0.70400,3346,4770,0.69105,0.71696
1995,West,male,At least once per week,0.07637,386,4606,0.06870,0.08404
1995,West,male,At least once per month,0.10873,545,4606,0.09974,0.11773
1995,West,male,Seldom,0.33201,1489,4606,0.31841,0.34561
1995,West,male,Never,0.47997,2186,4606,0.46554,0.49440
1995,West,female,At least once per week,0.03073,145,4889,0.02589,0.03556
1995,West,female,At least once per month,0.05005,270,4889,0.04394,0.05617
1995,West,female,Seldom,0.21760,1078,4889,0.20604,0.22917
1995,West,female,Never,0.70154,3396,4889,0.68871,0.71437
1995,East,male,At least once per week,0.05762,109,1734,0.04665,0.06859
1995,East,male,At least once per month,0.08023,148,1734,0.06744,0.09302
1995,East,male,Seldom,0.31212,587,1734,0.29031,0.33394
1995,East,male,Never,0.54853,890,1734,0.52510,0.57196
1995,East,female,At least once per month,0.02560,62,1898,0.01849,0.03271
1995,East,female,Seldom,0.18398,404,1898,0.16654,0.20141
1995,East,female,Never,0.77699,1432,1898,0.75826,0.79572
1998,West,male,At least once per week,0.08083,413,4981,0.07325,0.08840
1998,West,male,At least once per month,0.12051,611,4981,0.11147,0.12955
1998,West,male,Seldom,0.34611,1743,4981,0.33290,0.35933
1998,West,male,Never,0.45043,2214,4981,0.43661,0.46425
1998,West,female,At least once per week,0.02976,159,5282,0.02518,0.03434
1998,West,female,At least once per month,0.04451,262,5282,0.03895,0.05007
1998,West,female,Seldom,0.25669,1381,5282,0.24491,0.26847
1998,West,female,Never,0.66854,3480,5282,0.65584,0.68123
1998,East,male,At least once per week,0.05608,113,1852,0.04560,0.06657
1998,East,male,At least once per month,0.09006,175,1852,0.07702,0.10311
1998,East,male,Seldom,0.33182,645,1852,0.31037,0.35327
1998,East,male,Never,0.52132,919,1852,0.49857,0.54408
1998,East,female,At least once per week,0.01595,36,1970,0.01042,0.02149
1998,East,female,At least once per month,0.03329,71,1970,0.02536,0.04121
1998,East,female,Seldom,0.21756,483,1970,0.19934,0.23579
1998,East,female,Never,0.73217,1380,1970,0.71261,0.75173
2003,West,male,At least once per week,0.06860,572,8014,0.06307,0.07414
2003,West,male,At least once per month,0.11423,936,8014,0.10726,0.12119
2003,West,male,Seldom,0.34146,2797,8014,0.33108,0.35185
2003,West,male,Never,0.47436,3709,8014,0.46343,0.48530
2003,West,female,At least once per week,0.03273,327,8636,0.02898,0.03649
2003,West,female,At least once per month,0.04631,488,8636,0.04188,0.05075
2003,West,female,Seldom,0.22674,2110,8636,0.21790,0.23557
2003,West,female,Never,0.69272,5711,8636,0.68298,0.70245
2003,East,male,At least once per week,0.05416,145,2560,0.04539,0.06292
