year,bula_h,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Seldom,0.27929,74,238,0.22217,0.33641
1990,Schleswig-Holstein,Never,0.55893,164,238,0.49572,0.62215
1990,Hamburg,Seldom,0.24217,44,145,0.17220,0.31215
1990,Hamburg,Never,0.65561,101,145,0.57800,0.73322
1990,Lower Saxony,At least once per week,0.07006,74,969,0.05398,0.08614
1990,Lower Saxony,At least once per month,0.07044,84,969,0.05432,0.08655
1990,Lower Saxony,Seldom,0.28230,273,969,0.25395,0.31066
1990,Lower Saxony,Never,0.57391,538,969,0.54275,0.60506
1990,Bremen,Never,0.71488,68,68,0.60677,0.82299
1990,North Rhine-Westphalia,At least once per week,0.06467,179,2541,0.05511,0.07423
1990,North Rhine-Westphalia,At least once per month,0.08743,216,2541,0.07645,0.09842
1990,North Rhine-Westphalia,Seldom,0.26026,628,2541,0.24319,0.27732
1990,North Rhine-Westphalia,Never,0.58376,1518,2541,0.56459,0.60293
1990,Hesse,At least once per week,0.07789,77,975,0.06106,0.09472
1990,Hesse,At least once per month,0.07741,69,975,0.06063,0.09420
1990,Hesse,Seldom,0.26180,229,975,0.23420,0.28941
1990,Hesse,Never,0.58281,600,975,0.55184,0.61377
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.07313,53,670,0.05340,0.09285
1990,"Rhineland-Palatinate, Saarland",At least once per month,0.08235,54,670,0.06152,0.10318
1990,"Rhineland-Palatinate, Saarland",Seldom,0.20900,146,670,0.17819,0.23981
1990,"Rhineland-Palatinate, Saarland",Never,0.63552,417,670,0.59905,0.67199
1990,Baden-Wuerttemberg,At least once per week,0.06676,148,1780,0.05516,0.07836
1990,Baden-Wuerttemberg,At least once per month,0.10974,212,1780,0.09522,0.12427
1990,Baden-Wuerttemberg,Seldom,0.26631,435,1780,0.24577,0.28685
1990,Baden-Wuerttemberg,Never,0.55706,985,1780,0.53398,0.58015
1990,Bavaria,At least once per week,0.06708,108,1587,0.05476,0.07939
1990,Bavaria,At least once per month,0.09395,160,1587,0.07959,0.10831
1990,Bavaria,Seldom,0.26468,427,1587,0.24297,0.28640
1990,Bavaria,Never,0.57140,892,1587,0.54704,0.59575
1990,Berlin,Seldom,0.21713,70,286,0.16926,0.26500
1990,Berlin,Never,0.68134,216,286,0.62724,0.73543
1995,Schleswig-Holstein,Seldom,0.33231,84,250,0.27380,0.39082
1995,Schleswig-Holstein,Never,0.54325,166,250,0.48138,0.60512
1995,Hamburg,Seldom,0.30941,33,119,0.22601,0.39282
1995,Hamburg,Never,0.64108,86,119,0.55453,0.72763
1995,Lower Saxony,At least once per week,0.04647,59,1037,0.03365,0.05929
1995,Lower Saxony,At least once per month,0.08972,94,1037,0.07232,0.10713
1995,Lower Saxony,Seldom,0.30153,312,1037,0.27358,0.32948
1995,Lower Saxony,Never,0.56217,572,1037,0.53196,0.59239
1995,Bremen,Never,0.64572,55,55,0.51814,0.77329
1995,North Rhine-Westphalia,At least once per week,0.06436,162,2558,0.05485,0.07387
1995,North Rhine-Westphalia,At least once per month,0.08263,219,2558,0.07195,0.09330
1995,North Rhine-Westphalia,Seldom,0.27708,692,2558,0.25973,0.29443
1995,North Rhine-Westphalia,Never,0.57419,1485,2558,0.55503,0.59336
1995,Hesse,At least once per week,0.07771,58,926,0.06046,0.09497
1995,Hesse,At least once per month,0.06668,61,926,0.05060,0.08275
1995,Hesse,Seldom,0.25834,231,926,0.23013,0.28655
1995,Hesse,Never,0.59485,576,926,0.56321,0.62649
