year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,male,,,,,,,,,,,,
1984,No migration background,female,,,,,,,,,,,,
1984,Direct migration background,male,,,,,,,,,,,,
1984,Direct migration background,female,,,,,,,,,,,,
1984,Indirect migration background,male,,,,,,,,,,,,
1984,Indirect migration background,female,,,,,,,,,,,,
1985,No migration background,male,,,,,,,,,,,,
1985,No migration background,female,,,,,,,,,,,,
1985,Direct migration background,male,,,,,,,,,,,,
1985,Direct migration background,female,,,,,,,,,,,,
1985,Indirect migration background,male,,,,,,,,,,,,
1985,Indirect migration background,female,,,,,,,,,,,,
1986,No migration background,male,,,,,,,,,,,,
1986,No migration background,female,,,,,,,,,,,,
1986,Direct migration background,male,,,,,,,,,,,,
1986,Direct migration background,female,,,,,,,,,,,,
1986,Indirect migration background,male,,,,,,,,,,,,
1986,Indirect migration background,female,,,,,,,,,,,,
1987,No migration background,male,,,,,,,,,,,,
1987,No migration background,female,,,,,,,,,,,,
1987,Direct migration background,male,,,,,,,,,,,,
1987,Direct migration background,female,,,,,,,,,,,,
1987,Indirect migration background,male,,,,,,,,,,,,
1987,Indirect migration background,female,,,,,,,,,,,,
1988,No migration background,male,,,,,,,,,,,,
1988,No migration background,female,,,,,,,,,,,,
1988,Direct migration background,male,,,,,,,,,,,,
1988,Direct migration background,female,,,,,,,,,,,,
1988,Indirect migration background,male,,,,,,,,,,,,
1988,Indirect migration background,female,,,,,,,,,,,,
1989,No migration background,male,,,,,,,,,,,,
1989,No migration background,female,,,,,,,,,,,,
1989,Direct migration background,male,,,,,,,,,,,,
1989,Direct migration background,female,,,,,,,,,,,,
1989,Indirect migration background,male,,,,,,,,,,,,
1989,Indirect migration background,female,,,,,,,,,,,,
1990,No migration background,male,,,,,,,,,,,,
1990,No migration background,female,,,,,,,,,,,,
1990,Direct migration background,male,,,,,,,,,,,,
1990,Direct migration background,female,,,,,,,,,,,,
1990,Indirect migration background,male,,,,,,,,,,,,
1990,Indirect migration background,female,,,,,,,,,,,,
1991,No migration background,male,,,,,,,,,,,,
1991,No migration background,female,,,,,,,,,,,,
1991,Direct migration background,male,,,,,,,,,,,,
1991,Direct migration background,female,,,,,,,,,,,,
1991,Indirect migration background,male,,,,,,,,,,,,
1991,Indirect migration background,female,,,,,,,,,,,,
1992,No migration background,male,,,,,,,,,,,,
1992,No migration background,female,,,,,,,,,,,,
1992,Direct migration background,male,,,,,,,,,,,,
1992,Direct migration background,female,,,,,,,,,,,,
1992,Indirect migration background,male,,,,,,,,,,,,
1992,Indirect migration background,female,,,,,,,,,,,,
1993,No migration background,male,,,,,,,,,,,,
1993,No migration background,female,,,,,,,,,,,,
1993,Direct migration background,male,,,,,,,,,,,,
1993,Direct migration background,female,,,,,,,,,,,,
1993,Indirect migration background,male,,,,,,,,,,,,
1993,Indirect migration background,female,,,,,,,,,,,,
1994,No migration background,male,,,,,,,,,,,,
1994,No migration background,female,,,,,,,,,,,,
1994,Direct migration background,male,,,,,,,,,,,,
1994,Direct migration background,female,,,,,,,,,,,,
1994,Indirect migration background,male,,,,,,,,,,,,
1994,Indirect migration background,female,,,,,,,,,,,,
1995,No migration background,male,,,,,,,,,,,,
1995,No migration background,female,,,,,,,,,,,,
1995,Direct migration background,male,,,,,,,,,,,,
1995,Direct migration background,female,,,,,,,,,,,,
1995,Indirect migration background,male,,,,,,,,,,,,
1995,Indirect migration background,female,,,,,,,,,,,,
1996,No migration background,male,,,,,,,,,,,,
1996,No migration background,female,,,,,,,,,,,,
1996,Direct migration background,male,,,,,,,,,,,,
1996,Direct migration background,female,,,,,,,,,,,,
1996,Indirect migration background,male,,,,,,,,,,,,
1996,Indirect migration background,female,,,,,,,,,,,,
1997,No migration background,male,,,,,,,,,,,,
1997,No migration background,female,,,,,,,,,,,,
1997,Direct migration background,male,,,,,,,,,,,,
1997,Direct migration background,female,,,,,,,,,,,,
1997,Indirect migration background,male,,,,,,,,,,,,
1997,Indirect migration background,female,,,,,,,,,,,,
1998,No migration background,male,,,,,,,,,,,,
1998,No migration background,female,,,,,,,,,,,,
1998,Direct migration background,male,,,,,,,,,,,,
1998,Direct migration background,female,,,,,,,,,,,,
1998,Indirect migration background,male,,,,,,,,,,,,
1998,Indirect migration background,female,,,,,,,,,,,,
1999,No migration background,male,,,,,,,,,,,,
1999,No migration background,female,,,,,,,,,,,,
1999,Direct migration background,male,,,,,,,,,,,,
1999,Direct migration background,female,,,,,,,,,,,,
1999,Indirect migration background,male,,,,,,,,,,,,
1999,Indirect migration background,female,,,,,,,,,,,,
2000,No migration background,male,,,,,,,,,,,,
2000,No migration background,female,,,,,,,,,,,,
2000,Direct migration background,male,,,,,,,,,,,,
2000,Direct migration background,female,,,,,,,,,,,,
2000,Indirect migration background,male,,,,,,,,,,,,
2000,Indirect migration background,female,,,,,,,,,,,,
2001,No migration background,male,,,,,,,,,,,,
2001,No migration background,female,,,,,,,,,,,,
2001,Direct migration background,male,,,,,,,,,,,,
2001,Direct migration background,female,,,,,,,,,,,,
2001,Indirect migration background,male,,,,,,,,,,,,
2001,Indirect migration background,female,,,,,,,,,,,,
2002,No migration background,male,2947,18.625786256876072,18.455846339943584,18.79572617380856,12.0,20.0,20.0,1.0,32.0,20.0,20.0,20.0
2002,No migration background,female,2545,15.021811161257421,14.866863360560867,15.176758961953976,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0
2002,Direct migration background,male,561,19.145214028161192,18.75370825847151,19.536719797850875,13.553185951906562,20.0,20.0,3.882964879766403,29.67022107214016,20.0,20.0,21.0
2002,Direct migration background,female,319,14.849776563119347,14.408659339327095,15.2908937869116,10.0,15.0,20.0,1.0,35.0,15.0,15.0,18.0
2002,Indirect migration background,male,160,15.555357848622123,14.933659412685342,16.177056284558905,10.0,15.0,20.0,1.0,35.0,15.0,10.0,20.0
2002,Indirect migration background,female,161,15.21033601956436,14.642301212803659,15.778370826325062,10.0,15.0,20.0,1.0,35.0,15.0,11.0,15.0
2003,No migration background,male,,,,,,,,,,,,
2003,No migration background,female,,,,,,,,,,,,
2003,Direct migration background,male,,,,,,,,,,,,
2003,Direct migration background,female,,,,,,,,,,,,
2003,Indirect migration background,male,,,,,,,,,,,,
2003,Indirect migration background,female,,,,,,,,,,,,
2004,No migration background,male,2617,18.1766011642045,17.98821400346845,18.364988324940548,10.0,20.0,20.0,1.0,35.0,20.0,20.0,21.0
2004,No migration background,female,2348,14.342529791621198,14.175988472314751,14.509071110927644,9.0,15.0,20.0,1.0,36.5,15.0,15.0,18.0
2004,Direct migration background,male,453,18.248516049175773,17.803305824485857,18.69372627386569,10.0,20.0,20.0,1.0,35.0,20.0,20.0,21.0
2004,Direct migration background,female,276,14.618626720093198,14.127101229472881,15.110152210713515,10.0,15.0,20.0,1.0,35.0,15.0,15.0,18.0
2004,Indirect migration background,male,147,16.009456256217206,15.382942602590683,16.63596990984373,10.0,15.0,20.0,1.0,35.0,15.0,10.0,20.0
2004,Indirect migration background,female,158,14.23475397288219,13.601548585653823,14.867959360110557,10.0,11.0,20.0,1.0,35.0,11.0,7.0,12.0
2005,No migration background,male,,,,,,,,,,,,
2005,No migration background,female,,,,,,,,,,,,
2005,Direct migration background,male,,,,,,,,,,,,
2005,Direct migration background,female,,,,,,,,,,,,
2005,Indirect migration background,male,,,,,,,,,,,,
2005,Indirect migration background,female,,,,,,,,,,,,
2006,No migration background,male,2546,17.66771477717714,17.47577356826758,17.859655986086697,10.0,17.0,20.0,1.0,35.0,17.0,14.0,19.0
2006,No migration background,female,2405,14.144971777394813,13.990690800735361,14.299252754054265,8.0,15.0,20.0,1.0,38.0,15.0,15.0,17.0
2006,Direct migration background,male,407,17.297398516516697,16.930570592396503,17.66422644063689,10.0,18.0,20.0,1.0,35.0,18.0,16.0,19.049999999999997
2006,Direct migration background,female,279,13.825958564880496,13.346358218956839,14.305558910804153,8.0,12.0,20.0,1.0,38.0,12.0,9.0,14.0
2006,Indirect migration background,male,165,15.409661616558278,14.825787607981875,15.993535625134681,10.0,15.0,20.0,1.0,35.0,15.0,11.0,18.0
2006,Indirect migration background,female,166,11.841649428672325,11.39393838890368,12.28936046844097,9.77529384280872,10.0,15.0,1.9382346070218004,22.83705923578692,10.0,8.0,10.0
2007,No migration background,male,,,,,,,,,,,,
2007,No migration background,female,,,,,,,,,,,,
2007,Direct migration background,male,,,,,,,,,,,,
2007,Direct migration background,female,,,,,,,,,,,,
2007,Indirect migration background,male,,,,,,,,,,,,
2007,Indirect migration background,female,,,,,,,,,,,,
2008,No migration background,male,2145,16.71371340125085,16.51890287907334,16.90852392342836,10.0,16.0,20.0,1.0,35.0,16.0,15.0,17.0
2008,No migration background,female,1974,13.799272736180098,13.632637459112683,13.965908013247514,8.0,12.0,20.0,1.0,38.0,12.0,9.0,12.0
2008,Direct migration background,male,301,17.244593498869204,16.769469232670122,17.719717765068285,10.0,17.0,20.0,1.0,35.0,17.0,14.974999999999994,19.0
2008,Direct migration background,female,202,13.894858165325315,13.327554604886464,14.462161725764167,8.0,12.929516260283187,20.0,1.0,38.0,14.0,13.0,18.0
