year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,17.03124494412275,16.92388938604886,17.138600502196642,10.0,18.0,20.0,1.0,35.0,18.0,17.0,20.0,6693.0
2003,,,,,,,,,,,,
2004,16.432710293286956,16.31533464173722,16.55008594483669,10.0,15.0,20.0,1.0,35.0,15.0,14.974999999999994,15.0,5999.0
2005,,,,,,,,,,,,
2006,15.861838686914671,15.749465833661123,15.97421154016822,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0,5968.0
2007,,,,,,,,,,,,
2008,15.332534851026844,15.212793310205198,15.452276391848491,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0,4913.0
2009,,,,,,,,,,,,
2010,15.190972348813313,15.0597497792113,15.322194918415326,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0,4119.0
2011,,,,,,,,,,,,
2012,14.774774321327957,14.661835164511137,14.887713478144777,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0,5026.0
2013,,,,,,,,,,,,
2014,14.475995033891143,14.382728872848737,14.56926119493355,10.0,15.0,20.0,1.0,35.0,15.0,15.0,15.0,7093.0
2015,,,,,,,,,,,,
2016,14.212918263446946,14.112107680385924,14.313728846507969,10.0,15.0,20.0,1.0,35.0,15.0,15.0,17.0,6045.0
2017,,,,,,,,,,,,
2018,13.790364166543807,13.693178564109266,13.887549768978348,8.0,12.0,20.0,1.0,38.0,12.0,9.0,12.0,6238.0
2019,,,,,,,,,,,,
2020,13.579368585410702,13.485587198651933,13.67314997216947,8.0,12.0,20.0,0.0,38.0,12.0,11.0,12.0,6681.0
2021,,,,,,,,,,,,
