year,rentown,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,West,1839,1531.963830666722,1498.2188072431284,1565.7088540903158,920.0,1329.0,1880.8714476336881,86.0,3322.1786190842204,1329.0,1278.0,1380.0
1984,Tenant,West,3693,1127.0474870456121,1114.7932371790182,1139.301736912206,690.0,1023.0,1432.0,0.0,2545.0,1023.0,1023.0,1075.0
1985,Owner,West,1734,1552.4343195684612,1526.8465567636536,1578.0220823732689,971.0,1432.0,1948.5323458556015,0.0,3414.830864639004,1432.0,1381.0,1509.125
1985,Tenant,West,3235,1114.429484420718,1103.6057238648825,1125.2532449765533,678.7955971477489,1023.0,1432.0,0.0,2561.8066042783767,1023.0,1023.0,1075.0
1986,Owner,West,1723,1661.681809996923,1618.5743512177746,1704.7892687760714,1023.0,1478.778852107616,2045.0,87.0,3578.0,1479.0,1424.0,1559.475
1986,Tenant,West,3050,1160.7239357580609,1149.1206628723858,1172.327208643736,716.0,1023.0,1534.0,0.0,2761.0,1023.0,1023.0,1023.0
1987,Owner,West,1732,1699.1024068534919,1666.567985653554,1731.6368280534298,1023.0,1534.0,2045.0,0.0,3578.0,1534.0,1534.0,1570.325
1987,Tenant,West,3012,1195.777548195426,1183.8927643691288,1207.6623320217234,754.356337350805,1040.076085888868,1534.0,0.0,2703.4654939737925,1040.0,1006.0,1057.0
1988,Owner,West,1656,1716.0724706243004,1688.7380582337744,1743.4068830148265,1023.0,1534.0,2096.0,79.0,3705.5,1534.0,1534.0,1534.0
1988,Tenant,West,2908,1245.4452688819904,1227.4755310737264,1263.4150066902544,767.0,1074.0,1559.0,0.0,2747.0,1074.0,1023.0,1098.525
1989,Owner,West,1632,1800.9974889153123,1769.7438261520304,1832.2511516785942,1077.3150124913222,1585.0,2263.550293224469,0.0,4042.9032143241893,1585.0,1534.0,1636.0
1989,Tenant,West,2819,1284.1311196582587,1272.0166612221399,1296.2455780943776,803.0659173985284,1140.0079330663534,1636.0,92.0,2885.4011239022075,1143.0,1109.75,1187.0
1990,Owner,West,1647,1880.107492314407,1847.2636681307968,1912.9513164980171,1125.0,1717.0983657316658,2301.0,0.0,4065.0,1718.0,1646.0,1800.0
1990,Owner,East,617,830.5131766652121,815.6644782686933,845.3618750617309,516.5929479089784,817.3876993279375,1023.0,169.0,1782.6105781365322,818.0,786.75,869.0
1990,Tenant,West,2750,1380.0396371473223,1366.0988559547359,1393.9804183399087,869.0,1275.6797808476028,1738.0,0.0,3041.5,1277.0,1276.0,1327.0
1990,Tenant,East,1505,723.8477189016463,714.3755075441419,733.3199302591507,409.0,716.0,1023.0,153.0,1944.0,716.0,716.0,767.0
1991,Owner,West,1652,1975.2750295264516,1950.3755828912767,2000.1744761616264,1278.0,1790.0,2553.1714237922733,184.0,4465.928559480683,1790.0,1688.0,1790.0
1991,Owner,East,578,1002.6564076352548,983.5600760215243,1021.7527392489853,665.0,920.0,1278.0,256.0,2197.5,920.0,869.0,971.0
1991,Tenant,West,2770,1427.8785965570303,1414.1735017350475,1441.583691379013,893.6526352588459,1278.0,1790.0,182.0,3134.521047111731,1278.0,1227.0,1278.0
1991,Tenant,East,1378,878.5002089852316,866.3305652315299,890.6698527389332,460.0,818.0,1176.0,102.0,2250.0,818.0,767.0,869.0
1992,Owner,West,1689,2054.104320926451,2028.4589782885967,2079.7496635643047,1278.0,1892.0,2556.0,256.0,4473.0,1892.0,1790.0,1969.0
1992,Owner,East,547,1225.6854106069056,1202.7508224439894,1248.619998769822,869.0,1125.0,1534.0,268.0,2531.5,1125.0,1023.0,1227.0
