year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,unter 18 J.,maennlich,,,,,,,,,,,,
1984,unter 18 J.,weiblich,,,,,,,,,,,,
1984,18-29 J.,maennlich,1539,11.15372453607486,11.106587086933414,11.200861985216305,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1984,18-29 J.,weiblich,1507,11.064729491018849,11.015675963817774,11.113783018219923,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1984,30-45 J.,maennlich,1920,11.678829125339306,11.622471274012055,11.735186976666556,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1984,30-45 J.,weiblich,1945,10.877302921408432,10.82961668435919,10.924989158457675,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1984,46-65 J.,maennlich,1762,11.187008535133556,11.136548037126921,11.23746903314019,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1984,46-65 J.,weiblich,1767,10.189903335035902,10.150382036098266,10.229424633973538,9.0,10.0,10.5,7.0,12.75,10.0,9.5,11.0
1984,66 und älter,maennlich,504,11.102249814227921,11.01539614911975,11.189103479336092,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1984,66 und älter,weiblich,761,10.095054720481283,10.03751008217282,10.152599358789745,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1985,unter 18 J.,maennlich,,,,,,,,,,,,
1985,unter 18 J.,weiblich,,,,,,,,,,,,
1985,18-29 J.,maennlich,1382,11.136794569193116,11.085520376475742,11.18806876191049,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1985,18-29 J.,weiblich,1333,11.096088880855001,11.044378355093631,11.147799406616372,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1985,30-45 J.,maennlich,1689,11.808993614820375,11.7480654971968,11.86992173244395,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1985,30-45 J.,weiblich,1744,10.98397917536892,10.931650689778792,11.03630766095905,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1985,46-65 J.,maennlich,1638,11.189223581770428,11.136694865468861,11.241752298071994,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1985,46-65 J.,weiblich,1638,10.22264925689315,10.180756852492783,10.264541661293519,9.0,10.0,10.5,7.0,12.75,10.0,9.5,10.0
1985,66 und älter,maennlich,443,11.184972371221413,11.092942620411621,11.277002122031204,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1985,66 und älter,weiblich,662,10.124726694276449,10.063500533492824,10.185952855060073,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1986,unter 18 J.,maennlich,,,,,,,,,,,,
1986,unter 18 J.,weiblich,,,,,,,,,,,,
1986,18-29 J.,maennlich,1351,11.085202941784797,11.034563846819006,11.135842036750587,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1986,18-29 J.,weiblich,1274,11.067053956843365,11.01644473174982,11.11766318193691,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1986,30-45 J.,maennlich,1564,11.890224774541116,11.825849330895888,11.954600218186343,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1986,30-45 J.,weiblich,1667,11.13252081597688,11.076450849876814,11.188590782076947,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1986,46-65 J.,maennlich,1630,11.219335331512132,11.166431599125888,11.272239063898377,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1986,46-65 J.,weiblich,1569,10.258353856117667,10.215487743611034,10.3012199686243,9.0,10.5,10.5,7.0,12.75,10.5,10.5,11.0
1986,66 und älter,maennlich,419,11.183308136329538,11.086938297436479,11.279677975222597,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1986,66 und älter,weiblich,612,10.153646301035574,10.090610428043012,10.216682174028135,9.0,10.0,10.5,7.0,12.75,10.0,9.5,11.0
1987,unter 18 J.,maennlich,,,,,,,,,,,,
1987,unter 18 J.,weiblich,,,,,,,,,,,,
1987,18-29 J.,maennlich,1346,11.126656819520097,11.077752213561691,11.175561425478502,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5
1987,18-29 J.,weiblich,1227,11.19839970468086,11.14528263675324,11.251516772608479,10.0,11.0,12.0,7.0,15.0,11.0,11.0,11.5
1987,30-45 J.,maennlich,1531,11.847544080987701,11.782773665184006,11.912314496791396,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
