"pld0044","year","bildungsniveau","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","maennlich","13","","",""
"Sehr oft","2003","(noch) kein Abschluss","weiblich","11","","",""
"Sehr oft","2003","Hauptschule","maennlich","23","","",""
"Sehr oft","2003","Hauptschule","weiblich","9","","",""
"Sehr oft","2003","Realschule","maennlich","13","","",""
"Sehr oft","2003","Realschule","weiblich","15","","",""
"Sehr oft","2003","(Fach-)Abitur","maennlich","15","","",""
"Sehr oft","2003","(Fach-)Abitur","weiblich","11","","",""
"Sehr oft","2003","AkademikerIn","maennlich","3","","",""
"Sehr oft","2003","AkademikerIn","weiblich","9","","",""
"Oft","2003","(noch) kein Abschluss","maennlich","59","0.106039652765503","0.0765591859779419","0.135520119553063"
"Oft","2003","(noch) kein Abschluss","weiblich","60","0.0949040149566994","0.0683509427416722","0.121457087171727"
"Oft","2003","Hauptschule","maennlich","90","0.0243244777772487","0.0195734711985738","0.0290754843559235"
"Oft","2003","Hauptschule","weiblich","68","0.0155965278883383","0.0119045832936929","0.0192884724829837"
"Oft","2003","Realschule","maennlich","69","0.0316784049435662","0.0247517210035737","0.0386050888835587"
"Oft","2003","Realschule","weiblich","62","0.0177410327353184","0.0132281849149792","0.0222538805556576"
"Oft","2003","(Fach-)Abitur","maennlich","64","0.0651920150678561","0.0506365742996211","0.0797474558360911"
"Oft","2003","(Fach-)Abitur","weiblich","50","0.033524684155814","0.0237322992569033","0.0433170690547246"
"Oft","2003","AkademikerIn","maennlich","49","0.0224004465833868","0.0165239527516862","0.0282769404150874"
"Oft","2003","AkademikerIn","weiblich","39","0.025034141899615","0.0179870788903447","0.0320812049088852"
"Manchmal","2003","(noch) kein Abschluss","maennlich","124","0.284103482482925","0.240921310469484","0.327285654496365"
"Manchmal","2003","(noch) kein Abschluss","weiblich","112","0.230330840066412","0.192184466913127","0.268477213219696"
"Manchmal","2003","Hauptschule","maennlich","465","0.110694284856078","0.101018208083323","0.120370361628834"
"Manchmal","2003","Hauptschule","weiblich","376","0.0905553344336187","0.0820046711876932","0.0991059976795442"
"Manchmal","2003","Realschule","maennlich","380","0.155622880259176","0.141286521429018","0.169959239089335"
"Manchmal","2003","Realschule","weiblich","350","0.108165976086869","0.0975481503259611","0.118783801847777"
"Manchmal","2003","(Fach-)Abitur","maennlich","250","0.22631404293803","0.201642002929587","0.250986082946472"
"Manchmal","2003","(Fach-)Abitur","weiblich","260","0.198428924076545","0.17673269526337","0.22012515288972"
"Manchmal","2003","AkademikerIn","maennlich","296","0.136558732004597","0.122922776113353","0.150194687895841"
"Manchmal","2003","AkademikerIn","weiblich","275","0.152096400008287","0.135897713410776","0.168295086605798"
"Selten","2003","(noch) kein Abschluss","maennlich","112","0.259155953740992","0.217200823620453","0.301111083861531"
"Selten","2003","(noch) kein Abschluss","weiblich","124","0.234775401545604","0.196374102008253","0.273176701082956"
"Selten","2003","Hauptschule","maennlich","1103","0.273207922042471","0.259465512057737","0.286950332027204"
"Selten","2003","Hauptschule","weiblich","1035","0.224915844166904","0.212475307998969","0.23735638033484"
"Selten","2003","Realschule","maennlich","893","0.367528767098222","0.348460994357658","0.386596539838786"
"Selten","2003","Realschule","weiblich","1157","0.345854026171328","0.329593597403641","0.362114454939016"
"Selten","2003","(Fach-)Abitur","maennlich","398","0.345801403856099","0.317757715518542","0.373845092193655"
"Selten","2003","(Fach-)Abitur","weiblich","507","0.368147784202831","0.341909852537027","0.394385715868635"
"Selten","2003","AkademikerIn","maennlich","935","0.387977784235905","0.368627093516831","0.407328474954979"
"Selten","2003","AkademikerIn","weiblich","681","0.368615277554341","0.346854179991385","0.390376375117297"
"Nie","2003","(noch) kein Abschluss","maennlich","111","0.328935958521394","0.283949817571526","0.373922099471261"
"Nie","2003","(noch) kein Abschluss","weiblich","161","0.42274299365648","0.377987332192548","0.467498655120411"
"Nie","2003","Hauptschule","maennlich","2358","0.586048605575057","0.570858784513222","0.601238426636892"
"Nie","2003","Hauptschule","weiblich","2839","0.666822949501841","0.652778735059848","0.680867163943835"
"Nie","2003","Realschule","maennlich","1101","0.438893869924067","0.419267672011225","0.458520067836909"
"Nie","2003","Realschule","weiblich","1703","0.522658369626341","0.505582931736228","0.539733807516454"
"Nie","2003","(Fach-)Abitur","maennlich","378","0.344802610677265","0.316778082864816","0.372827138489713"
"Nie","2003","(Fach-)Abitur","weiblich","470","0.393445849720443","0.366869947429619","0.420021752011267"
"Nie","2003","AkademikerIn","maennlich","1153","0.45218553061066","0.432421089902508","0.471949971318812"
"Nie","2003","AkademikerIn","weiblich","884","0.44956280230607","0.427124181032394","0.472001423579745"
"Sehr oft","2004","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2004","(noch) kein Abschluss","weiblich","","","",""
