"pld0044","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2003","Schleswig-Holstein","Staedtischer Raum","","","",""
"Sehr oft","2003","Schleswig-Holstein","Laendlicher Raum","2","","",""
"Sehr oft","2003","Hamburg","Staedtischer Raum","3","","",""
"Sehr oft","2003","Hamburg","Laendlicher Raum","","","",""
"Sehr oft","2003","Niedersachsen","Staedtischer Raum","11","","",""
"Sehr oft","2003","Niedersachsen","Laendlicher Raum","3","","",""
"Sehr oft","2003","Bremen","Staedtischer Raum","","","",""
"Sehr oft","2003","Bremen","Laendlicher Raum","","","",""
"Sehr oft","2003","Nordrhein-Westfalen","Staedtischer Raum","36","0.0079539048268552","0.00536084666289423","0.0105469629908162"
"Sehr oft","2003","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Sehr oft","2003","Hessen","Staedtischer Raum","13","","",""
"Sehr oft","2003","Hessen","Laendlicher Raum","2","","",""
"Sehr oft","2003","Rheinland-Pfalz,Saarland","Staedtischer Raum","7","","",""
"Sehr oft","2003","Rheinland-Pfalz,Saarland","Laendlicher Raum","1","","",""
"Sehr oft","2003","Baden-Wuerttemberg","Staedtischer Raum","11","","",""
"Sehr oft","2003","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Sehr oft","2003","Bayern","Staedtischer Raum","13","","",""
"Sehr oft","2003","Bayern","Laendlicher Raum","9","","",""
"Sehr oft","2003","Saarland","Staedtischer Raum","","","",""
"Sehr oft","2003","Saarland","Laendlicher Raum","","","",""
"Sehr oft","2003","Berlin","Staedtischer Raum","7","","",""
"Sehr oft","2003","Berlin","Laendlicher Raum","","","",""
"Sehr oft","2003","Brandenburg","Staedtischer Raum","1","","",""
"Sehr oft","2003","Brandenburg","Laendlicher Raum","1","","",""
"Sehr oft","2003","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sehr oft","2003","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Sehr oft","2003","Sachsen","Staedtischer Raum","1","","",""
"Sehr oft","2003","Sachsen","Laendlicher Raum","","","",""
"Sehr oft","2003","Sachsen-Anhalt","Staedtischer Raum","2","","",""
"Sehr oft","2003","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Sehr oft","2003","Thueringen","Staedtischer Raum","2","","",""
"Sehr oft","2003","Thueringen","Laendlicher Raum","","","",""
"Oft","2003","Schleswig-Holstein","Staedtischer Raum","7","","",""
"Oft","2003","Schleswig-Holstein","Laendlicher Raum","9","","",""
"Oft","2003","Hamburg","Staedtischer Raum","9","","",""
"Oft","2003","Hamburg","Laendlicher Raum","","","",""
"Oft","2003","Niedersachsen","Staedtischer Raum","49","0.0461406917818148","0.0325697195378305","0.0597116640257992"
"Oft","2003","Niedersachsen","Laendlicher Raum","26","","",""
"Oft","2003","Bremen","Staedtischer Raum","4","","",""
"Oft","2003","Bremen","Laendlicher Raum","","","",""
"Oft","2003","Nordrhein-Westfalen","Staedtischer Raum","168","0.0360920223925463","0.0306472524567664","0.0415367923283263"
"Oft","2003","Nordrhein-Westfalen","Laendlicher Raum","1","","",""
"Oft","2003","Hessen","Staedtischer Raum","45","0.0418852827656859","0.0306257392159703","0.0531448263154015"
"Oft","2003","Hessen","Laendlicher Raum","5","","",""
"Oft","2003","Rheinland-Pfalz,Saarland","Staedtischer Raum","23","","",""
"Oft","2003","Rheinland-Pfalz,Saarland","Laendlicher Raum","6","","",""
"Oft","2003","Baden-Wuerttemberg","Staedtischer Raum","65","0.0219926191859718","0.0161793798636049","0.0278058585083388"
"Oft","2003","Baden-Wuerttemberg","Laendlicher Raum","4","","",""
"Oft","2003","Bayern","Staedtischer Raum","53","0.0385095873592932","0.0288677614167296","0.0481514133018569"
"Oft","2003","Bayern","Laendlicher Raum","41","0.0208004352122479","0.0137744816569954","0.0278263887675004"
"Oft","2003","Saarland","Staedtischer Raum","","","",""
"Oft","2003","Saarland","Laendlicher Raum","","","",""
"Oft","2003","Berlin","Staedtischer Raum","34","0.0347256170095685","0.0221637732471235","0.0472874607720134"
"Oft","2003","Berlin","Laendlicher Raum","","","",""
"Oft","2003","Brandenburg","Staedtischer Raum","3","","",""
"Oft","2003","Brandenburg","Laendlicher Raum","12","","",""
"Oft","2003","Mecklenburg-Vorpommern","Staedtischer Raum","1","","",""
"Oft","2003","Mecklenburg-Vorpommern","Laendlicher Raum","14","","",""
"Oft","2003","Sachsen","Staedtischer Raum","21","","",""
"Oft","2003","Sachsen","Laendlicher Raum","7","","",""
"Oft","2003","Sachsen-Anhalt","Staedtischer Raum","3","","",""
"Oft","2003","Sachsen-Anhalt","Laendlicher Raum","13","","",""
"Oft","2003","Thueringen","Staedtischer Raum","1","","",""
"Oft","2003","Thueringen","Laendlicher Raum","10","","",""
"Manchmal","2003","Schleswig-Holstein","Staedtischer Raum","44","0.166881242004639","0.123892336539717","0.209870147469561"
"Manchmal","2003","Schleswig-Holstein","Laendlicher Raum","55","0.13152257670847","0.0972242371166629","0.165820916300277"
