year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Staedtischer Raum,maennlich,,,,,,,,,,,,
1985,Staedtischer Raum,weiblich,,,,,,,,,,,,
1985,Laendlicher Raum,maennlich,,,,,,,,,,,,
1985,Laendlicher Raum,weiblich,,,,,,,,,,,,
1986,Staedtischer Raum,maennlich,,,,,,,,,,,,
1986,Staedtischer Raum,weiblich,,,,,,,,,,,,
1986,Laendlicher Raum,maennlich,,,,,,,,,,,,
1986,Laendlicher Raum,weiblich,,,,,,,,,,,,
1987,Staedtischer Raum,maennlich,,,,,,,,,,,,
1987,Staedtischer Raum,weiblich,,,,,,,,,,,,
1987,Laendlicher Raum,maennlich,,,,,,,,,,,,
1987,Laendlicher Raum,weiblich,,,,,,,,,,,,
1988,Staedtischer Raum,maennlich,,,,,,,,,,,,
1988,Staedtischer Raum,weiblich,,,,,,,,,,,,
1988,Laendlicher Raum,maennlich,,,,,,,,,,,,
1988,Laendlicher Raum,weiblich,,,,,,,,,,,,
1989,Staedtischer Raum,maennlich,,,,,,,,,,,,
1989,Staedtischer Raum,weiblich,,,,,,,,,,,,
1989,Laendlicher Raum,maennlich,,,,,,,,,,,,
1989,Laendlicher Raum,weiblich,,,,,,,,,,,,
1990,Staedtischer Raum,maennlich,,,,,,,,,,,,
1990,Staedtischer Raum,weiblich,,,,,,,,,,,,
1990,Laendlicher Raum,maennlich,,,,,,,,,,,,
1990,Laendlicher Raum,weiblich,,,,,,,,,,,,
1991,Staedtischer Raum,maennlich,,,,,,,,,,,,
1991,Staedtischer Raum,weiblich,,,,,,,,,,,,
1991,Laendlicher Raum,maennlich,,,,,,,,,,,,
1991,Laendlicher Raum,weiblich,,,,,,,,,,,,
1992,Staedtischer Raum,maennlich,,,,,,,,,,,,
1992,Staedtischer Raum,weiblich,,,,,,,,,,,,
1992,Laendlicher Raum,maennlich,,,,,,,,,,,,
1992,Laendlicher Raum,weiblich,,,,,,,,,,,,
1993,Staedtischer Raum,maennlich,,,,,,,,,,,,
1993,Staedtischer Raum,weiblich,,,,,,,,,,,,
1993,Laendlicher Raum,maennlich,,,,,,,,,,,,
1993,Laendlicher Raum,weiblich,,,,,,,,,,,,
1994,Staedtischer Raum,maennlich,,,,,,,,,,,,
1994,Staedtischer Raum,weiblich,,,,,,,,,,,,
1994,Laendlicher Raum,maennlich,,,,,,,,,,,,
1994,Laendlicher Raum,weiblich,,,,,,,,,,,,
1995,Staedtischer Raum,maennlich,,,,,,,,,,,,
1995,Staedtischer Raum,weiblich,,,,,,,,,,,,
1995,Laendlicher Raum,maennlich,,,,,,,,,,,,
1995,Laendlicher Raum,weiblich,,,,,,,,,,,,
1996,Staedtischer Raum,maennlich,,,,,,,,,,,,
1996,Staedtischer Raum,weiblich,,,,,,,,,,,,
1996,Laendlicher Raum,maennlich,,,,,,,,,,,,
1996,Laendlicher Raum,weiblich,,,,,,,,,,,,
1997,Staedtischer Raum,maennlich,,,,,,,,,,,,
1997,Staedtischer Raum,weiblich,,,,,,,,,,,,
1997,Laendlicher Raum,maennlich,,,,,,,,,,,,
1997,Laendlicher Raum,weiblich,,,,,,,,,,,,
1998,Staedtischer Raum,maennlich,,,,,,,,,,,,
1998,Staedtischer Raum,weiblich,,,,,,,,,,,,
1998,Laendlicher Raum,maennlich,,,,,,,,,,,,
1998,Laendlicher Raum,weiblich,,,,,,,,,,,,
1999,Staedtischer Raum,maennlich,,,,,,,,,,,,
1999,Staedtischer Raum,weiblich,,,,,,,,,,,,
1999,Laendlicher Raum,maennlich,,,,,,,,,,,,
1999,Laendlicher Raum,weiblich,,,,,,,,,,,,
2000,Staedtischer Raum,maennlich,,,,,,,,,,,,
2000,Staedtischer Raum,weiblich,,,,,,,,,,,,
2000,Laendlicher Raum,maennlich,,,,,,,,,,,,
2000,Laendlicher Raum,weiblich,,,,,,,,,,,,
2001,Staedtischer Raum,maennlich,,,,,,,,,,,,
2001,Staedtischer Raum,weiblich,,,,,,,,,,,,
2001,Laendlicher Raum,maennlich,,,,,,,,,,,,
2001,Laendlicher Raum,weiblich,,,,,,,,,,,,
2002,Staedtischer Raum,maennlich,,,,,,,,,,,,
2002,Staedtischer Raum,weiblich,,,,,,,,,,,,
2002,Laendlicher Raum,maennlich,,,,,,,,,,,,
2002,Laendlicher Raum,weiblich,,,,,,,,,,,,
2003,Staedtischer Raum,maennlich,,,,,,,,,,,,
2003,Staedtischer Raum,weiblich,,,,,,,,,,,,
2003,Laendlicher Raum,maennlich,,,,,,,,,,,,
2003,Laendlicher Raum,weiblich,,,,,,,,,,,,
2004,Staedtischer Raum,maennlich,,,,,,,,,,,,
2004,Staedtischer Raum,weiblich,,,,,,,,,,,,
2004,Laendlicher Raum,maennlich,,,,,,,,,,,,
2004,Laendlicher Raum,weiblich,,,,,,,,,,,,
2005,Staedtischer Raum,maennlich,6384,5.29248130073467,5.280422467924305,5.304540133545034,5.188552837837074,5.9497352774806584,5.929946063093494,4.076462999952444,4.6666665,5.3333335,5.333333492279053,5.333333492279053
2005,Staedtischer Raum,weiblich,7004,5.65454990264334,5.6438024276498755,5.665297377636804,6.4740101752135155,4.823216282919285,4.635861405490088,9.231233329798657,1.8786382509049466,5.6666665,5.666666507720947,5.666666507720947
2005,Laendlicher Raum,maennlich,3251,5.262271404658386,5.2458186507729705,5.278724158543802,5.221506249877124,5.579548623253401,4.735324192965545,5.950779335244492,4.006051107598177,5.3333335,5.333333492279053,5.333333492279053
2005,Laendlicher Raum,weiblich,3498,5.621449479486894,5.605767566999247,5.637131391974541,5.02759491151705,6.0,6.780395256667342,6.0,4.3333335,5.6666665,5.666666507720947,5.666666507720947
2006,Staedtischer Raum,maennlich,,,,,,,,,,,,
2006,Staedtischer Raum,weiblich,,,,,,,,,,,,
2006,Laendlicher Raum,maennlich,,,,,,,,,,,,
2006,Laendlicher Raum,weiblich,,,,,,,,,,,,
2007,Staedtischer Raum,maennlich,,,,,,,,,,,,
2007,Staedtischer Raum,weiblich,,,,,,,,,,,,
2007,Laendlicher Raum,maennlich,,,,,,,,,,,,
2007,Laendlicher Raum,weiblich,,,,,,,,,,,,
2008,Staedtischer Raum,maennlich,,,,,,,,,,,,
2008,Staedtischer Raum,weiblich,,,,,,,,,,,,
2008,Laendlicher Raum,maennlich,,,,,,,,,,,,
2008,Laendlicher Raum,weiblich,,,,,,,,,,,,
2009,Staedtischer Raum,maennlich,5482,5.1433274019942585,5.130561661372886,5.156093142615631,4.131907350424184,4.277182206566605,5.757057370476868,4.6666665,4.6666665,5.0,4.666666507720947,5.0
2009,Staedtischer Raum,weiblich,6051,5.464617772919056,5.452733020873865,5.476502524964248,5.755547710540556,5.520723182249306,5.892095938266319,5.6666665,5.6666665,5.6666665,5.666666507720947,5.999999523162842
2009,Laendlicher Raum,maennlich,3031,5.137304239100505,5.120321394032463,5.154287084168547,3.313557271951348,5.273340605499919,4.787181445026545,4.6666665,3.6666667,5.0,4.666666507720947,5.0
2009,Laendlicher Raum,weiblich,3230,5.471995732793146,5.455927816127304,5.488063649458987,5.001339795560159,5.395686388248388,3.158480565710473,7.765628640334688,0.39419172093594446,5.6666665,5.666666507720947,5.999999523162842
2010,Staedtischer Raum,maennlich,,,,,,,,,,,,
2010,Staedtischer Raum,weiblich,,,,,,,,,,,,
2010,Laendlicher Raum,maennlich,,,,,,,,,,,,
2010,Laendlicher Raum,weiblich,,,,,,,,,,,,
2011,Staedtischer Raum,maennlich,,,,,,,,,,,,
2011,Staedtischer Raum,weiblich,,,,,,,,,,,,
2011,Laendlicher Raum,maennlich,,,,,,,,,,,,
2011,Laendlicher Raum,weiblich,,,,,,,,,,,,
2012,Staedtischer Raum,maennlich,1758,5.25176126141155,5.229375575789211,5.2741469470338895,4.981803201864411,4.874900475998048,5.466982420274837,5.6666665,4.3333335,5.3333335,5.333333492279053,5.333333492279053
2012,Staedtischer Raum,weiblich,2649,5.502149301009012,5.485186635260532,5.5191119667574915,5.2519781092445506,5.7477261897893674,4.684561362068391,6.10310323000879,3.833436241304151,5.6666665,5.666666507720947,5.666666507720947
2012,Laendlicher Raum,maennlich,1118,5.255902965573558,5.229599146109986,5.28220678503713,4.333333492279053,5.2930252298694,4.864420437312736,6.0,5.661050854863261,5.3333335,5.333333492279053,5.333333492279053
