"ple0044_h","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","17-34","kein Migrationshintergrund","1641","","",""
"keinen Tag","1985","17-34","direkter Migrationshintergrund","730","0.638396817675527","0.610579371213896","0.666214264137159"
"keinen Tag","1985","17-34","indirekter Migrationshintergrund","79","0.671395001009436","0.587355473383409","0.755434528635462"
"keinen Tag","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1985","35-65","kein Migrationshintergrund","2431","","",""
"keinen Tag","1985","35-65","direkter Migrationshintergrund","971","0.609344383599429","0.586306960697123","0.632381806501734"
"keinen Tag","1985","35-65","indirekter Migrationshintergrund","11","","",""
"keinen Tag","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1985","66 +","kein Migrationshintergrund","717","0.670685922810189","0.642487122978485","0.698884722641894"
"keinen Tag","1985","66 +","direkter Migrationshintergrund","29","","",""
"keinen Tag","1985","66 +","indirekter Migrationshintergrund","2","","",""
"keinen Tag","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","17-34","kein Migrationshintergrund","1261","","",""
"Ja","1985","17-34","direkter Migrationshintergrund","416","0.361603182324473","0.333785735862841","0.389420628786104"
"Ja","1985","17-34","indirekter Migrationshintergrund","41","0.328604998990564","0.244565471364538","0.412644526616591"
"Ja","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","35-65","kein Migrationshintergrund","1579","","",""
"Ja","1985","35-65","direkter Migrationshintergrund","752","0.390655616400571","0.367618193498266","0.413693039302877"
"Ja","1985","35-65","indirekter Migrationshintergrund","7","0.296588894685017","0.0855833383764389","0.507594450993596"
"Ja","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","66 +","kein Migrationshintergrund","350","0.329314077189811","0.301115277358106","0.357512877021515"
"Ja","1985","66 +","direkter Migrationshintergrund","8","0.24263445068703","0.104508196504893","0.380760704869166"
"Ja","1985","66 +","indirekter Migrationshintergrund","1","","",""
"Ja","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1986","17-34","kein Migrationshintergrund","1002","","",""
"keinen Tag","1986","17-34","direkter Migrationshintergrund","390","0.33321996976711","0.305237139089928","0.361202800444293"
"keinen Tag","1986","17-34","indirekter Migrationshintergrund","48","0.346214931066834","0.263794761822975","0.428635100310693"
"keinen Tag","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1986","35-65","kein Migrationshintergrund","1449","","",""
"keinen Tag","1986","35-65","direkter Migrationshintergrund","590","0.363088599409152","0.339878148319809","0.386299050498496"
"keinen Tag","1986","35-65","indirekter Migrationshintergrund","8","0.484337860959363","0.270593199612543","0.698082522306183"
"keinen Tag","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1986","66 +","kein Migrationshintergrund","71","0.0676901020842787","0.0519216698812334","0.0834585342873239"
"keinen Tag","1986","66 +","direkter Migrationshintergrund","3","","",""
"keinen Tag","1986","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","17-34","kein Migrationshintergrund","1798","","",""
"Ja","1986","17-34","direkter Migrationshintergrund","700","0.66678003023289","0.638797199555707","0.694762860910073"
"Ja","1986","17-34","indirekter Migrationshintergrund","80","0.653785068933166","0.571364899689307","0.736205238177025"
"Ja","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","35-65","kein Migrationshintergrund","2270","","",""
"Ja","1986","35-65","direkter Migrationshintergrund","1059","","",""
"Ja","1986","35-65","indirekter Migrationshintergrund","13","","",""
"Ja","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","66 +","kein Migrationshintergrund","904","0.932309897915721","0.916541465712676","0.948078330118767"
"Ja","1986","66 +","direkter Migrationshintergrund","47","0.943051544378923","0.878816536805884","1.00728655195196"
"Ja","1986","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","17-34","kein Migrationshintergrund","900","0.332320927939072","0.314699558986386","0.349942296891758"
"keinen Tag","1987","17-34","direkter Migrationshintergrund","322","0.305821587232241","0.278136436137298","0.333506738327183"
"keinen Tag","1987","17-34","indirekter Migrationshintergrund","37","0.245281436393037","0.17525065914376","0.315312213642315"
"keinen Tag","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","35-65","kein Migrationshintergrund","1276","","",""
"keinen Tag","1987","35-65","direkter Migrationshintergrund","530","0.31539071776658","0.29301728196363","0.337764153569529"
"keinen Tag","1987","35-65","indirekter Migrationshintergrund","9","0.37327672046186","0.183679724040116","0.562873716883604"
"keinen Tag","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","66 +","kein Migrationshintergrund","25","","",""
"keinen Tag","1987","66 +","direkter Migrationshintergrund","2","","",""
"keinen Tag","1987","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","17-34","kein Migrationshintergrund","1845","","",""
"Ja","1987","17-34","direkter Migrationshintergrund","742","0.694178412767759","0.666493261672817","0.721863563862702"
"Ja","1987","17-34","indirekter Migrationshintergrund","108","","",""
"Ja","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","35-65","kein Migrationshintergrund","2271","","",""
"Ja","1987","35-65","direkter Migrationshintergrund","1127","","",""
"Ja","1987","35-65","indirekter Migrationshintergrund","16","","",""
