"ple0044_h","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1985","(noch) kein Abschluss","Schleswig-Holstein","11","","",""
"keinen Tag","1985","(noch) kein Abschluss","Hamburg","15","","",""
"keinen Tag","1985","(noch) kein Abschluss","Niedersachsen","47","0.639655361246507","0.53311041753503","0.746200304957985"
"keinen Tag","1985","(noch) kein Abschluss","Bremen","3","","",""
"keinen Tag","1985","(noch) kein Abschluss","Nordrhein-Westfalen","197","","",""
"keinen Tag","1985","(noch) kein Abschluss","Hessen","58","0.519959114096721","0.43094085068673","0.608977377506712"
"keinen Tag","1985","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","36","0.559889745797611","0.442763143220315","0.677016348374908"
"keinen Tag","1985","(noch) kein Abschluss","Baden-Wuerttemberg","188","","",""
"keinen Tag","1985","(noch) kein Abschluss","Bayern","61","0.707551975251988","0.619703748663434","0.795400201840543"
"keinen Tag","1985","(noch) kein Abschluss","Saarland","","","",""
"keinen Tag","1985","(noch) kein Abschluss","Berlin","19","","",""
"keinen Tag","1985","(noch) kein Abschluss","Brandenburg","","","",""
"keinen Tag","1985","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"keinen Tag","1985","(noch) kein Abschluss","Sachsen","","","",""
"keinen Tag","1985","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"keinen Tag","1985","(noch) kein Abschluss","Thueringen","","","",""
"keinen Tag","1985","Hauptschule","Schleswig-Holstein","129","","",""
"keinen Tag","1985","Hauptschule","Hamburg","78","0.540615808866675","0.459779950065415","0.621451667667935"
"keinen Tag","1985","Hauptschule","Niedersachsen","400","0.614682894762911","0.577298332045889","0.652067457479933"
"keinen Tag","1985","Hauptschule","Bremen","58","0.663687017364871","0.561429641813676","0.765944392916065"
"keinen Tag","1985","Hauptschule","Nordrhein-Westfalen","983","0.587526510797653","0.563766342231728","0.611286679363578"
"keinen Tag","1985","Hauptschule","Hessen","373","0.62096471795763","0.583289857171647","0.658639578743613"
"keinen Tag","1985","Hauptschule","Rheinland-Pfalz,Saarland","317","0.614988647137834","0.573444188831104","0.656533105444564"
