year,bula_h,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Often,0.08103,51,639,0.05986,0.10221
2003,Schleswig-Holstein,Sometimes,0.06706,49,639,0.04765,0.08646
2003,Schleswig-Holstein,Seldom,0.16926,120,639,0.14016,0.19835
2003,Schleswig-Holstein,Never,0.47461,419,639,0.43586,0.51336
2003,Hamburg,Seldom,0.20381,73,232,0.15186,0.25576
2003,Hamburg,Never,0.51460,159,232,0.45015,0.57905
2003,Lower Saxony,Very often,0.04322,118,1900,0.03407,0.05237
2003,Lower Saxony,Often,0.06635,178,1900,0.05516,0.07755
2003,Lower Saxony,Sometimes,0.10819,257,1900,0.09422,0.12216
2003,Lower Saxony,Seldom,0.15668,372,1900,0.14033,0.17303
2003,Lower Saxony,Never,0.44788,975,1900,0.42552,0.47025
2003,Bremen,Never,0.63467,126,126,0.55026,0.71909
2003,North Rhine-Westphalia,Very often,0.03170,176,4636,0.02666,0.03675
2003,North Rhine-Westphalia,Often,0.05243,314,4636,0.04601,0.05884
2003,North Rhine-Westphalia,Sometimes,0.08042,448,4636,0.07259,0.08825
2003,North Rhine-Westphalia,Seldom,0.12605,745,4636,0.11650,0.13561
2003,North Rhine-Westphalia,Never,0.53456,2953,4636,0.52020,0.54892
2003,Hesse,Very often,0.04711,90,1485,0.03633,0.05789
2003,Hesse,Often,0.05931,123,1485,0.04729,0.07132
2003,Hesse,Sometimes,0.07178,154,1485,0.05865,0.08491
2003,Hesse,Seldom,0.12798,241,1485,0.11098,0.14497
2003,Hesse,Never,0.49803,877,1485,0.47259,0.52346
2003,"Rhineland-Palatinate, Saarland",Very often,0.04638,82,1327,0.03506,0.05769
2003,"Rhineland-Palatinate, Saarland",Often,0.07257,122,1327,0.05861,0.08654
2003,"Rhineland-Palatinate, Saarland",Sometimes,0.06254,108,1327,0.04951,0.07558
2003,"Rhineland-Palatinate, Saarland",Seldom,0.11981,198,1327,0.10233,0.13729
2003,"Rhineland-Palatinate, Saarland",Never,0.49816,817,1327,0.47125,0.52508
2003,Baden-Wuerttemberg,Very often,0.03581,118,2670,0.02876,0.04285
2003,Baden-Wuerttemberg,Often,0.06996,237,2670,0.06029,0.07964
2003,Baden-Wuerttemberg,Sometimes,0.08097,263,2670,0.07062,0.09132
2003,Baden-Wuerttemberg,Seldom,0.12640,470,2670,0.11379,0.13901
2003,Baden-Wuerttemberg,Never,0.48601,1582,2670,0.46705,0.50497
2003,Bavaria,Very often,0.06022,227,3113,0.05186,0.06857
2003,Bavaria,Often,0.07651,326,3113,0.06717,0.08585
2003,Bavaria,Sometimes,0.09093,362,3113,0.08083,0.10103
