"pli0098_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Taeglich","1990","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Taeglich","1990","Hauptschule","Staedtischer Raum","33","0.00643502683721988","0.00411064917636285","0.00875940449807691"
"Taeglich","1990","Hauptschule","Laendlicher Raum","22","","",""
"Taeglich","1990","Realschule","Staedtischer Raum","","","",""
"Taeglich","1990","Realschule","Laendlicher Raum","2","","",""
"Taeglich","1990","(Fach-)Abitur","Staedtischer Raum","1","","",""
"Taeglich","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1990","AkademikerIn","Staedtischer Raum","3","","",""
"Taeglich","1990","AkademikerIn","Laendlicher Raum","2","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Staedtischer Raum","136","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Laendlicher Raum","16","","",""
"Min 1x pro Woche","1990","Hauptschule","Staedtischer Raum","619","0.139424996239388","0.129355724536072","0.149494267942703"
"Min 1x pro Woche","1990","Hauptschule","Laendlicher Raum","232","","",""
"Min 1x pro Woche","1990","Realschule","Staedtischer Raum","180","","",""
"Min 1x pro Woche","1990","Realschule","Laendlicher Raum","96","0.0951501970918286","0.0796466180329154","0.110653776150742"
"Min 1x pro Woche","1990","(Fach-)Abitur","Staedtischer Raum","74","0.104889089446258","0.0821578057208582","0.127620373171658"
"Min 1x pro Woche","1990","(Fach-)Abitur","Laendlicher Raum","23","","",""
"Min 1x pro Woche","1990","AkademikerIn","Staedtischer Raum","89","0.104899223175661","0.0855658988099279","0.124232547541394"
"Min 1x pro Woche","1990","AkademikerIn","Laendlicher Raum","52","0.107096752890646","0.0838541914556495","0.130339314325642"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Staedtischer Raum","106","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Laendlicher Raum","14","","",""
"Min 1x pro Monat","1990","Hauptschule","Staedtischer Raum","484","0.106947941411886","0.0979641847893308","0.115931698034441"
"Min 1x pro Monat","1990","Hauptschule","Laendlicher Raum","260","","",""
"Min 1x pro Monat","1990","Realschule","Staedtischer Raum","152","","",""
"Min 1x pro Monat","1990","Realschule","Laendlicher Raum","91","0.0883718910576669","0.0733748768762528","0.103368905239081"
"Min 1x pro Monat","1990","(Fach-)Abitur","Staedtischer Raum","59","0.0637188445886445","0.0455988748941724","0.0818388142831167"
"Min 1x pro Monat","1990","(Fach-)Abitur","Laendlicher Raum","13","","",""
"Min 1x pro Monat","1990","AkademikerIn","Staedtischer Raum","80","0.0954492782542807","0.0769102391290869","0.113988317379475"
"Min 1x pro Monat","1990","AkademikerIn","Laendlicher Raum","36","0.0673230872223717","0.0484891438858701","0.0861570305588734"
"Seltener","1990","(noch) kein Abschluss","Staedtischer Raum","178","","",""
"Seltener","1990","(noch) kein Abschluss","Laendlicher Raum","30","0.286913080675661","0.212777536187329","0.361048625163993"
"Seltener","1990","Hauptschule","Staedtischer Raum","1365","","",""
"Seltener","1990","Hauptschule","Laendlicher Raum","620","0.298915963422246","0.280473940573769","0.317357986270724"
"Seltener","1990","Realschule","Staedtischer Raum","483","0.290879712381619","0.269588811006414","0.312170613756823"
"Seltener","1990","Realschule","Laendlicher Raum","291","","",""
"Seltener","1990","(Fach-)Abitur","Staedtischer Raum","191","","",""
"Seltener","1990","(Fach-)Abitur","Laendlicher Raum","46","0.286374098079809","0.219396242862474","0.353351953297143"
"Seltener","1990","AkademikerIn","Staedtischer Raum","244","","",""
"Seltener","1990","AkademikerIn","Laendlicher Raum","149","","",""
"Nie","1990","(noch) kein Abschluss","Staedtischer Raum","300","0.419289204361069","0.383543048827194","0.455035359894944"
"Nie","1990","(noch) kein Abschluss","Laendlicher Raum","82","0.486733071456094","0.404811713778478","0.568654429133711"
"Nie","1990","Hauptschule","Staedtischer Raum","2045","","",""
"Nie","1990","Hauptschule","Laendlicher Raum","1233","","",""
"Nie","1990","Realschule","Staedtischer Raum","933","0.509034627068837","0.485599005771798","0.532470248365877"
"Nie","1990","Realschule","Laendlicher Raum","896","0.580616521734752","0.554543628420208","0.606689415049296"
"Nie","1990","(Fach-)Abitur","Staedtischer Raum","373","0.563384368164294","0.526590756841795","0.600177979486793"
"Nie","1990","(Fach-)Abitur","Laendlicher Raum","93","0.473363898250898","0.399389413861918","0.547338382639877"
"Nie","1990","AkademikerIn","Staedtischer Raum","549","0.503777190263619","0.472231353911869","0.535323026615368"
