"germborn","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Schleswig-Holstein","13","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Hamburg","7","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Niedersachsen","35","0.760518976993002","0.675149414739474","0.845888539246529"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Bremen","2","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Nordrhein-Westfalen","75","0.534270089478485","0.485568508038885","0.582971670918086"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Hessen","18","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","12","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Baden-Wuerttemberg","36","0.470868642173404","0.417337502182011","0.524399782164797"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Bayern","31","0.608173498940672","0.524579886734386","0.691767111146957"
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Berlin","12","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(noch) kein Abschluss","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Schleswig-Holstein","205","0.972514902981712","0.951152327918694","0.993877478044729"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Hamburg","121","0.929093735963045","0.889691001985234","0.968496469940857"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Niedersachsen","647","0.948644179895357","0.932826462944306","0.964461896846409"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Bremen","68","0.90092758330509","0.839879012996861","0.961976153613319"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Nordrhein-Westfalen","1422","0.915760751647757","0.903182292111667","0.928339211183847"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Hessen","448","0.873635368738083","0.849126480485737","0.898144256990429"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Rheinland-Pfalz,Saarland","517","0.952230876679208","0.935065018914865","0.96939673444355"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Baden-Wuerttemberg","901","0.880029805275889","0.862729099676509","0.897330510875269"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Bayern","1038","0.934197674418325","0.920636241145649","0.947759107691002"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Berlin","155","0.920240834623611","0.883598807288966","0.956882861958255"
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Hauptschule","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Schleswig-Holstein","87","0.972820414802207","0.939593353902238","1.00604747570218"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Hamburg","54","0.98168085550963","0.946239975166505","1.01712173585276"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Niedersachsen","222","0.977520138565595","0.958278575915293","0.996761701215898"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Bremen","19","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Nordrhein-Westfalen","427","0.946828830328472","0.92636905091682","0.967288609740125"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Hessen","173","0.945482502097134","0.913028827891298","0.977936176302971"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Rheinland-Pfalz,Saarland","104","0.968718374582363","0.936038659128925","1.0013980900358"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Baden-Wuerttemberg","251","0.93182730065547","0.902410428217331","0.961244173093608"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Bayern","338","0.933050272120052","0.907583484941543","0.958517059298561"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Berlin","71","0.947157794194863","0.896860695676892","0.997454892712834"
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1984","Realschule","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Schleswig-Holstein","23","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Hamburg","21","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Niedersachsen","56","0.86656108873876","0.791575918412318","0.941546259065203"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Bremen","8","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Nordrhein-Westfalen","182","0.875217317642668","0.835124835258532","0.915309800026805"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Hessen","66","0.885445064251315","0.824815719852514","0.946074408650115"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","29","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Baden-Wuerttemberg","86","0.872245298643313","0.815934852146233","0.928555745140393"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Bayern","103","0.862969555130119","0.805595596111479","0.920343514148758"
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Berlin","22","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1984","(Fach-)Abitur","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Schleswig-Holstein","18","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Hamburg","17","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Niedersachsen","71","0.950761019806489","0.902744464758848","0.998777574854131"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Bremen","1","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Nordrhein-Westfalen","193","0.918425617577308","0.882660823922622","0.954190411231995"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Hessen","71","0.855877801631081","0.784497572616874","0.927258030645288"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Rheinland-Pfalz,Saarland","36","0.974252072406173","0.92321872711782","1.02528541769453"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Baden-Wuerttemberg","100","0.888392025952784","0.833191524528051","0.943592527377518"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Bayern","130","0.909949629852638","0.865173176372481","0.954726083332796"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Berlin","32","0.898053330093263","0.800557775324119","0.995548884862408"
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1984","AkademikerIn","Thueringen","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Schleswig-Holstein","6","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Hamburg","21","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Niedersachsen","61","0.239481023006998","0.154111460753471","0.324850585260526"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Bremen","4","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Nordrhein-Westfalen","328","0.465729910521515","0.417028329081914","0.514431491961115"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Hessen","124","0.506801283372157","0.424570630051668","0.589031936692645"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","62","0.551874948755875","0.4385691379815","0.665180759530251"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Baden-Wuerttemberg","298","0.529131357826596","0.475600217835204","0.582662497817989"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Bayern","100","0.391826501059329","0.308232888853043","0.475420113265614"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Saarland","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Berlin","36","0.432668225495837","0.292508406677531","0.572828044314144"
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Brandenburg","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Sachsen","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1984","(noch) kein Abschluss","Thueringen","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Schleswig-Holstein","20","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Hamburg","42","0.0709062640369549","0.0315035300591434","0.110308998014766"
"nicht in Deutschland geboren","1984","Hauptschule","Niedersachsen","101","0.0513558201046426","0.0355381031535908","0.0671735370556943"
"nicht in Deutschland geboren","1984","Hauptschule","Bremen","24","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Nordrhein-Westfalen","451","0.0842392483522429","0.0716607888161528","0.096817707888333"
"nicht in Deutschland geboren","1984","Hauptschule","Hessen","258","0.126364631261917","0.101855743009571","0.150873519514263"
"nicht in Deutschland geboren","1984","Hauptschule","Rheinland-Pfalz,Saarland","76","0.0477691233207925","0.0306032655564498","0.0649349810851351"
"nicht in Deutschland geboren","1984","Hauptschule","Baden-Wuerttemberg","454","0.119970194724111","0.102669489124731","0.137270900323491"
"nicht in Deutschland geboren","1984","Hauptschule","Bayern","246","0.0658023255816747","0.052240892308998","0.0793637588543513"
"nicht in Deutschland geboren","1984","Hauptschule","Saarland","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Berlin","55","0.0797591653763895","0.043117138041745","0.116401192711034"
