"plj0588","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2013","17-34","maennlich","13","","",""
"Sehr oft","2013","17-34","weiblich","35","0.00740588079610599","0.00441509707781534","0.0103966645143966"
"Sehr oft","2013","35-65","maennlich","52","0.00778341624702544","0.00567316509575284","0.00989366739829804"
"Sehr oft","2013","35-65","weiblich","110","0.0133299836813457","0.010850323193739","0.0158096441689524"
"Sehr oft","2013","66 +","maennlich","17","","",""
"Sehr oft","2013","66 +","weiblich","38","0.0154902478499061","0.010670606247716","0.0203098894520961"
"Oft","2013","17-34","maennlich","100","0.0361967266499272","0.0287947329316047","0.0435987203682497"
"Oft","2013","17-34","weiblich","206","0.0674773654861153","0.0587271338440637","0.076227597128167"
"Oft","2013","35-65","maennlich","291","0.0540691583974423","0.0486385276459462","0.0594997891489384"
"Oft","2013","35-65","weiblich","486","0.0623924987860717","0.0571629023768869","0.0676220951952566"
"Oft","2013","66 +","maennlich","101","0.0491009705453631","0.040418104312824","0.0577838367779021"
"Oft","2013","66 +","weiblich","133","0.0537330012261837","0.0449325904067921","0.0625334120455753"
"Manchmal","2013","17-34","maennlich","484","0.21304124363586","0.196814637490603","0.229267849781118"
"Manchmal","2013","17-34","weiblich","765","0.238903094814035","0.224028619133937","0.253777570494133"
"Manchmal","2013","35-65","maennlich","1184","0.191576689726967","0.182126587141451","0.201026792312483"
"Manchmal","2013","35-65","weiblich","1741","0.220221254215807","0.211261279994041","0.229181228437573"
"Manchmal","2013","66 +","maennlich","393","0.182362870671833","0.16684616999824","0.197879571345427"
"Manchmal","2013","66 +","weiblich","507","0.215334371350249","0.199291779187765","0.231376963512733"
"Selten","2013","17-34","maennlich","1131","0.467399994063019","0.447627347681346","0.487172640444692"
"Selten","2013","17-34","weiblich","1419","0.468444899978319","0.451038289843632","0.485851510113005"
"Selten","2013","35-65","maennlich","3201","0.477399757934556","0.465405547134749","0.489393968734362"
"Selten","2013","35-65","weiblich","3595","0.437361036907397","0.426635318401633","0.448086755413162"
"Selten","2013","66 +","maennlich","984","0.401586442917082","0.38188758247027","0.421285303363893"
"Selten","2013","66 +","weiblich","911","0.356318467309258","0.337627566171523","0.375009368446994"
"Nie","2013","17-34","maennlich","718","0.277185650564455","0.259447080021859","0.29492422110705"
"Nie","2013","17-34","weiblich","732","0.217768758925425","0.203371620954736","0.232165896896114"
"Nie","2013","35-65","maennlich","1934","0.26917097769401","0.258520531918855","0.279821423469165"
"Nie","2013","35-65","weiblich","2285","0.266695226409378","0.257133389657834","0.276257063160923"
"Nie","2013","66 +","maennlich","884","0.359712358169656","0.340427515102718","0.378997201236594"
"Nie","2013","66 +","weiblich","933","0.359123912264403","0.340400510972598","0.377847313556207"
"Sehr oft","2014","17-34","maennlich","","","",""
"Sehr oft","2014","17-34","weiblich","","","",""
"Sehr oft","2014","35-65","maennlich","","","",""
"Sehr oft","2014","35-65","weiblich","","","",""
"Sehr oft","2014","66 +","maennlich","","","",""
"Sehr oft","2014","66 +","weiblich","","","",""
"Oft","2014","17-34","maennlich","","","",""
"Oft","2014","17-34","weiblich","","","",""
"Oft","2014","35-65","maennlich","","","",""
"Oft","2014","35-65","weiblich","","","",""
"Oft","2014","66 +","maennlich","","","",""
"Oft","2014","66 +","weiblich","","","",""
"Manchmal","2014","17-34","maennlich","","","",""
"Manchmal","2014","17-34","weiblich","","","",""
"Manchmal","2014","35-65","maennlich","","","",""
"Manchmal","2014","35-65","weiblich","","","",""
"Manchmal","2014","66 +","maennlich","","","",""
"Manchmal","2014","66 +","weiblich","","","",""
"Selten","2014","17-34","maennlich","","","",""
"Selten","2014","17-34","weiblich","","","",""
"Selten","2014","35-65","maennlich","","","",""
"Selten","2014","35-65","weiblich","","","",""
"Selten","2014","66 +","maennlich","","","",""
"Selten","2014","66 +","weiblich","","","",""
"Nie","2014","17-34","maennlich","","","",""
"Nie","2014","17-34","weiblich","","","",""
"Nie","2014","35-65","maennlich","","","",""
"Nie","2014","35-65","weiblich","","","",""
"Nie","2014","66 +","maennlich","","","",""
"Nie","2014","66 +","weiblich","","","",""
