year,migback,pgisced97,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,No answer / don't know,Sometimes,0.26861,73,314,0.21951,0.31772
2013,No migration background,No answer / don't know,Seldom,0.36287,133,314,0.30960,0.41614
2013,No migration background,No answer / don't know,Never,0.31064,108,314,0.25938,0.36191
2013,No migration background,Pre-primary Level,Sometimes,0.14295,61,310,0.10392,0.18198
2013,No migration background,Pre-primary Level,Seldom,0.51851,166,310,0.46280,0.57422
2013,No migration background,Pre-primary Level,Never,0.25682,83,310,0.20810,0.30553
2013,No migration background,Primary Level,Sometimes,0.26077,50,147,0.18955,0.33198
2013,No migration background,Primary Level,Seldom,0.38150,56,147,0.30271,0.46030
2013,No migration background,Primary Level,Never,0.22616,41,147,0.15830,0.29402
2013,No migration background,Lower Secondary Level,Very often,0.01683,37,1835,0.01094,0.02271
2013,No migration background,Lower Secondary Level,Often,0.08016,136,1835,0.06773,0.09259
2013,No migration background,Lower Secondary Level,Sometimes,0.21108,392,1835,0.19240,0.22976
2013,No migration background,Lower Secondary Level,Seldom,0.38787,701,1835,0.36557,0.41017
2013,No migration background,Lower Secondary Level,Never,0.30407,569,1835,0.28301,0.32512
2013,No migration background,Upper Secondary Level,Very often,0.01020,122,10874,0.00831,0.01209
2013,No migration background,Upper Secondary Level,Often,0.05468,588,10874,0.05041,0.05895
2013,No migration background,Upper Secondary Level,Sometimes,0.21029,2199,10874,0.20263,0.21795
2013,No migration background,Upper Secondary Level,Seldom,0.43227,4758,10874,0.42295,0.44158
2013,No migration background,Upper Secondary Level,Never,0.29257,3207,10874,0.28401,0.30112
2013,No migration background,Post-secondary Non-tertiary Level,Often,0.05427,76,1373,0.04228,0.06626
2013,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.22835,276,1373,0.20614,0.25056
2013,No migration background,Post-secondary Non-tertiary Level,Seldom,0.46857,659,1373,0.44217,0.49498
2013,No migration background,Post-secondary Non-tertiary Level,Never,0.23911,362,1373,0.21654,0.26168
2013,No migration background,First Stage of Tertiary Education,Often,0.04888,69,1502,0.03797,0.05979
2013,No migration background,First Stage of Tertiary Education,Sometimes,0.20449,293,1502,0.18408,0.22489
2013,No migration background,First Stage of Tertiary Education,Seldom,0.47720,725,1502,0.45193,0.50247
2013,No migration background,First Stage of Tertiary Education,Never,0.26356,415,1502,0.24127,0.28585
2013,No migration background,Second Stage of Tertiary Education,Often,0.04245,152,5031,0.03688,0.04802
2013,No migration background,Second Stage of Tertiary Education,Sometimes,0.17502,827,5031,0.16452,0.18552
2013,No migration background,Second Stage of Tertiary Education,Seldom,0.50570,2541,5031,0.49188,0.51951
2013,No migration background,Second Stage of Tertiary Education,Never,0.27168,1511,5031,0.25939,0.28397
2013,Direct migration background,Primary Level,Sometimes,0.36333,37,71,0.25066,0.47600
2013,Direct migration background,Primary Level,Seldom,0.19195,34,71,0.09969,0.28421
2013,Direct migration background,Lower Secondary Level,Often,0.07826,31,517,0.05509,0.10144
2013,Direct migration background,Lower Secondary Level,Sometimes,0.32183,154,517,0.28152,0.36214
2013,Direct migration background,Lower Secondary Level,Seldom,0.23461,160,517,0.19805,0.27117
2013,Direct migration background,Lower Secondary Level,Never,0.34680,172,517,0.30573,0.38786
2013,Direct migration background,Upper Secondary Level,Often,0.07124,60,1012,0.05538,0.08709
2013,Direct migration background,Upper Secondary Level,Sometimes,0.20978,234,1012,0.18468,0.23488
2013,Direct migration background,Upper Secondary Level,Seldom,0.33102,388,1012,0.30201,0.36002
2013,Direct migration background,Upper Secondary Level,Never,0.36429,330,1012,0.33462,0.39395
2013,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.24345,74,291,0.19405,0.29284
2013,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.42139,126,291,0.36456,0.47822
2013,Direct migration background,Post-secondary Non-tertiary Level,Never,0.27724,91,291,0.22572,0.32876
2013,Direct migration background,First Stage of Tertiary Education,Seldom,0.25935,40,76,0.16016,0.35855
2013,Direct migration background,First Stage of Tertiary Education,Never,0.33976,36,76,0.23257,0.44696
2013,Direct migration background,Second Stage of Tertiary Education,Often,0.05012,47,590,0.03250,0.06774
2013,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.19225,137,590,0.16043,0.22408
2013,Direct migration background,Second Stage of Tertiary Education,Seldom,0.48148,242,590,0.44113,0.52183
2013,Direct migration background,Second Stage of Tertiary Education,Never,0.26888,164,590,0.23307,0.30468
2013,Indirect migration background,No answer / don't know,Seldom,0.50084,38,38,0.33973,0.66195
2013,Indirect migration background,Pre-primary Level,Seldom,0.44095,48,79,0.33077,0.55114
2013,Indirect migration background,Pre-primary Level,Never,0.38595,31,79,0.27791,0.49399
2013,Indirect migration background,Lower Secondary Level,Sometimes,0.17735,38,183,0.12185,0.23284
2013,Indirect migration background,Lower Secondary Level,Seldom,0.35092,72,183,0.28158,0.42026
2013,Indirect migration background,Lower Secondary Level,Never,0.34315,73,183,0.27417,0.41212
2013,Indirect migration background,Upper Secondary Level,Sometimes,0.25057,99,428,0.20947,0.29167
2013,Indirect migration background,Upper Secondary Level,Seldom,0.46429,196,428,0.41698,0.51159
2013,Indirect migration background,Upper Secondary Level,Never,0.26525,133,428,0.22338,0.30713
2013,Indirect migration background,Second Stage of Tertiary Education,Sometimes,0.18146,34,157,0.12098,0.24194
2013,Indirect migration background,Second Stage of Tertiary Education,Seldom,0.54020,77,157,0.46199,0.61841
2013,Indirect migration background,Second Stage of Tertiary Education,Never,0.26973,46,157,0.20009,0.33938
2019,Direct migration background,Primary Level,Never,0.49062,50,50,0.35065,0.63060
2021,No migration background,No answer / don't know,Sometimes,0.18783,67,291,0.14287,0.23278
2021,No migration background,No answer / don't know,Seldom,0.53097,144,291,0.47354,0.58841
2021,No migration background,No answer / don't know,Never,0.20965,80,291,0.16280,0.25650
2021,No migration background,Pre-primary Level,Seldom,0.61341,52,52,0.47976,0.74706
2021,No migration background,Lower Secondary Level,Often,0.07460,78,852,0.05695,0.09226
2021,No migration background,Lower Secondary Level,Sometimes,0.18647,172,852,0.16030,0.21263
2021,No migration background,Lower Secondary Level,Seldom,0.44896,364,852,0.41554,0.48238
2021,No migration background,Lower Secondary Level,Never,0.25951,238,852,0.23006,0.28897
2021,No migration background,Upper Secondary Level,Very often,0.01501,74,5706,0.01186,0.01817
2021,No migration background,Upper Secondary Level,Often,0.05823,341,5706,0.05215,0.06431
