year,migback,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Very often,0.00925,206,21491,0.00797,0.01053
2013,No migration background,Often,0.05492,1079,21491,0.05187,0.05796
2013,No migration background,Sometimes,0.20427,4171,21491,0.19888,0.20966
2013,No migration background,Seldom,0.44821,9739,21491,0.44157,0.45486
2013,No migration background,Never,0.28335,6296,21491,0.27732,0.28937
2013,Direct migration background,Very often,0.01799,53,2787,0.01306,0.02293
2013,Direct migration background,Often,0.06667,191,2787,0.05740,0.07593
2013,Direct migration background,Sometimes,0.24578,678,2787,0.22979,0.26177
2013,Direct migration background,Seldom,0.33700,1016,2787,0.31945,0.35455
2013,Direct migration background,Never,0.33256,849,2787,0.31507,0.35006
2013,Indirect migration background,Often,0.04005,47,1099,0.02845,0.05165
2013,Indirect migration background,Sometimes,0.21674,225,1099,0.19237,0.24111
2013,Indirect migration background,Seldom,0.44867,486,1099,0.41925,0.47809
2013,Indirect migration background,Never,0.28997,341,1099,0.26313,0.31681
2019,Direct migration background,Sometimes,0.21986,49,226,0.16574,0.27397
2019,Direct migration background,Seldom,0.20362,57,226,0.15100,0.25623
2019,Direct migration background,Never,0.49301,120,226,0.42768,0.55833
2021,No migration background,Very often,0.01464,169,13110,0.01259,0.01670
2021,No migration background,Often,0.05382,707,13110,0.04996,0.05769
2021,No migration background,Sometimes,0.19802,2512,13110,0.19120,0.20485
2021,No migration background,Seldom,0.46267,5982,13110,0.45414,0.47121
2021,No migration background,Never,0.27084,3740,13110,0.26323,0.27845
2021,Direct migration background,Very often,0.02280,222,5117,0.01871,0.02689
2021,Direct migration background,Often,0.09165,512,5117,0.08375,0.09956
2021,Direct migration background,Sometimes,0.25196,1375,5117,0.24006,0.26385
2021,Direct migration background,Seldom,0.40982,1423,5117,0.39634,0.42330
2021,Direct migration background,Never,0.22377,1585,5117,0.21235,0.23519
2021,Indirect migration background,Often,0.04760,44,907,0.03374,0.06147
2021,Indirect migration background,Sometimes,0.19985,194,907,0.17381,0.22589
2021,Indirect migration background,Seldom,0.47976,424,907,0.44722,0.51229
2021,Indirect migration background,Never,0.26034,245,907,0.23177,0.28892
2022,Direct migration background,Very often,0.06223,105,1745,0.05089,0.07356
2022,Direct migration background,Often,0.11403,160,1745,0.09911,0.12895
2022,Direct migration background,Sometimes,0.30206,490,1745,0.28051,0.32361
2022,Direct migration background,Seldom,0.16650,241,1745,0.14902,0.18398
2022,Direct migration background,Never,0.35518,749,1745,0.33272,0.37764
