year,age_gr,migback,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,No migration background,Often,0.05045,148,2777,0.04231,0.05859
2013,17-29 y.,No migration background,Sometimes,0.22893,618,2777,0.21330,0.24456
2013,17-29 y.,No migration background,Seldom,0.47881,1315,2777,0.46023,0.49739
2013,17-29 y.,No migration background,Never,0.23484,696,2777,0.21907,0.25061
2013,17-29 y.,Direct migration background,Sometimes,0.22962,68,276,0.17991,0.27933
2013,17-29 y.,Direct migration background,Seldom,0.31543,113,276,0.26051,0.37035
2013,17-29 y.,Direct migration background,Never,0.43542,95,276,0.37682,0.49403
2013,17-29 y.,Indirect migration background,Sometimes,0.18307,87,449,0.14726,0.21888
2013,17-29 y.,Indirect migration background,Seldom,0.46739,219,449,0.42119,0.51360
2013,17-29 y.,Indirect migration background,Never,0.29271,143,449,0.25058,0.33484
2013,30-45 y.,No migration background,Very often,0.00625,58,6249,0.00430,0.00821
2013,30-45 y.,No migration background,Often,0.05692,307,6249,0.05117,0.06266
2013,30-45 y.,No migration background,Sometimes,0.20012,1234,6249,0.19020,0.21005
2013,30-45 y.,No migration background,Seldom,0.49265,2988,6249,0.48025,0.50505
2013,30-45 y.,No migration background,Never,0.24405,1662,6249,0.23340,0.25470
2013,30-45 y.,Direct migration background,Often,0.06016,83,1218,0.04680,0.07352
2013,30-45 y.,Direct migration background,Sometimes,0.23088,309,1218,0.20720,0.25455
2013,30-45 y.,Direct migration background,Seldom,0.35404,473,1218,0.32717,0.38091
2013,30-45 y.,Direct migration background,Never,0.33693,353,1218,0.31038,0.36349
2013,30-45 y.,Indirect migration background,Sometimes,0.26948,108,470,0.22932,0.30963
2013,30-45 y.,Indirect migration background,Seldom,0.40853,206,470,0.36404,0.45302
2013,30-45 y.,Indirect migration background,Never,0.28529,156,470,0.24442,0.32616
2013,46-65 y.,No migration background,Very often,0.01013,82,7927,0.00793,0.01234
2013,46-65 y.,No migration background,Often,0.06027,424,7927,0.05503,0.06551
2013,46-65 y.,No migration background,Sometimes,0.20377,1510,7927,0.19490,0.21263
