year,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.03948,218,4408,0.03373,0.04523
1996,Urban regions,No,0.96052,4190,4408,0.95477,0.96627
1996,Rural regions,Yes,0.05071,146,2223,0.04159,0.05983
1996,Rural regions,No,0.94929,2077,2223,0.94017,0.95841
2001,Urban regions,Yes,0.04907,443,7783,0.04427,0.05386
2001,Urban regions,No,0.95093,7340,7783,0.94614,0.95573
2001,Rural regions,Yes,0.06106,289,3897,0.05354,0.06858
2001,Rural regions,No,0.93894,3608,3897,0.93142,0.94646
2006,Urban regions,Yes,0.04611,460,8168,0.04156,0.05066
2006,Urban regions,No,0.95389,7708,8168,0.94934,0.95844
2006,Rural regions,Yes,0.07227,326,4097,0.06434,0.08020
2006,Rural regions,No,0.92773,3771,4097,0.91980,0.93566
2011,Urban regions,Yes,0.04292,445,7873,0.03844,0.04740
2011,Urban regions,No,0.88181,7428,7873,0.87468,0.88894
2011,Rural regions,Yes,0.04912,280,4211,0.04259,0.05564
2011,Rural regions,No,0.87152,3931,4211,0.86141,0.88163
2016,Urban regions,Yes,0.02798,382,9377,0.02464,0.03132
2016,Urban regions,No,0.96654,8995,9377,0.96290,0.97018
2016,Rural regions,Yes,0.05193,305,4925,0.04573,0.05812
2016,Rural regions,No,0.94316,4620,4925,0.93669,0.94963
2021,Urban regions,Yes,0.02622,269,7409,0.02258,0.02986
2021,Urban regions,No,0.96102,7140,7409,0.95661,0.96543
2021,Rural regions,Yes,0.04640,200,3646,0.03957,0.05323
2021,Rural regions,No,0.94550,3446,3646,0.93813,0.95287
