"ple0040","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1984","(noch) kein Abschluss","maennlich","39","0.0800527618464587","0.057715693068747","0.10238983062417"
"Ja","1984","(noch) kein Abschluss","weiblich","32","0.0478587683674555","0.0321013532018347","0.0636161835330762"
"Ja","1984","Hauptschule","maennlich","477","0.175824792658744","0.163180820303783","0.188468765013704"
"Ja","1984","Hauptschule","weiblich","336","0.112597815021485","0.102450868591516","0.122744761451453"
"Ja","1984","Realschule","maennlich","65","0.097193752706733","0.0764321360604999","0.117955369352966"
"Ja","1984","Realschule","weiblich","68","0.0782638023602164","0.0623409157114426","0.0941866890089902"
"Ja","1984","(Fach-)Abitur","maennlich","48","0.109989456386775","0.0829936475715605","0.13698526520199"
"Ja","1984","(Fach-)Abitur","weiblich","12","","",""
"Ja","1984","AkademikerIn","maennlich","58","0.125128612301764","0.0969603162227564","0.153296908380772"
"Ja","1984","AkademikerIn","weiblich","13","","",""
"Nein","1984","(noch) kein Abschluss","maennlich","528","0.919947238153541","0.89761016937583","0.942284306931253"
"Nein","1984","(noch) kein Abschluss","weiblich","673","0.952141231632544","0.936383816466924","0.967898646798165"
"Nein","1984","Hauptschule","maennlich","3005","0.824175207341256","0.811531234986296","0.836819179696217"
"Nein","1984","Hauptschule","weiblich","3392","0.887402184978515","0.877255238548546","0.897549131408484"
"Nein","1984","Realschule","maennlich","717","0.902806247293267","0.882044630647034","0.9235678639395"
"Nein","1984","Realschule","weiblich","1025","","",""
"Nein","1984","(Fach-)Abitur","maennlich","468","0.890010543613225","0.86301473479801","0.91700635242844"
"Nein","1984","(Fach-)Abitur","weiblich","335","0.951901448191488","0.929387827355366","0.974415069027611"
"Nein","1984","AkademikerIn","maennlich","472","0.874871387698236","0.846703091619228","0.903039683777244"
"Nein","1984","AkademikerIn","weiblich","242","","",""
"Ja","1985","(noch) kein Abschluss","maennlich","38","0.108830134540212","0.081423097792559","0.136237171287865"
"Ja","1985","(noch) kein Abschluss","weiblich","27","","",""
"Ja","1985","Hauptschule","maennlich","430","0.177897556412023","0.164461362661862","0.191333750162184"
"Ja","1985","Hauptschule","weiblich","274","","",""
"Ja","1985","Realschule","maennlich","60","0.0937020322972992","0.0728600928032573","0.114543971791341"
"Ja","1985","Realschule","weiblich","71","0.0843197360336106","0.0675446664000015","0.10109480566722"
"Ja","1985","(Fach-)Abitur","maennlich","41","0.10118737130897","0.0737175815658494","0.128657161052091"
"Ja","1985","(Fach-)Abitur","weiblich","12","","",""
"Ja","1985","AkademikerIn","maennlich","50","0.115146257618225","0.087361617809409","0.14293089742704"
"Ja","1985","AkademikerIn","weiblich","17","","",""
"Nein","1985","(noch) kein Abschluss","maennlich","458","0.891169865459788","0.863762828712135","0.918576902207441"
"Nein","1985","(noch) kein Abschluss","weiblich","556","0.945138959221187","0.92665505678261","0.963622861659764"
"Nein","1985","Hauptschule","maennlich","2682","","",""
"Nein","1985","Hauptschule","weiblich","2993","","",""
"Nein","1985","Realschule","maennlich","691","0.906297967702701","0.885456028208659","0.927139907196743"
"Nein","1985","Realschule","weiblich","983","0.915680263966389","0.89890519433278","0.932455333599998"
"Nein","1985","(Fach-)Abitur","maennlich","422","0.89881262869103","0.871342838947909","0.926282418434151"
"Nein","1985","(Fach-)Abitur","weiblich","308","0.943575607187883","0.91829456917733","0.968856645198436"
"Nein","1985","AkademikerIn","maennlich","457","0.884853742381775","0.85706910257296","0.912638382190591"
"Nein","1985","AkademikerIn","weiblich","227","","",""
"Ja","1986","(noch) kein Abschluss","maennlich","1","","",""
"Ja","1986","(noch) kein Abschluss","weiblich","2","","",""
"Ja","1986","Hauptschule","maennlich","2","","",""
"Ja","1986","Hauptschule","weiblich","1","","",""
"Ja","1986","Realschule","maennlich","1","","",""
"Ja","1986","Realschule","weiblich","1","","",""
"Ja","1986","(Fach-)Abitur","maennlich","","","",""
"Ja","1986","(Fach-)Abitur","weiblich","","","",""
"Ja","1986","AkademikerIn","maennlich","","","",""
"Ja","1986","AkademikerIn","weiblich","","","",""
"Nein","1986","(noch) kein Abschluss","maennlich","68","0.981276585189264","0.9492941305069","1.01325903987163"
"Nein","1986","(noch) kein Abschluss","weiblich","54","0.971389965670556","0.927727317397989","1.01505261394312"
"Nein","1986","Hauptschule","maennlich","114","","",""
"Nein","1986","Hauptschule","weiblich","103","","",""
"Nein","1986","Realschule","maennlich","41","0.978169440659977","0.933975480194187","1.02236340112577"
"Nein","1986","Realschule","weiblich","48","0.984812402534544","0.950569438894358","1.01905536617473"
"Nein","1986","(Fach-)Abitur","maennlich","9","1","1","1"
"Nein","1986","(Fach-)Abitur","weiblich","14","","",""
"Nein","1986","AkademikerIn","maennlich","9","1","1","1"
"Nein","1986","AkademikerIn","weiblich","7","1","1","1"
"Ja","1987","(noch) kein Abschluss","maennlich","41","0.113362022188969","0.0840700379902762","0.142654006387663"
"Ja","1987","(noch) kein Abschluss","weiblich","31","0.0688268404208269","0.0475531525771949","0.0901005282644588"
"Ja","1987","Hauptschule","maennlich","396","0.175316084369749","0.161543444293558","0.189088724445941"
"Ja","1987","Hauptschule","weiblich","259","","",""
"Ja","1987","Realschule","maennlich","52","0.082936231641357","0.063106099821386","0.102766363461328"
"Ja","1987","Realschule","weiblich","78","0.0994522158117074","0.0810049024096264","0.117899529213788"
"Ja","1987","(Fach-)Abitur","maennlich","41","0.102099515128028","0.074217450285089","0.129981579970967"
"Ja","1987","(Fach-)Abitur","weiblich","12","","",""
"Ja","1987","AkademikerIn","maennlich","48","0.112040179102613","0.0842258767550211","0.139854481450205"
"Ja","1987","AkademikerIn","weiblich","12","","",""
"Nein","1987","(noch) kein Abschluss","maennlich","409","0.88663797781103","0.857345993612337","0.915929962009724"
"Nein","1987","(noch) kein Abschluss","weiblich","513","0.931173159579173","0.909899471735541","0.952446847422805"
"Nein","1987","Hauptschule","maennlich","2532","","",""
"Nein","1987","Hauptschule","weiblich","2779","","",""
"Nein","1987","Realschule","maennlich","691","0.917063768358643","0.897233636538672","0.936893900178614"
"Nein","1987","Realschule","weiblich","933","0.900547784188293","0.882100470786212","0.918995097590374"
"Nein","1987","(Fach-)Abitur","maennlich","412","0.897900484871972","0.870018420029033","0.925782549714911"
"Nein","1987","(Fach-)Abitur","weiblich","314","0.944660645855853","0.919841076275014","0.969480215436692"
"Nein","1987","AkademikerIn","maennlich","446","0.887959820897387","0.860145518549795","0.915774123244979"
"Nein","1987","AkademikerIn","weiblich","235","","",""
"Ja","1988","(noch) kein Abschluss","maennlich","39","0.105947625434366","0.0757109770792069","0.136184273789525"
"Ja","1988","(noch) kein Abschluss","weiblich","32","0.0672799134075839","0.0454530560972165","0.0891067707179512"
"Ja","1988","Hauptschule","maennlich","432","0.192931968237491","0.178393721232758","0.207470215242225"
"Ja","1988","Hauptschule","weiblich","284","","",""
"Ja","1988","Realschule","maennlich","57","0.0982422479049154","0.076113859968428","0.120370635841403"
"Ja","1988","Realschule","weiblich","70","0.0941220475249989","0.0760331715822668","0.112210923467731"
"Ja","1988","(Fach-)Abitur","maennlich","44","0.118499802976143","0.0881626467967233","0.148836959155563"
"Ja","1988","(Fach-)Abitur","weiblich","13","","",""
"Ja","1988","AkademikerIn","maennlich","40","0.0967561123940704","0.0700580736926077","0.123454151095533"
"Ja","1988","AkademikerIn","weiblich","15","","",""
"Nein","1988","(noch) kein Abschluss","maennlich","359","0.894052374565634","0.863815726210475","0.924289022920793"
"Nein","1988","(noch) kein Abschluss","weiblich","474","0.932720086592416","0.910893229282049","0.954546943902783"
"Nein","1988","Hauptschule","maennlich","2398","","",""
"Nein","1988","Hauptschule","weiblich","2597","","",""
"Nein","1988","Realschule","maennlich","638","0.901757752095085","0.879629364158597","0.923886140031572"
"Nein","1988","Realschule","weiblich","931","0.905877952475001","0.887789076532269","0.923966828417733"
"Nein","1988","(Fach-)Abitur","maennlich","392","0.881500197023857","0.851163040844437","0.911837353203277"
"Nein","1988","(Fach-)Abitur","weiblich","287","","",""
"Nein","1988","AkademikerIn","maennlich","431","0.90324388760593","0.876545848904467","0.929941926307392"
"Nein","1988","AkademikerIn","weiblich","211","","",""
"Ja","1989","(noch) kein Abschluss","maennlich","41","0.105288919508886","0.0745905562244546","0.135987282793318"
"Ja","1989","(noch) kein Abschluss","weiblich","35","0.0880060969795171","0.0631738832997614","0.112838310659273"
"Ja","1989","Hauptschule","maennlich","418","0.203655395964934","0.188451069441117","0.218859722488752"
"Ja","1989","Hauptschule","weiblich","282","","",""
"Ja","1989","Realschule","maennlich","51","0.0937858786408574","0.0717440514613987","0.115827705820316"
"Ja","1989","Realschule","weiblich","68","0.0959921380833972","0.077473079957979","0.114511196208815"
"Ja","1989","(Fach-)Abitur","maennlich","39","0.106173718996359","0.0775192951267895","0.134828142865929"
"Ja","1989","(Fach-)Abitur","weiblich","11","","",""
"Ja","1989","AkademikerIn","maennlich","44","0.103103177036295","0.0755818775439537","0.130624476528637"
"Ja","1989","AkademikerIn","weiblich","17","","",""
"Nein","1989","(noch) kein Abschluss","maennlich","343","0.894711080491114","0.864012717206682","0.925409443775545"
"Nein","1989","(noch) kein Abschluss","weiblich","465","0.911993903020483","0.887161689340727","0.936826116700239"
"Nein","1989","Hauptschule","maennlich","2277","","",""
"Nein","1989","Hauptschule","weiblich","2485","","",""
"Nein","1989","Realschule","maennlich","621","0.906214121359143","0.884172294179684","0.928255948538601"
"Nein","1989","Realschule","weiblich","904","0.904007861916603","0.885488803791185","0.922526920042021"
"Nein","1989","(Fach-)Abitur","maennlich","405","0.89382628100364","0.865171857134071","0.92248070487321"
"Nein","1989","(Fach-)Abitur","weiblich","297","","",""
"Nein","1989","AkademikerIn","maennlich","425","0.896896822963705","0.869375523471363","0.924418122456046"
"Nein","1989","AkademikerIn","weiblich","209","","",""
"Ja","1990","(noch) kein Abschluss","maennlich","","","",""
"Ja","1990","(noch) kein Abschluss","weiblich","","","",""
"Ja","1990","Hauptschule","maennlich","","","",""
"Ja","1990","Hauptschule","weiblich","","","",""
"Ja","1990","Realschule","maennlich","","","",""
"Ja","1990","Realschule","weiblich","","","",""
"Ja","1990","(Fach-)Abitur","maennlich","","","",""
"Ja","1990","(Fach-)Abitur","weiblich","","","",""
"Ja","1990","AkademikerIn","maennlich","","","",""
"Ja","1990","AkademikerIn","weiblich","","","",""
"Nein","1990","(noch) kein Abschluss","maennlich","","","",""
"Nein","1990","(noch) kein Abschluss","weiblich","","","",""
"Nein","1990","Hauptschule","maennlich","","","",""
