"plh0038","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","(noch) kein Abschluss","Westdeutschland","550","0.478480669603005","0.450854499910639","0.506106839295372"
"Grosse Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1984","Hauptschule","Westdeutschland","3665","0.519866362289168","0.5083061964681","0.531426528110237"
"Grosse Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1984","Realschule","Westdeutschland","1039","0.556804357954897","0.534307169007543","0.57930154690225"
"Grosse Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1984","(Fach-)Abitur","Westdeutschland","524","0.609543637572381","0.5769762358451","0.642111039299662"
"Grosse Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1984","AkademikerIn","Westdeutschland","446","0.560684663736039","0.525899645505238","0.595469681966839"
"Grosse Sorgen","1984","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1984","(noch) kein Abschluss","Westdeutschland","433","0.336075951696396","0.309952462107975","0.362199441284817"
"Einige Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1984","Hauptschule","Westdeutschland","2728","0.383331313428346","0.372081372681784","0.394581254174907"
"Einige Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1984","Realschule","Westdeutschland","677","0.35880398669268","0.337081815153463","0.380526158231897"
"Einige Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1984","(Fach-)Abitur","Westdeutschland","269","0.317859445879801","0.286774583146974","0.348944308612627"
"Einige Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1984","AkademikerIn","Westdeutschland","271","0.350943496601722","0.317492846171685","0.384394147031759"
"Einige Sorgen","1984","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1984","(noch) kein Abschluss","Westdeutschland","273","0.185443378700599","0.163949263305332","0.206937494095865"
"Keine Sorgen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1984","Hauptschule","Westdeutschland","782","0.0968023242824857","0.0899605075547623","0.103644141010209"
"Keine Sorgen","1984","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1984","Realschule","Westdeutschland","157","0.0843916553524235","0.0718028700683151","0.0969804406365319"
"Keine Sorgen","1984","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1984","(Fach-)Abitur","Westdeutschland","69","0.0725969165478186","0.0552753242065983","0.0899185088890389"
"Keine Sorgen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1984","AkademikerIn","Westdeutschland","65","0.0883718396622394","0.0684783703403885","0.10826530898409"
"Keine Sorgen","1984","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1985","(noch) kein Abschluss","Westdeutschland","462","0.448224649546265","0.418229906370789","0.478219392721741"
"Grosse Sorgen","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Hauptschule","Westdeutschland","3034","0.478790459178034","0.466522924419995","0.491057993936073"
"Grosse Sorgen","1985","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Realschule","Westdeutschland","895","0.500515291166365","0.477404063220665","0.523626519112064"
"Grosse Sorgen","1985","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1985","(Fach-)Abitur","Westdeutschland","447","0.569157036138096","0.534449780751643","0.603864291524549"
"Grosse Sorgen","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1985","AkademikerIn","Westdeutschland","398","0.511608209470306","0.475786177095812","0.5474302418448"
"Grosse Sorgen","1985","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1985","(noch) kein Abschluss","Westdeutschland","393","0.368333052216533","0.339240584954742","0.397425519478325"
"Einige Sorgen","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1985","Hauptschule","Westdeutschland","2595","0.414672499602026","0.402574029469666","0.426770969734386"
"Einige Sorgen","1985","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1985","Realschule","Westdeutschland","716","0.397513777108121","0.374893240660662","0.42013431355558"
"Einige Sorgen","1985","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1985","(Fach-)Abitur","Westdeutschland","268","0.355005464647576","0.32146722596263","0.388543703332522"
"Einige Sorgen","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1985","AkademikerIn","Westdeutschland","290","0.397159425358815","0.362093850221674","0.432225000495955"
"Einige Sorgen","1985","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1985","(noch) kein Abschluss","Westdeutschland","201","0.183442298237202","0.160099156178477","0.206785440295927"
"Keine Sorgen","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1985","Hauptschule","Westdeutschland","741","0.10653704121994","0.0989605701965599","0.11411351224332"
"Keine Sorgen","1985","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1985","Realschule","Westdeutschland","187","0.101970931725515","0.0879835432001979","0.115958320250832"
"Keine Sorgen","1985","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1985","(Fach-)Abitur","Westdeutschland","67","0.0758374992143282","0.0572825022587765","0.09439249616988"
"Keine Sorgen","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1985","AkademikerIn","Westdeutschland","60","0.0912323651708788","0.0705976639539479","0.11186706638781"
"Keine Sorgen","1985","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1986","(noch) kein Abschluss","Westdeutschland","413","0.395862369420711","0.365732455658713","0.42599228318271"
"Grosse Sorgen","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Hauptschule","Westdeutschland","2705","0.448724524019084","0.436172098127565","0.461276949910603"
"Grosse Sorgen","1986","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Realschule","Westdeutschland","818","0.451829424414552","0.428565457547657","0.475093391281447"
"Grosse Sorgen","1986","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1986","(Fach-)Abitur","Westdeutschland","427","0.521462244690935","0.48693279907879","0.55599169030308"
"Grosse Sorgen","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1986","AkademikerIn","Westdeutschland","354","0.457348852526507","0.421599939849876","0.493097765203138"
"Grosse Sorgen","1986","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1986","(noch) kein Abschluss","Westdeutschland","407","0.4197228186893","0.389316988092555","0.450128649286044"
"Einige Sorgen","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1986","Hauptschule","Westdeutschland","2542","0.427268657331875","0.414783919701229","0.439753394962521"
"Einige Sorgen","1986","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1986","Realschule","Westdeutschland","730","0.424683859766722","0.401577857446054","0.44778986208739"
"Einige Sorgen","1986","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1986","(Fach-)Abitur","Westdeutschland","305","0.389240028969157","0.355537375292225","0.42294268264609"
"Einige Sorgen","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1986","AkademikerIn","Westdeutschland","324","0.448893434627241","0.413201663739806","0.484585205514676"
"Einige Sorgen","1986","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1986","(noch) kein Abschluss","Westdeutschland","192","0.184414811889989","0.16052072714347","0.208308896636508"
"Keine Sorgen","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1986","Hauptschule","Westdeutschland","784","0.12400681864904","0.115688672002057","0.132324965296024"
"Keine Sorgen","1986","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1986","Realschule","Westdeutschland","210","0.123486715818726","0.108107718288861","0.138865713348591"
"Keine Sorgen","1986","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1986","(Fach-)Abitur","Westdeutschland","72","0.0892977263399074","0.0695858267761011","0.109009625903714"
"Keine Sorgen","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1986","AkademikerIn","Westdeutschland","68","0.0937577128462518","0.0728404746864145","0.114674951006089"
"Keine Sorgen","1986","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1987","(noch) kein Abschluss","Westdeutschland","389","0.435711291121103","0.404714165773649","0.466708416468557"
"Grosse Sorgen","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1987","Hauptschule","Westdeutschland","2631","0.464036099491249","0.451360185261239","0.47671201372126"
"Grosse Sorgen","1987","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1987","Realschule","Westdeutschland","789","0.455532806713137","0.432139350330085","0.478926263096188"
"Grosse Sorgen","1987","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1987","(Fach-)Abitur","Westdeutschland","370","0.48147306291886","0.446340547931951","0.51660557790577"
"Grosse Sorgen","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1987","AkademikerIn","Westdeutschland","348","0.463231277144315","0.427352413729173","0.499110140559456"
"Grosse Sorgen","1987","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1987","(noch) kein Abschluss","Westdeutschland","416","0.395074018077774","0.364513431496858","0.425634604658691"
"Einige Sorgen","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1987","Hauptschule","Westdeutschland","2587","0.423219345242598","0.41066125102864","0.435777439456557"
"Einige Sorgen","1987","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1987","Realschule","Westdeutschland","767","0.437802356851533","0.414498260706756","0.461106452996309"
"Einige Sorgen","1987","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1987","(Fach-)Abitur","Westdeutschland","327","0.419642331531395","0.38494268179956","0.454341981263229"
"Einige Sorgen","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1987","AkademikerIn","Westdeutschland","314","0.426035859432694","0.390455396368031","0.461616322497357"
"Einige Sorgen","1987","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1987","(noch) kein Abschluss","Westdeutschland","178","0.169214690801123","0.145775923434823","0.192653458167423"
"Keine Sorgen","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1987","Hauptschule","Westdeutschland","728","0.112744555266152","0.104705449100526","0.120783661431778"
"Keine Sorgen","1987","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1987","Realschule","Westdeutschland","185","0.106664836435331","0.0921648847259239","0.121164788144737"
"Keine Sorgen","1987","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1987","(Fach-)Abitur","Westdeutschland","80","0.0988846055497451","0.0778955871179435","0.119873623981547"
"Keine Sorgen","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1987","AkademikerIn","Westdeutschland","80","0.110732863422992","0.0881540806620465","0.133311646183937"
"Keine Sorgen","1987","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1988","(noch) kein Abschluss","Westdeutschland","343","0.395629028744644","0.3635576053872","0.427700452102088"
"Grosse Sorgen","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1988","Hauptschule","Westdeutschland","2327","0.412692595635058","0.399898359152575","0.425486832117541"
"Grosse Sorgen","1988","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1988","Realschule","Westdeutschland","681","0.405934665193404","0.382528974439294","0.429340355947515"
"Grosse Sorgen","1988","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1988","(Fach-)Abitur","Westdeutschland","312","0.418373443275722","0.382564748151155","0.45418213840029"
"Grosse Sorgen","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1988","AkademikerIn","Westdeutschland","257","0.374436948092411","0.338609656753696","0.410264239431125"
"Grosse Sorgen","1988","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1988","(noch) kein Abschluss","Westdeutschland","395","0.437126892683553","0.404593348751418","0.469660436615689"
"Einige Sorgen","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1988","Hauptschule","Westdeutschland","2639","0.463680008412153","0.450720471712274","0.476639545112031"
"Einige Sorgen","1988","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1988","Realschule","Westdeutschland","815","0.468728501990157","0.444943936216039","0.492513067764275"
"Einige Sorgen","1988","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1988","(Fach-)Abitur","Westdeutschland","340","0.473358921350112","0.437114850059242","0.509602992640982"
"Einige Sorgen","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1988","AkademikerIn","Westdeutschland","353","0.483446511275414","0.446453392503783","0.520439630047044"
"Einige Sorgen","1988","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1988","(noch) kein Abschluss","Westdeutschland","155","0.167244078571802","0.142767167985627","0.191720989157978"
"Keine Sorgen","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1988","Hauptschule","Westdeutschland","722","0.123627395952789","0.115073380030618","0.132181411874961"
"Keine Sorgen","1988","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1988","Realschule","Westdeutschland","195","0.125336832816439","0.109555776687729","0.141117888945148"
"Keine Sorgen","1988","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1988","(Fach-)Abitur","Westdeutschland","77","0.108267635374166","0.0857122154316657","0.130823055316666"
"Keine Sorgen","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1988","AkademikerIn","Westdeutschland","91","0.142116540632176","0.116268624078431","0.16796445718592"
"Keine Sorgen","1988","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1989","(noch) kein Abschluss","Westdeutschland","301","0.348092357029041","0.316346992565229","0.379837721492853"
"Grosse Sorgen","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1989","Hauptschule","Westdeutschland","1947","0.359108941276918","0.346353558685971","0.371864323867865"
"Grosse Sorgen","1989","Hauptschule","Ostdeutschland","","","",""
"Grosse Sorgen","1989","Realschule","Westdeutschland","522","0.311240962770506","0.288846350648387","0.333635574892625"
"Grosse Sorgen","1989","Realschule","Ostdeutschland","","","",""
"Grosse Sorgen","1989","(Fach-)Abitur","Westdeutschland","241","0.31268947887446","0.279377935583378","0.346001022165542"
"Grosse Sorgen","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Grosse Sorgen","1989","AkademikerIn","Westdeutschland","208","0.292558035228081","0.258637672186281","0.326478398269881"
"Grosse Sorgen","1989","AkademikerIn","Ostdeutschland","","","",""
"Einige Sorgen","1989","(noch) kein Abschluss","Westdeutschland","383","0.446510461061504","0.41338129033936","0.479639631783648"
"Einige Sorgen","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Einige Sorgen","1989","Hauptschule","Westdeutschland","2492","0.459479992450402","0.446229638983317","0.472730345917488"
"Einige Sorgen","1989","Hauptschule","Ostdeutschland","","","",""
"Einige Sorgen","1989","Realschule","Westdeutschland","833","0.50307016808591","0.478886435521787","0.527253900650033"
"Einige Sorgen","1989","Realschule","Ostdeutschland","","","",""
"Einige Sorgen","1989","(Fach-)Abitur","Westdeutschland","378","0.517717714795654","0.48181239567274","0.553623033918567"
"Einige Sorgen","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Einige Sorgen","1989","AkademikerIn","Westdeutschland","355","0.509197957134639","0.471923993728326","0.546471920540951"
"Einige Sorgen","1989","AkademikerIn","Ostdeutschland","","","",""
"Keine Sorgen","1989","(noch) kein Abschluss","Westdeutschland","181","0.205397181909455","0.17847487144832","0.23231949237059"
"Keine Sorgen","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Keine Sorgen","1989","Hauptschule","Westdeutschland","995","0.181411066272679","0.171165095879885","0.191657036665474"
"Keine Sorgen","1989","Hauptschule","Ostdeutschland","","","",""
"Keine Sorgen","1989","Realschule","Westdeutschland","287","0.185688869143584","0.166880565134508","0.204497173152659"
"Keine Sorgen","1989","Realschule","Ostdeutschland","","","",""
"Keine Sorgen","1989","(Fach-)Abitur","Westdeutschland","125","0.169592806329886","0.142627156661211","0.196558455998561"
"Keine Sorgen","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Keine Sorgen","1989","AkademikerIn","Westdeutschland","128","0.19824400763728","0.168518436418801","0.227969578855759"
"Keine Sorgen","1989","AkademikerIn","Ostdeutschland","","","",""
"Grosse Sorgen","1990","(noch) kein Abschluss","Westdeutschland","250","0.269709192292702","0.239678668869417","0.299739715715987"
"Grosse Sorgen","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grosse Sorgen","1990","Hauptschule","Westdeutschland","1547","0.289661170707571","0.277432973614848","0.301889367800294"
"Grosse Sorgen","1990","Hauptschule","Ostdeutschland","822","0.494674768852491","0.470652346324671","0.518697191380312"
"Grosse Sorgen","1990","Realschule","Westdeutschland","348","0.208191971754307","0.188377940354191","0.228006003154424"
"Grosse Sorgen","1990","Realschule","Ostdeutschland","561","0.355012375545842","0.331312304420564","0.37871244667112"
"Grosse Sorgen","1990","(Fach-)Abitur","Westdeutschland","190","0.229839742767848","0.199505791326015","0.260173694209681"
"Grosse Sorgen","1990","(Fach-)Abitur","Ostdeutschland","37","0.281582896469336","0.20396806775212","0.359197725186553"
