"hlf0632","year","hhtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","1-Pers.- Haushalt","Westdeutschland","328","0.400031123703681","0.366479202586402","0.43358304482096"
"0","2017","1-Pers.- Haushalt","Ostdeutschland","30","0.171600317136294","0.117848123326665","0.225352510945922"
"0","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1658","","",""
"0","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","230","","",""
"0","2017","Alleinerziehende","Westdeutschland","166","","",""
"0","2017","Alleinerziehende","Ostdeutschland","15","","",""
"0","2017","Paar mit Kind(ern)","Westdeutschland","2432","","",""
"0","2017","Paar mit Kind(ern)","Ostdeutschland","303","0.216720356806749","0.197765607288504","0.235675106324994"
"0","2017","Sonstige","Westdeutschland","104","","",""
"0","2017","Sonstige","Ostdeutschland","19","","",""
"1","2017","1-Pers.- Haushalt","Westdeutschland","73","0.094918850075632","0.0748452099392897","0.114992490211974"
"1","2017","1-Pers.- Haushalt","Ostdeutschland","13","","",""
"1","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","344","0.0934187717587029","0.084313266923785","0.102524276593621"
"1","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","78","0.0659276501301163","0.0511550308164508","0.0807002694437818"
"1","2017","Alleinerziehende","Westdeutschland","39","0.0362651274802818","0.0238066942619272","0.0487235606986364"
"1","2017","Alleinerziehende","Ostdeutschland","9","0.0404367163222653","0.0116603078120842","0.0692131248324463"
"1","2017","Paar mit Kind(ern)","Westdeutschland","766","0.0656037461366251","0.0607224679690936","0.0704850243041566"
"1","2017","Paar mit Kind(ern)","Ostdeutschland","101","","",""
"1","2017","Sonstige","Westdeutschland","35","0.0875192119750136","0.0614959008529267","0.1135425230971"
"1","2017","Sonstige","Ostdeutschland","3","","",""
"2","2017","1-Pers.- Haushalt","Westdeutschland","101","","",""
"2","2017","1-Pers.- Haushalt","Ostdeutschland","20","","",""
"2","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","454","0.10186689907081","0.0924029915888474","0.111330806552773"
"2","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","134","","",""
"2","2017","Alleinerziehende","Westdeutschland","97","0.13345318251435","0.110791063259246","0.156115301769454"
"2","2017","Alleinerziehende","Ostdeutschland","17","","",""
"2","2017","Paar mit Kind(ern)","Westdeutschland","1173","","",""
"2","2017","Paar mit Kind(ern)","Ostdeutschland","175","","",""
"2","2017","Sonstige","Westdeutschland","91","0.276258445622843","0.235082031188153","0.317434860057533"
"2","2017","Sonstige","Ostdeutschland","4","0.0760655038553061","0.0203593814602713","0.131771626250341"
"3","2017","1-Pers.- Haushalt","Westdeutschland","61","0.0697582512817055","0.0523120111473856","0.0872044914160254"
"3","2017","1-Pers.- Haushalt","Ostdeutschland","23","","",""
"3","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","372","0.0929175036472239","0.0838339507071083","0.10200105658734"
"3","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","136","","",""
"3","2017","Alleinerziehende","Westdeutschland","85","0.0910698476919253","0.0718967361976998","0.110242959186151"
"3","2017","Alleinerziehende","Ostdeutschland","25","","",""
"3","2017","Paar mit Kind(ern)","Westdeutschland","1065","","",""
"3","2017","Paar mit Kind(ern)","Ostdeutschland","197","","",""
"3","2017","Sonstige","Westdeutschland","45","0.0984187450635262","0.0709878272890997","0.125849662837953"
"3","2017","Sonstige","Ostdeutschland","5","0.0290930943738217","-0.00622296331795851","0.064409152065602"
"4","2017","1-Pers.- Haushalt","Westdeutschland","46","0.0550579089149542","0.0394365578043202","0.0706792600255882"
"4","2017","1-Pers.- Haushalt","Ostdeutschland","10","","",""
"4","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","246","","",""
"4","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","76","0.0790767296251563","0.0630121441587173","0.0951413150915953"
"4","2017","Alleinerziehende","Westdeutschland","58","0.0651809432876603","0.0487310101732457","0.0816308764020749"
"4","2017","Alleinerziehende","Ostdeutschland","8","0.0189832994781698","-0.00095260244476442","0.0389192014011041"
"4","2017","Paar mit Kind(ern)","Westdeutschland","702","0.0738956849055837","0.0687381379973344","0.0790532318138329"
"4","2017","Paar mit Kind(ern)","Ostdeutschland","137","","",""
"4","2017","Sonstige","Westdeutschland","17","","",""
"4","2017","Sonstige","Ostdeutschland","6","0.0329444264050907","-0.00456195417229919","0.0704508069824805"
"5","2017","1-Pers.- Haushalt","Westdeutschland","84","0.106609912787905","0.0854737814541099","0.1277460441217"
"5","2017","1-Pers.- Haushalt","Ostdeutschland","35","0.16902430532869","0.115594212416188","0.222454398241191"
"5","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","454","0.14024912198295","0.1293843658878","0.1511138780781"
"5","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","184","","",""
"5","2017","Alleinerziehende","Westdeutschland","150","","",""
"5","2017","Alleinerziehende","Ostdeutschland","40","0.272866375646784","0.207794404331321","0.337938346962248"
"5","2017","Paar mit Kind(ern)","Westdeutschland","1648","","",""
"5","2017","Paar mit Kind(ern)","Ostdeutschland","439","0.220465986477649","0.2013939043109","0.239538068644398"
"5","2017","Sonstige","Westdeutschland","75","0.124834301718022","0.0943966529074476","0.155271950528595"
"5","2017","Sonstige","Ostdeutschland","27","","",""
"6","2017","1-Pers.- Haushalt","Westdeutschland","36","0.0380627131250183","0.024957943500675","0.0511674827493616"
"6","2017","1-Pers.- Haushalt","Ostdeutschland","16","","",""
"6","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","148","","",""
"6","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","88","0.0875085786949606","0.0706867517799467","0.104330405609974"
"6","2017","Alleinerziehende","Westdeutschland","70","0.0554778756156449","0.040223093247749","0.0707326579835409"
"6","2017","Alleinerziehende","Ostdeutschland","7","0.0191459892332019","-0.000873497089464759","0.0391654755558686"
"6","2017","Paar mit Kind(ern)","Westdeutschland","759","0.0856151075339476","0.080098864175232","0.0911313508926632"
"6","2017","Paar mit Kind(ern)","Ostdeutschland","154","","",""
"6","2017","Sonstige","Westdeutschland","27","","",""
"6","2017","Sonstige","Ostdeutschland","15","","",""
"7","2017","1-Pers.- Haushalt","Westdeutschland","28","","",""
"7","2017","1-Pers.- Haushalt","Ostdeutschland","19","","",""
"7","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","146","","",""
"7","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","76","0.0695518657095653","0.0544080984390039","0.0846956329801266"
"7","2017","Alleinerziehende","Westdeutschland","73","0.0622146994175889","0.0461179474758089","0.0783114513593689"
"7","2017","Alleinerziehende","Ostdeutschland","27","","",""
"7","2017","Paar mit Kind(ern)","Westdeutschland","659","0.0703407089941675","0.065299102200477","0.0753823157878581"
"7","2017","Paar mit Kind(ern)","Ostdeutschland","132","","",""
"7","2017","Sonstige","Westdeutschland","23","","",""
"7","2017","Sonstige","Ostdeutschland","5","0.23100871220015","0.142443461970042","0.319573962430257"
"8","2017","1-Pers.- Haushalt","Westdeutschland","33","0.0426987629137166","0.0288523239209211","0.0565452019065122"
"8","2017","1-Pers.- Haushalt","Ostdeutschland","19","","",""
"8","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","60","0.0143365123955533","0.0106171398289209","0.0180558849621858"
"8","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","52","0.0569691998969469","0.0431711901109603","0.0707672096829335"
"8","2017","Alleinerziehende","Westdeutschland","65","0.0759231640403648","0.0582716798301907","0.0935746482505389"
"8","2017","Alleinerziehende","Ostdeutschland","24","","",""
"8","2017","Paar mit Kind(ern)","Westdeutschland","477","0.0435657003480861","0.0395412774207097","0.0475901232754624"
"8","2017","Paar mit Kind(ern)","Ostdeutschland","106","","",""
"8","2017","Sonstige","Westdeutschland","23","","",""
"8","2017","Sonstige","Ostdeutschland","","","",""
"9","2017","1-Pers.- Haushalt","Westdeutschland","11","","",""
"9","2017","1-Pers.- Haushalt","Ostdeutschland","1","","",""
"9","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","26","","",""
"9","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","12","","",""
"9","2017","Alleinerziehende","Westdeutschland","27","","",""
"9","2017","Alleinerziehende","Ostdeutschland","2","","",""
"9","2017","Paar mit Kind(ern)","Westdeutschland","136","","",""
"9","2017","Paar mit Kind(ern)","Ostdeutschland","34","0.0128527623456577","0.00767074356933584","0.0180347811219795"
"9","2017","Sonstige","Westdeutschland","13","","",""
"9","2017","Sonstige","Ostdeutschland","","","",""
"10","2017","1-Pers.- Haushalt","Westdeutschland","18","","",""
"10","2017","1-Pers.- Haushalt","Ostdeutschland","3","","",""
"10","2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","16","","",""
"10","2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","18","","",""
"10","2017","Alleinerziehende","Westdeutschland","35","0.0378792136487356","0.0251572159282138","0.0506012113692574"
"10","2017","Alleinerziehende","Ostdeutschland","6","0.0121196415184561","-0.00386522083565047","0.0281045038725626"
"10","2017","Paar mit Kind(ern)","Westdeutschland","66","0.00518564508290609","0.00376960316460124","0.00660168700121093"
"10","2017","Paar mit Kind(ern)","Ostdeutschland","37","0.0202945165675303","0.0138074717109464","0.0267815614241142"
"10","2017","Sonstige","Westdeutschland","","","",""
"10","2017","Sonstige","Ostdeutschland","3","","",""
"0","2018","1-Pers.- Haushalt","Westdeutschland","337","0.42004141876041","0.386463514029374","0.453619323491446"
"0","2018","1-Pers.- Haushalt","Ostdeutschland","34","0.239096310474595","0.175352921443109","0.302839699506082"
"0","2018","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1578","","",""
"0","2018","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","234","","",""
"0","2018","Alleinerziehende","Westdeutschland","149","","",""
"0","2018","Alleinerziehende","Ostdeutschland","30","0.159263046404395","0.104577639837563","0.213948452971226"
"0","2018","Paar mit Kind(ern)","Westdeutschland","2247","","",""
"0","2018","Paar mit Kind(ern)","Ostdeutschland","311","0.18726385871774","0.168848455576158","0.205679261859322"
"0","2018","Sonstige","Westdeutschland","88","0.195744044891667","0.158920797683132","0.232567292100202"
"0","2018","Sonstige","Ostdeutschland","10","","",""
"1","2018","1-Pers.- Haushalt","Westdeutschland","81","0.0901937258284846","0.0707055283228326","0.109681923334137"
"1","2018","1-Pers.- Haushalt","Ostdeutschland","10","","",""
"1","2018","(Ehe-)Paar ohne Kind(er)","Westdeutschland","382","0.0955663167147579","0.0862530312581749","0.104879602171341"
"1","2018","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","96","0.0935688413292925","0.0761758901394981","0.110961792519087"
"1","2018","Alleinerziehende","Westdeutschland","54","0.0687187283871321","0.0512324230123719","0.0862050337618922"
"1","2018","Alleinerziehende","Ostdeutschland","6","0.026015964873115","0.00222676936755904","0.049805160378671"
"1","2018","Paar mit Kind(ern)","Westdeutschland","617","0.060709605932849","0.0558390133472865","0.0655801985184115"
