"ple0162","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2012","Westdeutschland","6317","0.938457531469478","0.932737953740265","0.944177109198691"
"Ja","2012","Ostdeutschland","2151","","",""
"Nein","2012","Westdeutschland","465","0.0615424685305217","0.0558228908013087","0.0672620462597347"
"Nein","2012","Ostdeutschland","128","","",""
"Ja","2013","Westdeutschland","6580","0.94101126203404","0.935511996419522","0.946510527648558"
"Ja","2013","Ostdeutschland","2008","","",""
"Nein","2013","Westdeutschland","471","0.0589887379659602","0.053489472351442","0.0644880035804785"
"Nein","2013","Ostdeutschland","116","","",""
"Ja","2014","Westdeutschland","","","",""
"Ja","2014","Ostdeutschland","","","",""
"Nein","2014","Westdeutschland","","","",""
"Nein","2014","Ostdeutschland","","","",""
"Ja","2015","Westdeutschland","5964","0.899636574305955","0.892392737608471","0.906880411003439"
"Ja","2015","Ostdeutschland","1890","","",""
"Nein","2015","Westdeutschland","646","0.100363425694045","0.0931195889965609","0.10760726239153"
"Nein","2015","Ostdeutschland","167","","",""
"Ja","2016","Westdeutschland","391","0.773215627718266","0.736326162011464","0.810105093425069"
"Ja","2016","Ostdeutschland","104","","",""
"Nein","2016","Westdeutschland","104","","",""
"Nein","2016","Ostdeutschland","20","","",""
"Ja","2017","Westdeutschland","6358","0.947461982406032","0.942150900351546","0.952773064460518"
"Ja","2017","Ostdeutschland","1946","","",""
"Nein","2017","Westdeutschland","421","0.0525380175939681","0.047226935539482","0.0578490996484542"
"Nein","2017","Ostdeutschland","102","","",""
"Ja","2018","Westdeutschland","51","0.575797801490235","0.455650818043873","0.695944784936596"
"Ja","2018","Ostdeutschland","6","0.539387170723925","0.213741613400992","0.865032728046857"
"Nein","2018","Westdeutschland","14","","",""
"Nein","2018","Ostdeutschland","3","","",""
"Ja","2019","Westdeutschland","6556","0.941670684026128","0.936222304549637","0.94711906350262"
"Ja","2019","Ostdeutschland","2093","","",""
"Nein","2019","Westdeutschland","552","0.0583293159738716","0.0528809364973796","0.0637776954503635"
"Nein","2019","Ostdeutschland","153","","",""
"Ja","2020","Westdeutschland","352","0.66830355955782","0.626227714665511","0.710379404450128"
"Ja","2020","Ostdeutschland","58","0.76984585159357","0.682394932490002","0.857296770697137"
"Nein","2020","Westdeutschland","129","","",""
"Nein","2020","Ostdeutschland","31","0.23015414840643","0.142703229302863","0.317605067509998"
