year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,5.25447,5.23367,5.27527,4.00000,5.00000,6.00000,1.00000,7.00000,5.00000,5.00000,6.00000,20543.00000
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,,,,,,,,,,,,
2010,5.20188,5.17898,5.22479,4.00000,5.00000,6.00000,1.00000,7.00000,5.00000,5.00000,5.00000,16544.00000
2011,,,,,,,,,,,,
2012,,,,,,,,,,,,
2013,,,,,,,,,,,,
2014,,,,,,,,,,,,
2015,5.28917,5.27123,5.30710,4.00000,6.00000,6.00000,1.00000,7.00000,6.00000,6.00000,6.00000,26491.00000
2016,,,,,,,,,,,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,,,,,,,,,,,,
2020,5.38526,5.36916,5.40135,5.00000,6.00000,6.00000,3.50000,7.00000,6.00000,6.00000,6.00000,29222.00000
2021,,,,,,,,,,,,
