"plh0040","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1994","(Fach-)Abitur","444","0.491707633662356","0.459385456648472","0.524029810676239"
"Einige Sorgen","1994","(noch) kein Abschluss","356","0.423596486848514","0.390180989276346","0.457011984420683"
"Einige Sorgen","1994","AkademikerIn","624","0.407569944953162","0.383853074572756","0.431286815333569"
"Einige Sorgen","1994","Hauptschule","2104","0.343566010205404","0.331606319999405","0.355525700411404"
"Einige Sorgen","1994","Realschule","1186","0.408545485764225","0.391077236935813","0.426013734592637"
"Grosse Sorgen","1994","(Fach-)Abitur","412","0.440208607696191","0.40811395291876","0.472303262473621"
"Grosse Sorgen","1994","(noch) kein Abschluss","395","0.466107226059315","0.432372406825936","0.499842045292693"
"Grosse Sorgen","1994","AkademikerIn","951","0.528095392714863","0.504000718353064","0.552190067076663"
"Grosse Sorgen","1994","Hauptschule","3731","0.625768351024069","0.61358136373932","0.637955338308817"
"Grosse Sorgen","1994","Realschule","1771","0.56408191249318","0.546460447234815","0.581703377751544"
"Keine Sorgen","1994","(Fach-)Abitur","63","0.0680837586414537","0.051798279622093","0.0843692376608144"
"Keine Sorgen","1994","(noch) kein Abschluss","89","0.110296287092171","0.0891121101141829","0.131480464070159"
"Keine Sorgen","1994","AkademikerIn","74","0.0643346623319743","0.0524927853090311","0.0761765393549174"
"Keine Sorgen","1994","Hauptschule","222","0.030665638770527","0.0263237157846539","0.0350075617564"
"Keine Sorgen","1994","Realschule","85","0.027372601742595","0.02157431384656","0.0331708896386299"
"Einige Sorgen","1995","(Fach-)Abitur","537","0.520951711724842","0.490835594537452","0.551067828912231"
"Einige Sorgen","1995","(noch) kein Abschluss","376","0.423765903838841","0.39085410451018","0.456677703167503"
"Einige Sorgen","1995","AkademikerIn","747","0.450012811781367","0.426650665376044","0.473374958186691"
"Einige Sorgen","1995","Hauptschule","2109","0.335716714884865","0.323823960521574","0.347609469248155"
"Einige Sorgen","1995","Realschule","1285","0.42302280326946","0.40562884126734","0.440416765271579"
"Grosse Sorgen","1995","(Fach-)Abitur","436","0.393565217556649","0.364113474470732","0.423016960642567"
"Grosse Sorgen","1995","(noch) kein Abschluss","397","0.441824278551672","0.40874931268337","0.474899244419973"
"Grosse Sorgen","1995","AkademikerIn","892","0.476482596457275","0.453028802860205","0.499936390054344"
"Grosse Sorgen","1995","Hauptschule","3672","0.624230199372117","0.612033210458633","0.636427188285602"
"Grosse Sorgen","1995","Realschule","1729","0.546521037844502","0.528993564427648","0.564048511261356"
"Keine Sorgen","1995","(Fach-)Abitur","84","0.0854830707185091","0.0686273809539457","0.102338760483072"
"Keine Sorgen","1995","(noch) kein Abschluss","93","0.134409817609487","0.111692303739209","0.157127331479765"
"Keine Sorgen","1995","AkademikerIn","103","0.0735045917613581","0.0612498860542967","0.0857592974684195"
"Keine Sorgen","1995","Hauptschule","276","0.0400530857430179","0.0351149741183956","0.0449911973676402"
"Keine Sorgen","1995","Realschule","85","0.0304561588860384","0.024406114043968","0.0365062037281088"
"Einige Sorgen","1996","(Fach-)Abitur","523","0.520122725054294","0.489478176588162","0.550767273520426"
"Einige Sorgen","1996","(noch) kein Abschluss","343","0.403786619710761","0.370325930025325","0.437247309396197"
"Einige Sorgen","1996","AkademikerIn","750","0.451041138388196","0.427707652974088","0.474374623802304"
"Einige Sorgen","1996","Hauptschule","1945","0.309143707734279","0.297326408847982","0.320961006620577"
"Einige Sorgen","1996","Realschule","1201","0.388754177099553","0.371538733449681","0.405969620749425"
"Grosse Sorgen","1996","(Fach-)Abitur","425","0.405624658550259","0.375506543625425","0.435742773475093"
"Grosse Sorgen","1996","(noch) kein Abschluss","416","0.50184953533855","0.467751834160217","0.535947236516882"
"Grosse Sorgen","1996","AkademikerIn","907","0.480989670495945","0.457560467559363","0.504418873432528"
"Grosse Sorgen","1996","Hauptschule","3751","0.664241766365699","0.652165836524835","0.676317696206563"
"Grosse Sorgen","1996","Realschule","1801","0.584047070391285","0.566640277926618","0.601453862855951"
"Keine Sorgen","1996","(Fach-)Abitur","73","0.0742526163954466","0.0581707167667709","0.0903345160241223"
"Keine Sorgen","1996","(noch) kein Abschluss","67","0.0943638449506895","0.074427857222831","0.114299832678548"
"Keine Sorgen","1996","AkademikerIn","90","0.0679691911158585","0.0561667233352733","0.0797716588964437"
"Keine Sorgen","1996","Hauptschule","179","0.026614525900021","0.0224988046500449","0.0307302471499972"
"Keine Sorgen","1996","Realschule","78","0.0271987525091623","0.0214541592427524","0.0329433457755722"
"Einige Sorgen","1997","(Fach-)Abitur","450","0.425591002836727","0.395068182456022","0.456113823217431"
"Einige Sorgen","1997","(noch) kein Abschluss","375","0.435025108673742","0.401154741150379","0.468895476197104"
"Einige Sorgen","1997","AkademikerIn","733","0.446294186100703","0.423076519556652","0.469511852644754"
"Einige Sorgen","1997","Hauptschule","1779","0.294711113997237","0.282897197570057","0.306525030424417"
"Einige Sorgen","1997","Realschule","1085","0.350238518350152","0.333347235076917","0.367129801623387"
"Grosse Sorgen","1997","(Fach-)Abitur","488","0.494958033205914","0.464093071149589","0.525822995262239"
"Grosse Sorgen","1997","(noch) kein Abschluss","382","0.474069020142701","0.439954965715474","0.508183074569929"
"Grosse Sorgen","1997","AkademikerIn","941","0.493718283529932","0.470367355775244","0.517069211284619"
"Grosse Sorgen","1997","Hauptschule","3798","0.684189775882352","0.672144590176367","0.696234961588338"
"Grosse Sorgen","1997","Realschule","1916","0.632904725413135","0.615837525453908","0.649971925372361"
"Keine Sorgen","1997","(Fach-)Abitur","70","0.0794509639573595","0.0627557928628344","0.0961461350518845"
"Keine Sorgen","1997","(noch) kein Abschluss","66","0.0909058711835569","0.0712655508663569","0.110546191500757"
"Keine Sorgen","1997","AkademikerIn","87","0.0599875303693652","0.048896657892269","0.0710784028464613"
"Keine Sorgen","1997","Hauptschule","144","0.0210991101204108","0.017375076885216","0.0248231433556056"
"Keine Sorgen","1997","Realschule","63","0.0168567562367132","0.0122984960272891","0.0214150164461372"
"Einige Sorgen","1998","(Fach-)Abitur","561","0.471665966912674","0.442572977260102","0.500758956565247"
"Einige Sorgen","1998","(noch) kein Abschluss","367","0.414300839291515","0.380419132188463","0.448182546394567"
"Einige Sorgen","1998","AkademikerIn","900","0.474911370413555","0.452707213816298","0.497115527010811"
"Einige Sorgen","1998","Hauptschule","2034","0.31539886679349","0.30375513412396","0.32704259946302"
"Einige Sorgen","1998","Realschule","1378","0.395167880301838","0.378637353494681","0.411698407108995"
"Grosse Sorgen","1998","(Fach-)Abitur","491","0.449438467234992","0.420448024949852","0.478428909520132"
"Grosse Sorgen","1998","(noch) kein Abschluss","373","0.46628054766647","0.431968215208597","0.500592880124343"
"Grosse Sorgen","1998","AkademikerIn","924","0.449259422441402","0.427142034998596","0.471376809884208"
"Grosse Sorgen","1998","Hauptschule","3914","0.660639213583625","0.64877452461395","0.672503902553301"
"Grosse Sorgen","1998","Realschule","1880","0.576400344682018","0.559692579330889","0.593108110033146"
"Keine Sorgen","1998","(Fach-)Abitur","79","0.0788955658523337","0.0631847939723104","0.094606337732357"
"Keine Sorgen","1998","(noch) kein Abschluss","72","0.119418613042015","0.0971141979649637","0.141723028119067"
"Keine Sorgen","1998","AkademikerIn","119","0.0758292071450434","0.0640584047801163","0.0876000095099704"
"Keine Sorgen","1998","Hauptschule","170","0.0239619196228845","0.0201298133963869","0.027794025849382"
"Keine Sorgen","1998","Realschule","102","0.0284317750161445","0.0228120237910972","0.0340515262411918"
"Einige Sorgen","1999","(Fach-)Abitur","540","0.473248548483542","0.444201789840909","0.502295307126175"
"Einige Sorgen","1999","(noch) kein Abschluss","343","0.435251526599166","0.40052471632629","0.469978336872042"
"Einige Sorgen","1999","AkademikerIn","913","0.479648131332297","0.457502674286692","0.501793588377902"
"Einige Sorgen","1999","Hauptschule","2130","0.348147699260268","0.336098783965452","0.360196614555084"
"Einige Sorgen","1999","Realschule","1390","0.41714892477759","0.400508504697466","0.433789344857713"
"Grosse Sorgen","1999","(Fach-)Abitur","477","0.416479499424635","0.387799771043879","0.445159227805391"
"Grosse Sorgen","1999","(noch) kein Abschluss","348","0.461113192584149","0.4261975724696","0.496028812698699"
"Grosse Sorgen","1999","AkademikerIn","876","0.422531560392051","0.400635377408442","0.444427743375661"
"Grosse Sorgen","1999","Hauptschule","3572","0.604757764170708","0.592392198585944","0.617123329755472"
"Grosse Sorgen","1999","Realschule","1836","0.540920357985242","0.524103277566393","0.557737438404092"
"Keine Sorgen","1999","(Fach-)Abitur","118","0.110271952091823","0.0920493105430073","0.12849459364064"
"Keine Sorgen","1999","(noch) kein Abschluss","92","0.103635280816685","0.0822869756893482","0.124983585944021"
"Keine Sorgen","1999","AkademikerIn","166","0.0978203082756514","0.0846518252846513","0.110988791266652"
"Keine Sorgen","1999","Hauptschule","303","0.047094536569024","0.0417365483120933","0.0524525248259546"
"Keine Sorgen","1999","Realschule","147","0.0419307172371685","0.0351667028273566","0.0486947316469804"
"Einige Sorgen","2000","(Fach-)Abitur","1041","0.431776158525283","0.411685521677165","0.451866795373401"
"Einige Sorgen","2000","(noch) kein Abschluss","424","0.470203215399202","0.437667427203614","0.50273900359479"
"Einige Sorgen","2000","AkademikerIn","1716","0.457674527091977","0.441825837420834","0.473523216763119"
"Einige Sorgen","2000","Hauptschule","3890","0.354166016721361","0.345059306848825","0.363272726593897"
"Einige Sorgen","2000","Realschule","2400","0.38187755881861","0.369838319560108","0.393916798077112"
"Grosse Sorgen","2000","(Fach-)Abitur","1048","0.454478762517581","0.43428267347697","0.474674851558191"
"Grosse Sorgen","2000","(noch) kein Abschluss","354","0.390947344199164","0.359138313883411","0.422756374514917"
