year,bula_h,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,No,0.86442,60,60,0.77707,0.95178
1996,Schleswig-Holstein,Tenant,No,0.92930,67,67,0.86746,0.99114
1996,Hamburg,Tenant,No,0.90044,60,60,0.82403,0.97684
1996,Lower Saxony,Owner,Yes,0.13532,34,235,0.09149,0.17914
1996,Lower Saxony,Owner,No,0.86468,201,235,0.82086,0.90851
1996,Lower Saxony,Tenant,No,0.90972,270,270,0.87547,0.94397
1996,Bremen,Tenant,No,0.94942,36,36,0.87683,1.02202
1996,North Rhine-Westphalia,Owner,Yes,0.11464,56,430,0.08449,0.14479
1996,North Rhine-Westphalia,Owner,No,0.88536,374,430,0.85521,0.91551
1996,North Rhine-Westphalia,Tenant,Yes,0.10453,85,859,0.08406,0.12500
1996,North Rhine-Westphalia,Tenant,No,0.89547,774,859,0.87500,0.91594
1996,Hesse,Owner,No,0.84495,133,133,0.78320,0.90670
1996,Hesse,Tenant,No,0.90093,284,284,0.86612,0.93574
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.86442,143,143,0.80811,0.92073
1996,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.19254,32,178,0.13445,0.25063
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.80746,146,178,0.74937,0.86555
1996,Baden-Wuerttemberg,Owner,Yes,0.12561,51,342,0.09044,0.16079
1996,Baden-Wuerttemberg,Owner,No,0.87439,291,342,0.83921,0.90956
1996,Baden-Wuerttemberg,Tenant,Yes,0.10185,43,498,0.07526,0.12844
1996,Baden-Wuerttemberg,Tenant,No,0.89815,455,498,0.87156,0.92474
1996,Bavaria,Owner,Yes,0.16043,70,357,0.12231,0.19856
1996,Bavaria,Owner,No,0.83957,287,357,0.80144,0.87769
1996,Bavaria,Tenant,Yes,0.09301,49,504,0.06763,0.11839
1996,Bavaria,Tenant,No,0.90699,455,504,0.88161,0.93237
1996,Berlin,Tenant,Yes,0.16748,42,283,0.12390,0.21107
1996,Berlin,Tenant,No,0.83252,241,283,0.78893,0.87610
1996,Brandenburg,Owner,Yes,0.46969,50,109,0.37556,0.56381
1996,Brandenburg,Owner,No,0.53031,59,109,0.43619,0.62444
1996,Brandenburg,Tenant,No,0.89420,169,169,0.84769,0.94072
1996,Mecklenburg-Western Pomerania,Tenant,No,0.88077,127,127,0.82418,0.93735
1996,Saxony,Owner,Yes,0.39969,67,158,0.32307,0.47631
1996,Saxony,Owner,No,0.60031,91,158,0.52369,0.67693
1996,Saxony,Tenant,Yes,0.08381,34,390,0.05628,0.11135
1996,Saxony,Tenant,No,0.91619,356,390,0.88865,0.94372
1996,Saxony-Anhalt,Owner,Yes,0.33035,37,112,0.24285,0.41785
1996,Saxony-Anhalt,Owner,No,0.66965,75,112,0.58215,0.75715
1996,Saxony-Anhalt,Tenant,No,0.89176,196,196,0.84816,0.93537
1996,Thuringa,Owner,Yes,0.30225,47,141,0.22618,0.37832
1996,Thuringa,Owner,No,0.69775,94,141,0.62168,0.77382
1996,Thuringa,Tenant,No,0.90858,167,167,0.86473,0.95242
2001,Schleswig-Holstein,Owner,Yes,0.19039,40,209,0.13703,0.24374
2001,Schleswig-Holstein,Owner,No,0.80961,169,209,0.75626,0.86297
2001,Schleswig-Holstein,Tenant,No,0.92156,138,138,0.87654,0.96658
2001,Hamburg,Owner,No,0.94219,34,34,0.86257,1.02182
2001,Hamburg,Tenant,No,0.88834,127,127,0.83335,0.94333
2001,Lower Saxony,Owner,Yes,0.18443,101,522,0.15113,0.21774
2001,Lower Saxony,Owner,No,0.81557,421,522,0.78226,0.84887
2001,Lower Saxony,Tenant,Yes,0.11159,52,439,0.08210,0.14107
2001,Lower Saxony,Tenant,No,0.88841,387,439,0.85893,0.91790
2001,Bremen,Tenant,No,0.96437,55,55,0.91494,1.01381
2001,North Rhine-Westphalia,Owner,Yes,0.11556,131,1047,0.09619,0.13493
2001,North Rhine-Westphalia,Owner,No,0.88444,916,1047,0.86507,0.90381
2001,North Rhine-Westphalia,Tenant,Yes,0.09982,154,1438,0.08432,0.11531
2001,North Rhine-Westphalia,Tenant,No,0.90018,1284,1438,0.88469,0.91568
