year,bula_h,hhtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Single-person household,No,0.96006,34,34,0.89324,1.02687
1996,Schleswig-Holstein,Couple without children,No,0.86918,37,37,0.75903,0.97933
1996,Schleswig-Holstein,Couple with children,No,0.85700,47,47,0.75583,0.95817
1996,Hamburg,Single-person household,No,0.92389,39,39,0.83958,1.00820
1996,Lower Saxony,Single-person household,No,0.94264,107,107,0.89837,0.98691
1996,Lower Saxony,Couple without children,No,0.90073,139,139,0.85084,0.95062
1996,Lower Saxony,Single parent,No,0.88367,31,31,0.76893,0.99840
1996,Lower Saxony,Couple with children,No,0.83669,170,170,0.78095,0.89242
1996,North Rhine-Westphalia,Single-person household,No,0.93267,267,267,0.90255,0.96278
1996,North Rhine-Westphalia,Couple without children,Yes,0.11025,33,335,0.07666,0.14384
1996,North Rhine-Westphalia,Couple without children,No,0.88975,302,335,0.85616,0.92334
1996,North Rhine-Westphalia,Single parent,No,0.79081,63,63,0.68956,0.89205
1996,North Rhine-Westphalia,Couple with children,Yes,0.12724,62,540,0.09911,0.15538
1996,North Rhine-Westphalia,Couple with children,No,0.87276,478,540,0.84462,0.90089
1996,Hesse,Single-person household,No,0.87543,86,86,0.80522,0.94563
1996,Hesse,Couple without children,No,0.88077,132,132,0.82528,0.93627
1996,Hesse,Couple with children,No,0.90277,167,167,0.85770,0.94784
1996,"Rhineland-Palatinate, Saarland",Single-person household,No,0.86625,53,53,0.77373,0.95877
1996,"Rhineland-Palatinate, Saarland",Couple without children,No,0.81011,85,85,0.72624,0.89399
1996,"Rhineland-Palatinate, Saarland",Couple with children,No,0.83011,117,117,0.76176,0.89845
1996,Baden-Wuerttemberg,Single-person household,No,0.94177,159,159,0.90526,0.97829
1996,Baden-Wuerttemberg,Couple without children,Yes,0.18487,38,213,0.13261,0.23712
1996,Baden-Wuerttemberg,Couple without children,No,0.81513,175,213,0.76288,0.86739
1996,Baden-Wuerttemberg,Single parent,No,0.91116,39,39,0.82070,1.00162
1996,Baden-Wuerttemberg,Couple with children,Yes,0.11006,33,369,0.07808,0.14203
1996,Baden-Wuerttemberg,Couple with children,No,0.88994,336,369,0.85797,0.92192
1996,Bavaria,Single-person household,No,0.93286,179,179,0.89609,0.96962
1996,Bavaria,Couple without children,No,0.87988,203,203,0.83505,0.92471
1996,Bavaria,Single parent,No,0.80839,39,39,0.68325,0.93352
1996,Bavaria,Couple with children,Yes,0.17230,53,351,0.13274,0.21186
1996,Bavaria,Couple with children,No,0.82770,298,351,0.78814,0.86726
1996,Berlin,Single-person household,No,0.83771,80,80,0.75640,0.91902
1996,Berlin,Couple without children,No,0.88048,68,68,0.80280,0.95816
1996,Berlin,Couple with children,No,0.86823,94,94,0.79948,0.93697
1996,Brandenburg,Single-person household,No,0.90829,54,54,0.83059,0.98600
1996,Brandenburg,Couple without children,No,0.70250,64,64,0.58961,0.81539
1996,Brandenburg,Couple with children,Yes,0.28895,35,112,0.20462,0.37327
1996,Brandenburg,Couple with children,No,0.71105,77,112,0.62673,0.79538
1996,Mecklenburg-Western Pomerania,Single-person household,No,0.86254,32,32,0.74133,0.98376
1996,Mecklenburg-Western Pomerania,Couple without children,No,0.77028,48,48,0.65002,0.89054
1996,Mecklenburg-Western Pomerania,Couple with children,No,0.73096,62,62,0.61967,0.84225
1996,Saxony,Single-person household,No,0.90250,83,83,0.83829,0.96670
1996,Saxony,Couple without children,No,0.84491,143,143,0.78537,0.90445
1996,Saxony,Couple with children,Yes,0.24983,57,229,0.19364,0.30603
1996,Saxony,Couple with children,No,0.75017,172,229,0.69397,0.80636
1996,Saxony-Anhalt,Single-person household,No,0.84795,51,51,0.74843,0.94748
1996,Saxony-Anhalt,Couple without children,No,0.83612,85,85,0.75695,0.91528
1996,Saxony-Anhalt,Couple with children,No,0.78918,113,113,0.71363,0.86472
1996,Thuringa,Single-person household,No,0.92400,55,55,0.85333,0.99468
1996,Thuringa,Couple without children,No,0.83123,72,72,0.74411,0.91836
1996,Thuringa,Couple with children,Yes,0.24680,35,140,0.17513,0.31848
1996,Thuringa,Couple with children,No,0.75320,105,140,0.68152,0.82487
2001,Schleswig-Holstein,Single-person household,No,0.92132,89,89,0.86507,0.97758
2001,Schleswig-Holstein,Couple without children,No,0.87867,111,111,0.81765,0.93969
2001,Schleswig-Holstein,Couple with children,No,0.74371,85,85,0.65035,0.83708
2001,Hamburg,Single-person household,No,0.90410,79,79,0.83875,0.96945
2001,Hamburg,Couple without children,No,0.88849,38,38,0.78706,0.98991
2001,Hamburg,Couple with children,No,0.89834,34,34,0.79523,1.00145
2001,Lower Saxony,Single-person household,No,0.90113,180,180,0.85740,0.94486
2001,Lower Saxony,Couple without children,Yes,0.13662,41,311,0.09839,0.17486
2001,Lower Saxony,Couple without children,No,0.86338,270,311,0.82514,0.90161
2001,Lower Saxony,Single parent,No,0.70469,38,38,0.55770,0.85168
2001,Lower Saxony,Couple with children,Yes,0.17929,67,366,0.13993,0.21864
2001,Lower Saxony,Couple with children,No,0.82071,299,366,0.78136,0.86007
2001,Bremen,Single-person household,No,0.94644,39,39,0.87485,1.01803
2001,North Rhine-Westphalia,Single-person household,Yes,0.08080,52,603,0.05903,0.10257
2001,North Rhine-Westphalia,Single-person household,No,0.91920,551,603,0.89743,0.94097
2001,North Rhine-Westphalia,Couple without children,Yes,0.08730,74,795,0.06767,0.10694
2001,North Rhine-Westphalia,Couple without children,No,0.91270,721,795,0.89306,0.93233
2001,North Rhine-Westphalia,Single parent,No,0.86774,110,110,0.80414,0.93134
2001,North Rhine-Westphalia,Couple with children,Yes,0.15069,128,895,0.12724,0.17414
2001,North Rhine-Westphalia,Couple with children,No,0.84931,767,895,0.82586,0.87276
2001,Hesse,Single-person household,No,0.87310,155,155,0.82052,0.92567
2001,Hesse,Couple without children,Yes,0.09382,31,252,0.05775,0.12990
2001,Hesse,Couple without children,No,0.90618,221,252,0.87010,0.94225
2001,Hesse,Single parent,No,0.89482,33,33,0.78852,1.00111
2001,Hesse,Couple with children,Yes,0.14293,40,291,0.10264,0.18321
2001,Hesse,Couple with children,No,0.85707,251,291,0.81679,0.89736
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.86082,141,141,0.80348,0.91816
2001,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.16825,34,203,0.11666,0.21984
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.83175,169,203,0.78016,0.88334
2001,"Rhineland-Palatinate, Saarland",Single parent,No,0.81909,38,38,0.69506,0.94313
2001,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.18438,58,281,0.13896,0.22981
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.81562,223,281,0.77019,0.86104
2001,Baden-Wuerttemberg,Single-person household,Yes,0.09229,33,325,0.06077,0.12380
2001,Baden-Wuerttemberg,Single-person household,No,0.90771,292,325,0.87620,0.93923
2001,Baden-Wuerttemberg,Couple without children,Yes,0.16150,56,368,0.12385,0.19915
2001,Baden-Wuerttemberg,Couple without children,No,0.83850,312,368,0.80085,0.87615
