year,hhtyp,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,Yes,0.07917,102,1089,0.06313,0.09522
1996,Single-person household,West,No,0.92083,987,1089,0.90478,0.93687
1996,Single-person household,East,Yes,0.10000,34,344,0.06825,0.13175
1996,Single-person household,East,No,0.90000,310,344,0.86825,0.93175
1996,Couple without children,West,Yes,0.13109,166,1306,0.11278,0.14940
1996,Couple without children,West,No,0.86891,1140,1306,0.85060,0.88722
1996,Couple without children,East,Yes,0.18566,93,535,0.15268,0.21864
1996,Couple without children,East,No,0.81434,442,535,0.78136,0.84732
1996,Single parent,West,Yes,0.17418,48,278,0.12952,0.21884
1996,Single parent,West,No,0.82582,230,278,0.78116,0.87048
1996,Single parent,East,No,0.78659,90,90,0.70147,0.87171
1996,Couple with children,West,Yes,0.13937,239,1922,0.12388,0.15485
1996,Couple with children,West,No,0.86063,1683,1922,0.84515,0.87612
1996,Couple with children,East,Yes,0.23539,185,764,0.20528,0.26549
1996,Couple with children,East,No,0.76461,579,764,0.73451,0.79472
1996,Multi-generational household,West,No,0.82133,81,81,0.73738,0.90527
1996,Other Combinations,West,No,0.70102,80,80,0.60007,0.80198
1996,Other Combinations,East,No,0.78881,45,45,0.66821,0.90941
2001,Single-person household,West,Yes,0.09683,229,2220,0.08453,0.10914
2001,Single-person household,West,No,0.90317,1991,2220,0.89086,0.91547
2001,Single-person household,East,Yes,0.16123,113,706,0.13409,0.18838
2001,Single-person household,East,No,0.83877,593,706,0.81162,0.86591
2001,Couple without children,West,Yes,0.12657,346,2664,0.11394,0.13920
2001,Couple without children,West,No,0.87343,2318,2664,0.86080,0.88606
2001,Couple without children,East,Yes,0.21843,204,925,0.19179,0.24508
2001,Couple without children,East,No,0.78157,721,925,0.75492,0.80821
2001,Single parent,West,Yes,0.16375,93,514,0.13173,0.19578
2001,Single parent,West,No,0.83625,421,514,0.80422,0.86827
2001,Single parent,East,Yes,0.20438,40,192,0.14719,0.26157
