"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","1363.93","1262","463","281","614","1892","2373","4587","1282.94","1444.92","0","11039","1176","1324"
"1984","(noch) kein Abschluss","1085.59","1122.5","654","292","869","1380","1554","2199","1050.48","1120.7","0","6135","1125","1224"
"1984","AkademikerIn","2222.22","2095.5","620","895","1534","2710","3323","6180","2123.5","2320.94","0","11248","1994","2186"
"1984","Hauptschule","1240.07","1226.5","4149","358","790","1565","1980","3403","1217.32","1262.82","0","16873","1208","1227"
"1984","Realschule","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","1260.24","1189","436","252","508","1790","2301","4090","1183.61","1336.87","0","5701","1125","1278"
"1985","(noch) kein Abschluss","1057.82","1112","515","189","844","1329","1585","2260","1020.54","1095.1","31","3019","1125","1227"
"1985","AkademikerIn","2209.88","2090.5","591","844","1534","2766","3451","6001","2117.74","2302.02","71","7950","2045","2173"
"1985","Hauptschule","1248.82","1245","3725","348","813","1585","1994","3579","1227.11","1270.53","0","9374","1227","1265"
"1985","Realschule","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","1335.48","1275.5","441","300","522","1819","2456","4084","1260.15","1410.81","15","6187","1202","1329"
"1986","(noch) kein Abschluss","1136.62","1173.5","480","460","869","1432","1636","2403","1094.6","1178.64","34","3579","1176","1257"
"1986","AkademikerIn","2416.06","2281","585","1023","1635","2899","3681","6902","2302.49","2529.63","0","12782","2097","2308"
"1986","Hauptschule","1287.11","1274","3565","358","844","1636","2045","3528","1263.77","1310.45","0","16361","1268","1278"
"1986","Realschule","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","1290.99","1226.5","441","280","511","1841","2506","3579","1216.45","1365.53","36","5880","1176","1329"
"1987","(noch) kein Abschluss","1154.49","1215.5","469","205","818","1534","1790","2659","1100.37","1208.61","26","8038","1176","1278"
"1987","AkademikerIn","2422.1","2298.5","581","890","1674","3017","3750","7669","2307.23","2536.97","51","12782","2163","2352"
"1987","Hauptschule","1319.02","1325","3532","383","869","1687","2045","3681","1295.51","1342.53","0","12782","1278","1329"
"1987","Realschule","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","1412.62","1328","414","312","614","1841","2556","3835","1314.78","1510.46","0","13294","1227","1432"
"1988","(noch) kein Abschluss","1260.44","1277.5","413","409","992","1534","1892","2353","1200.52","1320.36","0","6647","1227","1319"
"1988","AkademikerIn","2528.58","2364.5","555","1045","1764","3068","3886","8859","2408.52","2648.64","0","12782","2250","2454"
"1988","Hauptschule","1376.13","1379.5","3354","344","920","1738","2172","3907","1350.73","1401.53","0","10128","1329","1380"
"1988","Realschule","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","1511.87","1431.5","428","325","767","1994","2812","3835","1423.26","1600.48","0","10226","1355","1534"
"1989","(noch) kein Abschluss","1206.9","1252.5","399","225","920","1585","1800","2454","1153.84","1259.96","0","4090","1227","1329"
"1989","AkademikerIn","2657.48","2451.5","554","1140","1841","3144","4090","8590","2513.48","2801.48","0","23008","2344","2556"
"1989","Hauptschule","1418.77","1431.5","3260","368","945","1790","2267","4090","1393.18","1444.36","0","10226","1380","1432"
"1989","Realschule","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","1427.1","1346","504","383","644","1943","2608","3988","1346","1508.2","56","9718","1176","1380"
"1990","(noch) kein Abschluss","1268.83","1370","389","369","920","1636","1866","2556","1212.31","1325.35","0","4602","1329","1432"
"1990","AkademikerIn","","","","","","","","","","","","","",""
"1990","Hauptschule","1316.34","1328.5","4264","353","614","1790","2291","3676","1291.98","1340.7","0","10226","1125","1227"
"1990","Realschule","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","1486.87","1428.5","537","341","693","1943","2659","4602","1411.4","1562.34","0","7669","1278","1483"
"1991","(noch) kein Abschluss","1260.61","1316.5","407","245","828","1687","1994","2659","1199.6","1321.62","77","4602","1278","1432"
"1991","AkademikerIn","","","","","","","","","","","","","",""
"1991","Hauptschule","1409.19","1420","3977","383","759","1866","2403","4090","1384.23","1434.15","0","10635","1278","1329"
"1991","Realschule","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","1678.7","1627","526","383","881","2301","2995","5113","1598.16","1759.24","97","5880","1457","1636"
"1992","(noch) kein Abschluss","1386.58","1464","364","245","920","1790","2147","3068","1318.16","1455","0","4090","1380","1534"
"1992","AkademikerIn","","","","","","","","","","","","","",""
"1992","Hauptschule","1561.75","1561.5","3644","465","920","2045","2556","4169","1533.86","1589.64","0","15339","1432","1534"
"1992","Realschule","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","1729.45","1653","531","463","920","2301","3017","5113","1649.1","1809.8","55","5266","1534","1687"
"1993","(noch) kein Abschluss","1402.32","1467","346","343","1074","1790","2071","2914","1336.25","1468.39","51","4602","1432","1611"
"1993","AkademikerIn","","","","","","","","","","","","","",""
"1993","Hauptschule","1654.23","1635.5","3434","460","1023","2122","2657","4960","1624.7","1683.76","0","10719","1534","1609"
"1993","Realschule","","","","","","","","","","","","","",""
"1994","(Fach-)Abitur","1663.48","1622.5","540","440","884","2250","2914","4704","1581.73","1745.23","0","5624","1520","1636"
