"year","bildungsniveau","bula_h","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","(Fach-)Abitur","Baden-Wuerttemberg","1356.54","1252.5","80","291","562","2045","2352","3579","1190.77","1522.31","146","3579","1125","1534"
"1984","(Fach-)Abitur","Bayern","1401.54","1325.5","69","233","767","2045","2556","3806","1203.53","1599.55","0","3806","1023","1483"
"1984","(Fach-)Abitur","Berlin","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Brandenburg","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Bremen","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Hamburg","1229.55","1099.5","31","609","746","1636","2277","2812","1018.14","1440.96","291","2812","920","1534"
"1984","(Fach-)Abitur","Hessen","1584.73","1359.5","56","281","614","1990","2982","4602","1336.37","1833.09","153","4602","1074","1534"
"1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Niedersachsen","1283.18","1067.5","37","282","618","2045","2556","3068","1028.24","1538.12","102","3068","869","1440"
"1984","(Fach-)Abitur","Nordrhein-Westfalen","1394.4","1260.5","134","258","614","1822","2216","11039","1202.58","1586.22","82","11039","1120","1345"
"1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Saarland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Sachsen","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Sachsen-Anhalt","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Schleswig-Holstein","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Thueringen","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Baden-Wuerttemberg","1137.85","1135","193","511","920","1380","1534","2436","1064.56","1211.14","199","6135","1125","1278"
"1984","(noch) kein Abschluss","Bayern","1029.13","1099.5","76","256","716","1278","1595","2250","929.76","1128.5","164","2250","1023","1164"
"1984","(noch) kein Abschluss","Berlin","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Brandenburg","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Bremen","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Hamburg","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Hessen","968.54","997","85","210","511","1432","1687","1943","869.82","1067.26","41","2045","971","1329"
"1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Niedersachsen","1324.63","1367.5","31","1023","1227","1534","1652","1662","1216.72","1432.54","497","1662","1125","1439"
"1984","(noch) kein Abschluss","Nordrhein-Westfalen","1129.96","1168.5","181","614","920","1332","1543","2271","1066.2","1193.72","54","2506","1023","1227"
"1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","908.39","922.5","46","231","665","1278","1483","2199","774.86","1041.92","31","2199","925","1380"
"1984","(noch) kein Abschluss","Saarland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Sachsen","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Sachsen-Anhalt","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Schleswig-Holstein","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Thueringen","","","","","","","","","","","","","",""
"1984","AkademikerIn","Baden-Wuerttemberg","2579.01","2237","102","1278","1892","3142","4090","9920","2256.76","2901.26","199","11248","2045","2556"
"1984","AkademikerIn","Bayern","2036.03","1995","117","774","1227","2608","3068","6135","1815.17","2256.89","250","10143","1790","2250"
"1984","AkademikerIn","Berlin","","","","","","","","","","","","","",""
"1984","AkademikerIn","Brandenburg","","","","","","","","","","","","","",""
"1984","AkademikerIn","Bremen","","","","","","","","","","","","","",""
"1984","AkademikerIn","Hamburg","","","","","","","","","","","","","",""
"1984","AkademikerIn","Hessen","1993.7","2224.5","68","707","1329","2556","3068","4602","1777.84","2209.56","0","4602","1687","2301"
"1984","AkademikerIn","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"1984","AkademikerIn","Niedersachsen","2395.18","2411","65","1023","1585","2876","3477","6902","2091.93","2698.43","97","6902","1969","2556"
"1984","AkademikerIn","Nordrhein-Westfalen","2176.59","2044.5","184","812","1534","2687","3477","6135","2006.82","2346.36","0","7747","1841","2096"
"1984","AkademikerIn","Rheinland-Pfalz,Saarland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Saarland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Sachsen","","","","","","","","","","","","","",""
"1984","AkademikerIn","Sachsen-Anhalt","","","","","","","","","","","","","",""
"1984","AkademikerIn","Schleswig-Holstein","","","","","","","","","","","","","",""
"1984","AkademikerIn","Thueringen","","","","","","","","","","","","","",""
"1984","Hauptschule","Baden-Wuerttemberg","1250.28","1226","877","381","767","1584","1943","3749","1187.14","1313.42","0","16873","1176","1278"
"1984","Hauptschule","Bayern","1214.06","1189.5","760","358","767","1520","1997","3579","1159.08","1269.04","0","12782","1125","1227"
"1984","Hauptschule","Berlin","","","","","","","","","","","","","",""
"1984","Hauptschule","Brandenburg","","","","","","","","","","","","","",""
"1984","Hauptschule","Bremen","1022.82","1038","37","179","716","1534","1790","1892","855.76","1189.88","120","1892","869","1253"
"1984","Hauptschule","Hamburg","1332.14","1303.5","84","409","723","1636","2045","5113","1176.63","1487.65","128","5113","1023","1380"
"1984","Hauptschule","Hessen","1201.96","1169","408","357","752","1534","1943","3179","1141.06","1262.86","0","5113","1125","1227"
"1984","Hauptschule","Mecklenburg-Vorpommern","","","","","","","","","","","","","",""
"1984","Hauptschule","Niedersachsen","1136.94","1201","402","256","707","1534","1790","2556","1081.04","1192.84","74","3323","1125","1278"
