"ple0005","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stark","2002","17-34","(noch) kein Abschluss","11","","",""
"Stark","2002","17-34","Hauptschule","45","0.0310827547036661","0.0217944426962607","0.0403710667110716"
"Stark","2002","17-34","Realschule","78","0.0383050031255576","0.0300288339080748","0.0465811723430404"
"Stark","2002","17-34","(Fach-)Abitur","22","","",""
"Stark","2002","17-34","AkademikerIn","15","","",""
"Stark","2002","35-65","(noch) kein Abschluss","34","0.196638353858008","0.137582476113315","0.2556942316027"
"Stark","2002","35-65","Hauptschule","895","0.177334482347642","0.166908910645989","0.187760054049295"
"Stark","2002","35-65","Realschule","328","0.100847256868676","0.0908482285262318","0.110846285211119"
"Stark","2002","35-65","(Fach-)Abitur","90","0.101819160756949","0.0833598531087443","0.120278468405154"
"Stark","2002","35-65","AkademikerIn","217","","",""
"Stark","2002","66 +","(noch) kein Abschluss","33","0.512456274093527","0.39186626815242","0.633046280034634"
"Stark","2002","66 +","Hauptschule","890","0.387267839806888","0.367697396345494","0.406838283268282"
"Stark","2002","66 +","Realschule","137","","",""
"Stark","2002","66 +","(Fach-)Abitur","45","0.327528325773739","0.251402311224894","0.403654340322584"
"Stark","2002","66 +","AkademikerIn","125","","",""
"Ein wenig","2002","17-34","(noch) kein Abschluss","70","0.111086403120681","0.0871488737937365","0.135023932447626"
"Ein wenig","2002","17-34","Hauptschule","285","","",""
"Ein wenig","2002","17-34","Realschule","458","0.224980679427557","0.206974904836546","0.242986454018568"
"Ein wenig","2002","17-34","(Fach-)Abitur","219","","",""
"Ein wenig","2002","17-34","AkademikerIn","121","","",""
"Ein wenig","2002","35-65","(noch) kein Abschluss","79","0.456760357291222","0.382746439000452","0.530774275581992"
"Ein wenig","2002","35-65","Hauptschule","2046","","",""
"Ein wenig","2002","35-65","Realschule","1355","","",""
"Ein wenig","2002","35-65","(Fach-)Abitur","344","0.355140693761418","0.325929354840479","0.384352032682357"
"Ein wenig","2002","35-65","AkademikerIn","1132","","",""
"Ein wenig","2002","66 +","(noch) kein Abschluss","29","","",""
"Ein wenig","2002","66 +","Hauptschule","1112","","",""
"Ein wenig","2002","66 +","Realschule","201","","",""
"Ein wenig","2002","66 +","(Fach-)Abitur","71","0.497763006274713","0.416659931236638","0.578866081312789"
"Ein wenig","2002","66 +","AkademikerIn","288","","",""
"Gar nicht","2002","17-34","(noch) kein Abschluss","581","0.868980296850024","0.843276790807036","0.894683802893012"
"Gar nicht","2002","17-34","Hauptschule","1011","","",""
"Gar nicht","2002","17-34","Realschule","1530","","",""
"Gar nicht","2002","17-34","(Fach-)Abitur","1026","","",""
"Gar nicht","2002","17-34","AkademikerIn","486","0.769373123997497","0.736269437346695","0.802476810648299"
"Gar nicht","2002","35-65","(noch) kein Abschluss","61","0.346601288850771","0.275891801224356","0.417310776477185"
"Gar nicht","2002","35-65","Hauptschule","2215","","",""
"Gar nicht","2002","35-65","Realschule","1801","","",""
"Gar nicht","2002","35-65","(Fach-)Abitur","597","0.543040145481633","0.512633133123853","0.573447157839413"
"Gar nicht","2002","35-65","AkademikerIn","2026","","",""
