year,hhtyp,sampreg,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,Yes,0.19359,224,1089,0.17012,0.21707
1996,Single-person household,West,No,0.80641,865,1089,0.78293,0.82988
1996,Single-person household,East,Yes,0.21305,74,344,0.16972,0.25639
1996,Single-person household,East,No,0.78695,270,344,0.74361,0.83028
1996,Couple without children,West,Yes,0.31805,412,1306,0.29278,0.34332
1996,Couple without children,West,No,0.68195,894,1306,0.65668,0.70722
1996,Couple without children,East,Yes,0.38987,213,535,0.34850,0.43123
1996,Couple without children,East,No,0.61013,322,535,0.56877,0.65150
1996,Single parent,West,Yes,0.47708,118,278,0.41826,0.53591
1996,Single parent,West,No,0.52292,160,278,0.46409,0.58174
1996,Single parent,East,Yes,0.51669,54,109,0.42244,0.61094
1996,Single parent,East,No,0.48331,55,109,0.38906,0.57756
1996,Couple with children,West,Yes,0.45731,781,1922,0.43503,0.47959
1996,Couple with children,West,No,0.54269,1141,1922,0.52041,0.56497
1996,Couple with children,East,Yes,0.60214,467,764,0.56741,0.63687
1996,Couple with children,East,No,0.39786,297,764,0.36313,0.43259
1996,Multi-generational household,West,Yes,0.50102,38,96,0.40047,0.60156
1996,Multi-generational household,West,No,0.49898,58,96,0.39844,0.59953
1996,Other Combinations,West,Yes,0.60692,54,102,0.51166,0.70218
1996,Other Combinations,West,No,0.39308,48,102,0.29782,0.48834
2001,Single-person household,West,Yes,0.21330,490,2220,0.19626,0.23035
2001,Single-person household,West,No,0.78670,1730,2220,0.76965,0.80374
2001,Single-person household,East,Yes,0.30022,216,706,0.26639,0.33406
2001,Single-person household,East,No,0.69978,490,706,0.66594,0.73361
2001,Couple without children,West,Yes,0.31006,842,2664,0.29249,0.32763
2001,Couple without children,West,No,0.68994,1822,2664,0.67237,0.70751
2001,Couple without children,East,Yes,0.46464,444,925,0.43248,0.49680
2001,Couple without children,East,No,0.53536,481,925,0.50320,0.56752
2001,Single parent,West,Yes,0.39385,211,514,0.35157,0.43614
2001,Single parent,West,No,0.60615,303,514,0.56386,0.64843
2001,Single parent,East,Yes,0.52430,103,192,0.45348,0.59513
2001,Single parent,East,No,0.47570,89,192,0.40487,0.54652
2001,Couple with children,West,Yes,0.48922,1523,3208,0.47192,0.50652
2001,Couple with children,West,No,0.51078,1685,3208,0.49348,0.52808
2001,Couple with children,East,Yes,0.62628,611,967,0.59577,0.65679
2001,Couple with children,East,No,0.37372,356,967,0.34321,0.40423
2001,Multi-generational household,West,Yes,0.54894,64,134,0.46437,0.63351
2001,Multi-generational household,West,No,0.45106,70,134,0.36649,0.53563
2001,Other Combinations,West,Yes,0.47811,43,97,0.37819,0.57804
2001,Other Combinations,West,No,0.52189,54,97,0.42196,0.62181
2006,Single-person household,West,Yes,0.19876,515,2472,0.18302,0.21449
2006,Single-person household,West,No,0.80124,1957,2472,0.78551,0.81698
2006,Single-person household,East,Yes,0.26047,223,816,0.23034,0.29060
2006,Single-person household,East,No,0.73953,593,816,0.70940,0.76966
2006,Couple without children,West,Yes,0.30338,980,3132,0.28728,0.31949
2006,Couple without children,West,No,0.69662,2152,3132,0.68051,0.71272
2006,Couple without children,East,Yes,0.44042,466,1026,0.41003,0.47081
2006,Couple without children,East,No,0.55958,560,1026,0.52919,0.58997
2006,Single parent,West,Yes,0.45647,261,582,0.41597,0.49697
2006,Single parent,West,No,0.54353,321,582,0.50303,0.58403
2006,Single parent,East,Yes,0.55102,101,190,0.48011,0.62193
2006,Single parent,East,No,0.44898,89,190,0.37807,0.51989
2006,Couple with children,West,Yes,0.50323,1512,2984,0.48528,0.52117
2006,Couple with children,West,No,0.49677,1472,2984,0.47883,0.51472
2006,Couple with children,East,Yes,0.63780,552,853,0.60553,0.67007
2006,Couple with children,East,No,0.36220,301,853,0.32993,0.39447
2006,Multi-generational household,West,Yes,0.43734,40,83,0.32997,0.54471
2006,Multi-generational household,West,No,0.56266,43,83,0.45529,0.67003
2006,Other Combinations,West,Yes,0.40086,33,84,0.29542,0.50629
2006,Other Combinations,West,No,0.59914,51,84,0.49371,0.70458
2011,Single-person household,West,Yes,0.21181,562,2622,0.19616,0.22745
2011,Single-person household,West,No,0.78819,2060,2622,0.77255,0.80384
2011,Single-person household,East,Yes,0.26433,236,888,0.23531,0.29336
2011,Single-person household,East,No,0.73567,652,888,0.70664,0.76469
2011,Couple without children,West,Yes,0.30761,1045,3281,0.29182,0.32341
2011,Couple without children,West,No,0.69239,2236,3281,0.67659,0.70818
2011,Couple without children,East,Yes,0.41895,449,1090,0.38965,0.44825
2011,Couple without children,East,No,0.58105,641,1090,0.55175,0.61035
2011,Single parent,West,Yes,0.41196,256,585,0.37204,0.45187
2011,Single parent,West,No,0.58804,329,585,0.54813,0.62796
2011,Single parent,East,Yes,0.43802,88,199,0.36891,0.50713
2011,Single parent,East,No,0.56198,111,199,0.49287,0.63109
2011,Couple with children,West,Yes,0.51605,1332,2566,0.49671,0.53539
2011,Couple with children,West,No,0.48395,1234,2566,0.46461,0.50329
2011,Couple with children,East,Yes,0.64210,430,674,0.60588,0.67832
