"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA","NA.1"
"2005","6.46","6.5","20609","5","6","7","7","7","6.45","6.47","1","7","7","7","",""
"2006","","","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","","","",""
"2010","6.4","6.5","16588","5","6","7","7","7","6.39","6.41","1","7","7","7","",""
"2011","","","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","","","",""
"2013","","","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","","","",""
"2015","6.39","6.5","26598","5","6","7","7","7","6.38","6.4","1","7","7","7","",""
"2016","6.5","6.5","2990","5","6","7","7","7","6.48","6.52","1","7","7","7","",""
"2017","6.83","6.5","1841","6","7","7","7","7","6.8","6.86","1","7","7","7","",""
"2018","6.85","6.5","376","7","7","7","7","7","6.79","6.91","1","7","7","7","",""
"2019","6.77","6.5","259","6","7","7","7","7","6.67","6.87","1","7","7","7","",""
"2020","6.38","6.5","29416","5","6","7","7","7","6.37","6.39","1","7","7","7","",""
