"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-34","maennlich","","","","","","","","","","","","","",""
"2005","17-34","weiblich","","","","","","","","","","","","","",""
"2005","35-65","maennlich","6.45","6.5","5610","5","6","7","7","7","6.43","6.47","1","7","7","7"
"2005","35-65","weiblich","6.5","6.5","5972","5","6","7","7","7","6.48","6.52","1","7","7","7"
"2005","66 +","maennlich","","","","","","","","","","","","","",""
"2005","66 +","weiblich","","","","","","","","","","","","","",""
"2006","17-34","maennlich","","","","","","","","","","","","","",""
"2006","17-34","weiblich","","","","","","","","","","","","","",""
"2006","35-65","maennlich","","","","","","","","","","","","","",""
"2006","35-65","weiblich","","","","","","","","","","","","","",""
"2006","66 +","maennlich","","","","","","","","","","","","","",""
"2006","66 +","weiblich","","","","","","","","","","","","","",""
"2007","17-34","maennlich","","","","","","","","","","","","","",""
"2007","17-34","weiblich","","","","","","","","","","","","","",""
"2007","35-65","maennlich","","","","","","","","","","","","","",""
"2007","35-65","weiblich","","","","","","","","","","","","","",""
"2007","66 +","maennlich","","","","","","","","","","","","","",""
"2007","66 +","weiblich","","","","","","","","","","","","","",""
"2008","17-34","maennlich","","","","","","","","","","","","","",""
"2008","17-34","weiblich","","","","","","","","","","","","","",""
"2008","35-65","maennlich","","","","","","","","","","","","","",""
"2008","35-65","weiblich","","","","","","","","","","","","","",""
"2008","66 +","maennlich","","","","","","","","","","","","","",""
"2008","66 +","weiblich","","","","","","","","","","","","","",""
"2009","17-34","maennlich","","","","","","","","","","","","","",""
"2009","17-34","weiblich","","","","","","","","","","","","","",""
"2009","35-65","maennlich","","","","","","","","","","","","","",""
"2009","35-65","weiblich","","","","","","","","","","","","","",""
"2009","66 +","maennlich","","","","","","","","","","","","","",""
"2009","66 +","weiblich","","","","","","","","","","","","","",""
"2010","17-34","maennlich","","","","","","","","","","","","","",""
"2010","17-34","weiblich","","","","","","","","","","","","","",""
"2010","35-65","maennlich","6.4","6.5","4296","5","6","7","7","7","6.37","6.43","1","7","7","7"
"2010","35-65","weiblich","6.42","6.5","4756","5","6","7","7","7","6.39","6.45","1","7","7","7"
"2010","66 +","maennlich","","","","","","","","","","","","","",""
"2010","66 +","weiblich","","","","","","","","","","","","","",""
"2011","17-34","maennlich","","","","","","","","","","","","","",""
"2011","17-34","weiblich","","","","","","","","","","","","","",""
"2011","35-65","maennlich","","","","","","","","","","","","","",""
"2011","35-65","weiblich","","","","","","","","","","","","","",""
"2011","66 +","maennlich","","","","","","","","","","","","","",""
"2011","66 +","weiblich","","","","","","","","","","","","","",""
"2012","17-34","maennlich","","","","","","","","","","","","","",""
"2012","17-34","weiblich","","","","","","","","","","","","","",""
"2012","35-65","maennlich","","","","","","","","","","","","","",""
"2012","35-65","weiblich","","","","","","","","","","","","","",""
"2012","66 +","maennlich","","","","","","","","","","","","","",""
"2012","66 +","weiblich","","","","","","","","","","","","","",""
"2013","17-34","maennlich","","","","","","","","","","","","","",""
"2013","17-34","weiblich","","","","","","","","","","","","","",""
"2013","35-65","maennlich","","","","","","","","","","","","","",""
"2013","35-65","weiblich","","","","","","","","","","","","","",""
"2013","66 +","maennlich","","","","","","","","","","","","","",""
"2013","66 +","weiblich","","","","","","","","","","","","","",""
"2014","17-34","maennlich","","","","","","","","","","","","","",""
"2014","17-34","weiblich","","","","","","","","","","","","","",""
"2014","35-65","maennlich","","","","","","","","","","","","","",""
"2014","35-65","weiblich","","","","","","","","","","","","","",""
"2014","66 +","maennlich","","","","","","","","","","","","","",""
"2014","66 +","weiblich","","","","","","","","","","","","","",""
"2015","17-34","maennlich","6.37","6.5","3008","5","6","7","7","7","6.34","6.4","1","7","7","7"
"2015","17-34","weiblich","6.46","6.5","3581","5","6","7","7","7","6.43","6.49","1","7","7","7"
"2015","35-65","maennlich","6.37","6.5","6832","5","6","7","7","7","6.35","6.39","1","7","7","7"
"2015","35-65","weiblich","6.41","6.5","8295","5","6","7","7","7","6.39","6.43","1","7","7","7"
"2015","66 +","maennlich","","","","","","","","","","","","","",""
"2015","66 +","weiblich","","","","","","","","","","","","","",""
"2016","17-34","maennlich","6.69","6.5","895","6","7","7","7","7","6.65","6.73","1","7","7","7"
"2016","17-34","weiblich","6.16","6.5","689","4","6","7","7","7","6.1","6.22","1","7","7","7"
"2016","35-65","maennlich","6.67","6.5","847","6","7","7","7","7","6.63","6.71","1","7","7","7"
"2016","35-65","weiblich","6.65","6.5","535","6","6","7","7","7","6.59","6.71","1","7","7","7"
"2016","66 +","maennlich","4.64","4","9","4","4","4","7","7","3.87","5.41","4","7","7","7"
"2016","66 +","weiblich","","","","","","","","","","","","","",""
"2017","17-34","maennlich","6.81","6.5","594","6","7","7","7","7","6.75","6.87","1","7","7","7"
"2017","17-34","weiblich","6.85","6.5","529","6","7","7","7","7","6.8","6.9","1","7","7","7"
"2017","35-65","maennlich","6.84","6.5","366","6","7","7","7","7","6.78","6.9","1","7","7","7"
"2017","35-65","weiblich","6.81","6.5","332","6","7","7","7","7","6.76","6.86","4","7","7","7"
"2017","66 +","maennlich","6.86","6.5","7","6","7","7","7","7","6.41","7.31","6","7","",""
"2017","66 +","weiblich","","","","","","","","","","","","","",""
"2018","17-34","maennlich","6.74","6.5","93","6","7","7","7","7","6.56","6.92","1","7","7","7"
"2018","17-34","weiblich","","","","","","","","","","","","","",""
"2018","35-65","maennlich","6.89","6.5","79","7","7","7","7","7","6.8","6.98","5","7","7","7"
"2018","35-65","weiblich","6.81","6.5","71","6","7","7","7","7","6.68","6.94","5","7","7","7"
"2018","66 +","maennlich","","","","","","","","","","","","","",""
"2018","66 +","weiblich","","","","","","","","","","","","","",""
"2019","17-34","maennlich","6.87","6.5","64","7","7","7","7","7","6.75","6.99","4","7","7","7"
"2019","17-34","weiblich","6.76","6.5","68","6","7","7","7","7","6.5","7.02","1","7","7","7"
"2019","35-65","maennlich","6.68","6.5","59","5","7","7","7","7","6.48","6.88","4","7","7","7"
"2019","35-65","weiblich","6.74","6.5","62","6","7","7","7","7","6.58","6.9","5","7","7","7"
"2019","66 +","maennlich","7","7","4","7","7","7","7","7","7","7","7","7","",""
"2019","66 +","weiblich","","","","","","","","","","","","","",""
"2020","17-34","maennlich","6.36","6.5","4191","5","6","7","7","7","6.33","6.39","1","7","7","7"
"2020","17-34","weiblich","6.43","6.5","3848","5","6","7","7","7","6.4","6.46","1","7","7","7"
