year,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Not Disabled (<= 30%),0.86924,2251,2476,0.85596,0.88253
1984,1st Quintile,Disabled (> 30%),0.13076,225,2476,0.11747,0.14404
1984,2nd Quintile,Not Disabled (<= 30%),0.87727,2169,2389,0.86410,0.89043
1984,2nd Quintile,Disabled (> 30%),0.12273,220,2389,0.10957,0.13590
1984,3rd Quintile,Not Disabled (<= 30%),0.89645,2150,2348,0.88412,0.90877
1984,3rd Quintile,Disabled (> 30%),0.10355,198,2348,0.09123,0.11588
1984,4th Quintile,Not Disabled (<= 30%),0.89711,2277,2482,0.88515,0.90906
1984,4th Quintile,Disabled (> 30%),0.10289,205,2482,0.09094,0.11485
1984,5th Quintile,Not Disabled (<= 30%),0.89599,2202,2415,0.88381,0.90817
1984,5th Quintile,Disabled (> 30%),0.10401,213,2415,0.09183,0.11619
1985,1st Quintile,Not Disabled (<= 30%),0.88160,2057,2239,0.86822,0.89499
1985,1st Quintile,Disabled (> 30%),0.11840,182,2239,0.10501,0.13178
1985,2nd Quintile,Not Disabled (<= 30%),0.87599,1953,2152,0.86207,0.88992
1985,2nd Quintile,Disabled (> 30%),0.12401,199,2152,0.11008,0.13793
1985,3rd Quintile,Not Disabled (<= 30%),0.88580,2008,2200,0.87251,0.89909
1985,3rd Quintile,Disabled (> 30%),0.11420,192,2200,0.10091,0.12749
1985,4th Quintile,Not Disabled (<= 30%),0.91235,2048,2210,0.90056,0.92414
1985,4th Quintile,Disabled (> 30%),0.08765,162,2210,0.07586,0.09944
1985,5th Quintile,Not Disabled (<= 30%),0.89362,1981,2175,0.88065,0.90658
1985,5th Quintile,Disabled (> 30%),0.10638,194,2175,0.09342,0.11935
1987,1st Quintile,Not Disabled (<= 30%),0.86451,1825,2024,0.84960,0.87943
1987,1st Quintile,Disabled (> 30%),0.13549,199,2024,0.12057,0.15040
1987,2nd Quintile,Not Disabled (<= 30%),0.88623,1892,2055,0.87250,0.89996
1987,2nd Quintile,Disabled (> 30%),0.11377,163,2055,0.10004,0.12750
1987,3rd Quintile,Not Disabled (<= 30%),0.89322,1922,2096,0.88000,0.90645
1987,3rd Quintile,Disabled (> 30%),0.10678,174,2096,0.09355,0.12000
1987,4th Quintile,Not Disabled (<= 30%),0.89933,1968,2143,0.88659,0.91207
1987,4th Quintile,Disabled (> 30%),0.10067,175,2143,0.08793,0.11341
1987,5th Quintile,Not Disabled (<= 30%),0.90403,1907,2083,0.89138,0.91668
1987,5th Quintile,Disabled (> 30%),0.09597,176,2083,0.08332,0.10862
1988,1st Quintile,Not Disabled (<= 30%),0.83983,1740,1961,0.82360,0.85607
1988,1st Quintile,Disabled (> 30%),0.16017,221,1961,0.14393,0.17640
1988,2nd Quintile,Not Disabled (<= 30%),0.86383,1791,1973,0.84870,0.87897
1988,2nd Quintile,Disabled (> 30%),0.13617,182,1973,0.12103,0.15130
1988,3rd Quintile,Not Disabled (<= 30%),0.88446,1808,1995,0.87043,0.89849
1988,3rd Quintile,Disabled (> 30%),0.11554,187,1995,0.10151,0.12957
1988,4th Quintile,Not Disabled (<= 30%),0.89048,1869,2061,0.87699,0.90396
1988,4th Quintile,Disabled (> 30%),0.10952,192,2061,0.09604,0.12301
1988,5th Quintile,Not Disabled (<= 30%),0.90663,1773,1937,0.89367,0.91959
1988,5th Quintile,Disabled (> 30%),0.09337,164,1937,0.08041,0.10633
1989,1st Quintile,Not Disabled (<= 30%),0.83565,1708,1919,0.81907,0.85224
1989,1st Quintile,Disabled (> 30%),0.16435,211,1919,0.14776,0.18093
1989,2nd Quintile,Not Disabled (<= 30%),0.86752,1775,1951,0.85247,0.88257
1989,2nd Quintile,Disabled (> 30%),0.13248,176,1951,0.11743,0.14753
1989,3rd Quintile,Not Disabled (<= 30%),0.87787,1702,1889,0.86310,0.89264
1989,3rd Quintile,Disabled (> 30%),0.12213,187,1889,0.10736,0.13690
1989,4th Quintile,Not Disabled (<= 30%),0.88361,1809,2004,0.86957,0.89766
1989,4th Quintile,Disabled (> 30%),0.11639,195,2004,0.10234,0.13043
1989,5th Quintile,Not Disabled (<= 30%),0.90068,1691,1856,0.88707,0.91429
1989,5th Quintile,Disabled (> 30%),0.09932,165,1856,0.08571,0.11293
1991,1st Quintile,Not Disabled (<= 30%),0.81103,1589,1830,0.79309,0.82897
