"plh0108","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","(noch) kein Abschluss","maennlich","17","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","weiblich","12","","",""
"1 Sehr wichtig","1990","Hauptschule","maennlich","551","0.268714743087922","0.24874020793021","0.288689278245634"
"1 Sehr wichtig","1990","Hauptschule","weiblich","483","0.198682023850496","0.181955536648826","0.215408511052166"
"1 Sehr wichtig","1990","Realschule","maennlich","130","","",""
"1 Sehr wichtig","1990","Realschule","weiblich","129","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","maennlich","47","0.138532103009598","0.100974214098196","0.176089991920999"
"1 Sehr wichtig","1990","(Fach-)Abitur","weiblich","31","0.119347418719319","0.0780728314272034","0.160622006011434"
"1 Sehr wichtig","1990","AkademikerIn","maennlich","104","","",""
"1 Sehr wichtig","1990","AkademikerIn","weiblich","40","0.164253634991451","0.115070683532582","0.213436586450319"
"2 Wichtig","1990","(noch) kein Abschluss","maennlich","22","","",""
"2 Wichtig","1990","(noch) kein Abschluss","weiblich","20","","",""
"2 Wichtig","1990","Hauptschule","maennlich","614","0.317968258092121","0.29698457578158","0.338951940402661"
"2 Wichtig","1990","Hauptschule","weiblich","711","0.303180714866711","0.283912837240302","0.322448592493119"
"2 Wichtig","1990","Realschule","maennlich","191","","",""
"2 Wichtig","1990","Realschule","weiblich","298","","",""
"2 Wichtig","1990","(Fach-)Abitur","maennlich","105","","",""
"2 Wichtig","1990","(Fach-)Abitur","weiblich","56","0.20056608558314","0.149586775765872","0.251545395400408"
"2 Wichtig","1990","AkademikerIn","maennlich","161","","",""
"2 Wichtig","1990","AkademikerIn","weiblich","82","0.390734027832794","0.32596551533737","0.455502540328218"
"3 Weniger wichtig","1990","(noch) kein Abschluss","maennlich","42","0.486783670886185","0.384089538867086","0.589477802905284"
"3 Weniger wichtig","1990","(noch) kein Abschluss","weiblich","37","0.444556037732124","0.337002538045604","0.552109537418645"
"3 Weniger wichtig","1990","Hauptschule","maennlich","505","0.27877879335882","0.258574129197849","0.29898345751979"
"3 Weniger wichtig","1990","Hauptschule","weiblich","587","0.271702895620743","0.253055231536987","0.2903505597045"
"3 Weniger wichtig","1990","Realschule","maennlich","215","","",""
"3 Weniger wichtig","1990","Realschule","weiblich","339","0.358927630348634","0.327880576236345","0.389974684460924"
"3 Weniger wichtig","1990","(Fach-)Abitur","maennlich","128","","",""
"3 Weniger wichtig","1990","(Fach-)Abitur","weiblich","110","","",""
"3 Weniger wichtig","1990","AkademikerIn","maennlich","124","","",""
"3 Weniger wichtig","1990","AkademikerIn","weiblich","65","0.291205466960758","0.230896792128982","0.351514141792533"
"4 Ganz unwichtig","1990","(noch) kein Abschluss","maennlich","10","","",""
"4 Ganz unwichtig","1990","(noch) kein Abschluss","weiblich","13","","",""
"4 Ganz unwichtig","1990","Hauptschule","maennlich","222","","",""
"4 Ganz unwichtig","1990","Hauptschule","weiblich","405","0.22643436566205","0.208889794144414","0.243978937179686"
"4 Ganz unwichtig","1990","Realschule","maennlich","66","0.127336581267825","0.100707889918896","0.153965272616754"
"4 Ganz unwichtig","1990","Realschule","weiblich","151","","",""
"4 Ganz unwichtig","1990","(Fach-)Abitur","maennlich","45","0.159142442003798","0.119371980048881","0.198912903958716"
"4 Ganz unwichtig","1990","(Fach-)Abitur","weiblich","40","0.207824864753365","0.156167377807025","0.259482351699706"
"4 Ganz unwichtig","1990","AkademikerIn","maennlich","47","0.1290948455266","0.0976213682257702","0.16056832282743"
"4 Ganz unwichtig","1990","AkademikerIn","weiblich","31","0.153806870214998","0.105917132426327","0.201696608003668"
"1 Sehr wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1991","Hauptschule","maennlich","","","",""
"1 Sehr wichtig","1991","Hauptschule","weiblich","","","",""
"1 Sehr wichtig","1991","Realschule","maennlich","","","",""
"1 Sehr wichtig","1991","Realschule","weiblich","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1991","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1991","AkademikerIn","weiblich","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1991","Hauptschule","maennlich","","","",""
"2 Wichtig","1991","Hauptschule","weiblich","","","",""
"2 Wichtig","1991","Realschule","maennlich","","","",""
"2 Wichtig","1991","Realschule","weiblich","","","",""
"2 Wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"2 Wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"2 Wichtig","1991","AkademikerIn","maennlich","","","",""
"2 Wichtig","1991","AkademikerIn","weiblich","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"3 Weniger wichtig","1991","Hauptschule","maennlich","","","",""
"3 Weniger wichtig","1991","Hauptschule","weiblich","","","",""
"3 Weniger wichtig","1991","Realschule","maennlich","","","",""
"3 Weniger wichtig","1991","Realschule","weiblich","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"3 Weniger wichtig","1991","AkademikerIn","maennlich","","","",""
"3 Weniger wichtig","1991","AkademikerIn","weiblich","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"4 Ganz unwichtig","1991","Hauptschule","maennlich","","","",""
"4 Ganz unwichtig","1991","Hauptschule","weiblich","","","",""
"4 Ganz unwichtig","1991","Realschule","maennlich","","","",""
"4 Ganz unwichtig","1991","Realschule","weiblich","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","maennlich","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","weiblich","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","maennlich","","","",""
"4 Ganz unwichtig","1991","AkademikerIn","weiblich","","","",""
"1 Sehr wichtig","1992","(noch) kein Abschluss","maennlich","10","","",""
"1 Sehr wichtig","1992","(noch) kein Abschluss","weiblich","17","","",""
"1 Sehr wichtig","1992","Hauptschule","maennlich","677","0.26729156054075","0.249663322086581","0.284919798994919"
"1 Sehr wichtig","1992","Hauptschule","weiblich","618","0.201038079163349","0.186269666438883","0.215806491887816"
"1 Sehr wichtig","1992","Realschule","maennlich","352","0.24423634267816","0.221137844352942","0.267334841003379"
"1 Sehr wichtig","1992","Realschule","weiblich","342","0.191922908009396","0.172857398340068","0.210988417678723"
"1 Sehr wichtig","1992","(Fach-)Abitur","maennlich","57","0.155163307737005","0.118950401746219","0.191376213727791"
"1 Sehr wichtig","1992","(Fach-)Abitur","weiblich","55","0.174688935841754","0.132421220165395","0.216956651518114"
"1 Sehr wichtig","1992","AkademikerIn","maennlich","198","","",""
"1 Sehr wichtig","1992","AkademikerIn","weiblich","140","","",""
"2 Wichtig","1992","(noch) kein Abschluss","maennlich","38","0.323409465460564","0.235187742462791","0.411631188458336"
"2 Wichtig","1992","(noch) kein Abschluss","weiblich","27","","",""
"2 Wichtig","1992","Hauptschule","maennlich","745","0.312258396973442","0.293798876821491","0.330717917125393"
"2 Wichtig","1992","Hauptschule","weiblich","851","0.29515840851312","0.278350837345626","0.311965979680613"
"2 Wichtig","1992","Realschule","maennlich","366","0.284122018378678","0.259875044274924","0.308368992482432"
"2 Wichtig","1992","Realschule","weiblich","468","0.286080353272609","0.26420136186164","0.307959344683577"
"2 Wichtig","1992","(Fach-)Abitur","maennlich","113","","",""
"2 Wichtig","1992","(Fach-)Abitur","weiblich","80","0.228354851094538","0.181626422107974","0.275083280081101"
"2 Wichtig","1992","AkademikerIn","maennlich","274","","",""
"2 Wichtig","1992","AkademikerIn","weiblich","219","","",""
"3 Weniger wichtig","1992","(noch) kein Abschluss","maennlich","46","0.442705811699413","0.349028141319478","0.536383482079349"
"3 Weniger wichtig","1992","(noch) kein Abschluss","weiblich","56","0.432493887090773","0.345644182974193","0.519343591207352"
"3 Weniger wichtig","1992","Hauptschule","maennlich","635","0.257864796341708","0.240439176265862","0.275290416417554"
"3 Weniger wichtig","1992","Hauptschule","weiblich","732","0.2501237591704","0.234164824839292","0.266082693501508"
"3 Weniger wichtig","1992","Realschule","maennlich","481","0.360626500895976","0.334810335467684","0.386442666324268"
"3 Weniger wichtig","1992","Realschule","weiblich","596","0.347545608053729","0.324491963330185","0.370599252777273"
"3 Weniger wichtig","1992","(Fach-)Abitur","maennlich","154","","",""
"3 Weniger wichtig","1992","(Fach-)Abitur","weiblich","131","","",""
"3 Weniger wichtig","1992","AkademikerIn","maennlich","278","","",""
"3 Weniger wichtig","1992","AkademikerIn","weiblich","249","","",""
"4 Ganz unwichtig","1992","(noch) kein Abschluss","maennlich","14","","",""
"4 Ganz unwichtig","1992","(noch) kein Abschluss","weiblich","25","","",""
"4 Ganz unwichtig","1992","Hauptschule","maennlich","364","0.1625852461441","0.147887133656348","0.177283358631852"
"4 Ganz unwichtig","1992","Hauptschule","weiblich","628","0.253679753153131","0.237645928406157","0.269713577900104"
"4 Ganz unwichtig","1992","Realschule","maennlich","130","","",""
"4 Ganz unwichtig","1992","Realschule","weiblich","233","","",""
"4 Ganz unwichtig","1992","(Fach-)Abitur","maennlich","60","0.174762211721854","0.136778640197442","0.212745783246266"
"4 Ganz unwichtig","1992","(Fach-)Abitur","weiblich","44","0.156270954489156","0.115849877897592","0.196692031080721"
"4 Ganz unwichtig","1992","AkademikerIn","maennlich","128","","",""
"4 Ganz unwichtig","1992","AkademikerIn","weiblich","116","","",""
"1 Sehr wichtig","1993","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1993","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1993","Hauptschule","maennlich","","","",""
"1 Sehr wichtig","1993","Hauptschule","weiblich","","","",""
"1 Sehr wichtig","1993","Realschule","maennlich","","","",""
"1 Sehr wichtig","1993","Realschule","weiblich","","","",""
"1 Sehr wichtig","1993","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1993","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1993","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1993","AkademikerIn","weiblich","","","",""
"2 Wichtig","1993","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1993","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1993","Hauptschule","maennlich","","","",""
"2 Wichtig","1993","Hauptschule","weiblich","","","",""
"2 Wichtig","1993","Realschule","maennlich","","","",""
"2 Wichtig","1993","Realschule","weiblich","","","",""
"2 Wichtig","1993","(Fach-)Abitur","maennlich","","","",""
"2 Wichtig","1993","(Fach-)Abitur","weiblich","","","",""
"2 Wichtig","1993","AkademikerIn","maennlich","","","",""
"2 Wichtig","1993","AkademikerIn","weiblich","","","",""
"3 Weniger wichtig","1993","(noch) kein Abschluss","maennlich","","","",""
"3 Weniger wichtig","1993","(noch) kein Abschluss","weiblich","","","",""
"3 Weniger wichtig","1993","Hauptschule","maennlich","","","",""
"3 Weniger wichtig","1993","Hauptschule","weiblich","","","",""
"3 Weniger wichtig","1993","Realschule","maennlich","","","",""
"3 Weniger wichtig","1993","Realschule","weiblich","","","",""
"3 Weniger wichtig","1993","(Fach-)Abitur","maennlich","","","",""
"3 Weniger wichtig","1993","(Fach-)Abitur","weiblich","","","",""
"3 Weniger wichtig","1993","AkademikerIn","maennlich","","","",""
"3 Weniger wichtig","1993","AkademikerIn","weiblich","","","",""
"4 Ganz unwichtig","1993","(noch) kein Abschluss","maennlich","","","",""
"4 Ganz unwichtig","1993","(noch) kein Abschluss","weiblich","","","",""
"4 Ganz unwichtig","1993","Hauptschule","maennlich","","","",""
"4 Ganz unwichtig","1993","Hauptschule","weiblich","","","",""
"4 Ganz unwichtig","1993","Realschule","maennlich","","","",""
"4 Ganz unwichtig","1993","Realschule","weiblich","","","",""
"4 Ganz unwichtig","1993","(Fach-)Abitur","maennlich","","","",""
"4 Ganz unwichtig","1993","(Fach-)Abitur","weiblich","","","",""
"4 Ganz unwichtig","1993","AkademikerIn","maennlich","","","",""
"4 Ganz unwichtig","1993","AkademikerIn","weiblich","","","",""
"1 Sehr wichtig","1994","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1994","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1994","Hauptschule","maennlich","","","",""
"1 Sehr wichtig","1994","Hauptschule","weiblich","","","",""
"1 Sehr wichtig","1994","Realschule","maennlich","","","",""
"1 Sehr wichtig","1994","Realschule","weiblich","","","",""
"1 Sehr wichtig","1994","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1994","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1994","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1994","AkademikerIn","weiblich","","","",""
"2 Wichtig","1994","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1994","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1994","Hauptschule","maennlich","","","",""
"2 Wichtig","1994","Hauptschule","weiblich","","","",""
"2 Wichtig","1994","Realschule","maennlich","","","",""
"2 Wichtig","1994","Realschule","weiblich","","","",""
"2 Wichtig","1994","(Fach-)Abitur","maennlich","","","",""
"2 Wichtig","1994","(Fach-)Abitur","weiblich","","","",""
"2 Wichtig","1994","AkademikerIn","maennlich","","","",""
"2 Wichtig","1994","AkademikerIn","weiblich","","","",""
"3 Weniger wichtig","1994","(noch) kein Abschluss","maennlich","","","",""
"3 Weniger wichtig","1994","(noch) kein Abschluss","weiblich","","","",""
"3 Weniger wichtig","1994","Hauptschule","maennlich","","","",""
"3 Weniger wichtig","1994","Hauptschule","weiblich","","","",""
"3 Weniger wichtig","1994","Realschule","maennlich","","","",""
"3 Weniger wichtig","1994","Realschule","weiblich","","","",""
"3 Weniger wichtig","1994","(Fach-)Abitur","maennlich","","","",""
"3 Weniger wichtig","1994","(Fach-)Abitur","weiblich","","","",""
"3 Weniger wichtig","1994","AkademikerIn","maennlich","","","",""
"3 Weniger wichtig","1994","AkademikerIn","weiblich","","","",""
"4 Ganz unwichtig","1994","(noch) kein Abschluss","maennlich","","","",""
"4 Ganz unwichtig","1994","(noch) kein Abschluss","weiblich","","","",""
"4 Ganz unwichtig","1994","Hauptschule","maennlich","","","",""
"4 Ganz unwichtig","1994","Hauptschule","weiblich","","","",""
"4 Ganz unwichtig","1994","Realschule","maennlich","","","",""
"4 Ganz unwichtig","1994","Realschule","weiblich","","","",""
"4 Ganz unwichtig","1994","(Fach-)Abitur","maennlich","","","",""
"4 Ganz unwichtig","1994","(Fach-)Abitur","weiblich","","","",""
"4 Ganz unwichtig","1994","AkademikerIn","maennlich","","","",""
"4 Ganz unwichtig","1994","AkademikerIn","weiblich","","","",""
"1 Sehr wichtig","1995","(noch) kein Abschluss","maennlich","31","0.163016264883699","0.106993590931198","0.2190389388362"
"1 Sehr wichtig","1995","(noch) kein Abschluss","weiblich","26","","",""
"1 Sehr wichtig","1995","Hauptschule","maennlich","714","0.281839428440858","0.263734266975094","0.299944589906621"
"1 Sehr wichtig","1995","Hauptschule","weiblich","642","0.224453980720053","0.208660890127463","0.240247071312644"
"1 Sehr wichtig","1995","Realschule","maennlich","336","0.24993854772311","0.226456198267173","0.273420897179047"
"1 Sehr wichtig","1995","Realschule","weiblich","353","0.195846505329085","0.176795948195574","0.214897062462596"
"1 Sehr wichtig","1995","(Fach-)Abitur","maennlich","83","0.189449994173735","0.153284281733227","0.225615706614243"
"1 Sehr wichtig","1995","(Fach-)Abitur","weiblich","77","0.184009556681406","0.147126416564407","0.220892696798405"
"1 Sehr wichtig","1995","AkademikerIn","maennlich","214","","",""
"1 Sehr wichtig","1995","AkademikerIn","weiblich","153","","",""
"2 Wichtig","1995","(noch) kein Abschluss","maennlich","59","0.332476241239658","0.261026028303217","0.403926454176099"
"2 Wichtig","1995","(noch) kein Abschluss","weiblich","64","0.344358145265576","0.275326072759859","0.413390217771293"
"2 Wichtig","1995","Hauptschule","maennlich","733","0.314085785986273","0.295406950743416","0.33276462122913"
"2 Wichtig","1995","Hauptschule","weiblich","826","0.299825887480285","0.282482366390763","0.317169408569808"
"2 Wichtig","1995","Realschule","maennlich","436","0.315404640310683","0.290203074943542","0.340606205677823"
"2 Wichtig","1995","Realschule","weiblich","543","0.315310836114976","0.293006131996805","0.337615540233147"
"2 Wichtig","1995","(Fach-)Abitur","maennlich","164","","",""
"2 Wichtig","1995","(Fach-)Abitur","weiblich","145","","",""
"2 Wichtig","1995","AkademikerIn","maennlich","325","0.347450976763069","0.316699100653265","0.378202852872872"
"2 Wichtig","1995","AkademikerIn","weiblich","266","","",""
"3 Weniger wichtig","1995","(noch) kein Abschluss","maennlich","63","0.420378640686324","0.345513030823883","0.495244250548764"
"3 Weniger wichtig","1995","(noch) kein Abschluss","weiblich","74","0.395115807104282","0.324090893023116","0.466140721185448"
"3 Weniger wichtig","1995","Hauptschule","maennlich","656","0.270437454723786","0.252562068526315","0.288312840921257"
"3 Weniger wichtig","1995","Hauptschule","weiblich","705","0.257335294627239","0.240787285404418","0.273883303850061"
"3 Weniger wichtig","1995","Realschule","maennlich","430","0.338080618816255","0.312424604536866","0.363736633095643"
"3 Weniger wichtig","1995","Realschule","weiblich","589","0.349632807571659","0.326741758700815","0.372523856442504"
"3 Weniger wichtig","1995","(Fach-)Abitur","maennlich","169","","",""
"3 Weniger wichtig","1995","(Fach-)Abitur","weiblich","151","","",""
"3 Weniger wichtig","1995","AkademikerIn","maennlich","279","","",""
"3 Weniger wichtig","1995","AkademikerIn","weiblich","245","","",""
"4 Ganz unwichtig","1995","(noch) kein Abschluss","maennlich","14","","",""
"4 Ganz unwichtig","1995","(noch) kein Abschluss","weiblich","18","","",""
"4 Ganz unwichtig","1995","Hauptschule","maennlich","269","","",""
"4 Ganz unwichtig","1995","Hauptschule","weiblich","508","0.218384837172422","0.202745893602549","0.234023780742295"
"4 Ganz unwichtig","1995","Realschule","maennlich","104","","",""
"4 Ganz unwichtig","1995","Realschule","weiblich","182","","",""
"4 Ganz unwichtig","1995","(Fach-)Abitur","maennlich","35","0.0948511155893033","0.0678089758959158","0.121893255282691"
"4 Ganz unwichtig","1995","(Fach-)Abitur","weiblich","51","0.161286098480388","0.126277836392953","0.196294360567824"
"4 Ganz unwichtig","1995","AkademikerIn","maennlich","103","","",""
"4 Ganz unwichtig","1995","AkademikerIn","weiblich","108","","",""
"1 Sehr wichtig","1996","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1996","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1996","Hauptschule","maennlich","","","",""
"1 Sehr wichtig","1996","Hauptschule","weiblich","","","",""
"1 Sehr wichtig","1996","Realschule","maennlich","","","",""
"1 Sehr wichtig","1996","Realschule","weiblich","","","",""
"1 Sehr wichtig","1996","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1996","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1996","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1996","AkademikerIn","weiblich","","","",""
"2 Wichtig","1996","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1996","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1996","Hauptschule","maennlich","","","",""
"2 Wichtig","1996","Hauptschule","weiblich","","","",""
"2 Wichtig","1996","Realschule","maennlich","","","",""
"2 Wichtig","1996","Realschule","weiblich","","","",""
"2 Wichtig","1996","(Fach-)Abitur","maennlich","","","",""
"2 Wichtig","1996","(Fach-)Abitur","weiblich","","","",""
"2 Wichtig","1996","AkademikerIn","maennlich","","","",""
"2 Wichtig","1996","AkademikerIn","weiblich","","","",""
"3 Weniger wichtig","1996","(noch) kein Abschluss","maennlich","","","",""
"3 Weniger wichtig","1996","(noch) kein Abschluss","weiblich","","","",""
"3 Weniger wichtig","1996","Hauptschule","maennlich","","","",""
"3 Weniger wichtig","1996","Hauptschule","weiblich","","","",""
"3 Weniger wichtig","1996","Realschule","maennlich","","","",""
