"plb0037_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Unbefristet","1985","(noch) kein Abschluss","Westdeutschland","454","0.914659464377633","0.889717424437621","0.939601504317646"
"Unbefristet","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Unbefristet","1985","Hauptschule","Westdeutschland","2993","0.910848387219553","0.901122921345998","0.920573853093107"
"Unbefristet","1985","Hauptschule","Ostdeutschland","","","",""
"Unbefristet","1985","Realschule","Westdeutschland","832","0.826661423242968","0.80336224722155","0.849960599264387"
"Unbefristet","1985","Realschule","Ostdeutschland","","","",""
"Unbefristet","1985","(Fach-)Abitur","Westdeutschland","280","0.736880842133743","0.691646084549525","0.782115599717961"
"Unbefristet","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Unbefristet","1985","AkademikerIn","Westdeutschland","427","0.876259928177038","0.84731039570611","0.905209460647966"
"Unbefristet","1985","AkademikerIn","Ostdeutschland","","","",""
"Befristet","1985","(noch) kein Abschluss","Westdeutschland","28","","",""
"Befristet","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Befristet","1985","Hauptschule","Westdeutschland","305","0.0891516127804474","0.079426146906893","0.0988770786540018"
"Befristet","1985","Hauptschule","Ostdeutschland","","","",""
"Befristet","1985","Realschule","Westdeutschland","182","0.173338576757032","0.150039400735613","0.196637752778451"
"Befristet","1985","Realschule","Ostdeutschland","","","",""
"Befristet","1985","(Fach-)Abitur","Westdeutschland","84","0.263119157866257","0.217884400282039","0.308353915450475"
"Befristet","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Befristet","1985","AkademikerIn","Westdeutschland","70","0.123740071822962","0.0947905393520336","0.15268960429389"
"Befristet","1985","AkademikerIn","Ostdeutschland","","","",""
"Unbefristet","1986","(noch) kein Abschluss","Westdeutschland","27","","",""
"Unbefristet","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Unbefristet","1986","Hauptschule","Westdeutschland","335","0.805911745578254","0.768310953319287","0.843512537837221"
"Unbefristet","1986","Hauptschule","Ostdeutschland","","","",""
"Unbefristet","1986","Realschule","Westdeutschland","133","0.656597775673704","0.59111551537986","0.722080035967549"
"Unbefristet","1986","Realschule","Ostdeutschland","","","",""
"Unbefristet","1986","(Fach-)Abitur","Westdeutschland","58","0.710387689336958","0.609076141367832","0.811699237306083"
"Unbefristet","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Unbefristet","1986","AkademikerIn","Westdeutschland","64","0.722859456753408","0.629870783102823","0.815848130403993"
"Unbefristet","1986","AkademikerIn","Ostdeutschland","","","",""
"Befristet","1986","(noch) kein Abschluss","Westdeutschland","8","","",""
"Befristet","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Befristet","1986","Hauptschule","Westdeutschland","90","0.194088254421746","0.156487462162779","0.231689046680713"
"Befristet","1986","Hauptschule","Ostdeutschland","","","",""
"Befristet","1986","Realschule","Westdeutschland","69","0.343402224326296","0.277919964032451","0.40888448462014"
"Befristet","1986","Realschule","Ostdeutschland","","","",""
"Befristet","1986","(Fach-)Abitur","Westdeutschland","19","","",""
"Befristet","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Befristet","1986","AkademikerIn","Westdeutschland","25","","",""
"Befristet","1986","AkademikerIn","Ostdeutschland","","","",""
"Unbefristet","1987","(noch) kein Abschluss","Westdeutschland","38","0.820943294937684","0.714672247004374","0.927214342870994"
"Unbefristet","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Unbefristet","1987","Hauptschule","Westdeutschland","439","0.775241663377062","0.741502377585617","0.808980949168507"
"Unbefristet","1987","Hauptschule","Ostdeutschland","","","",""
"Unbefristet","1987","Realschule","Westdeutschland","173","0.694932363486017","0.638749020659921","0.751115706312113"
"Unbefristet","1987","Realschule","Ostdeutschland","","","",""
"Unbefristet","1987","(Fach-)Abitur","Westdeutschland","68","0.582638412639198","0.49131232054357","0.673964504734826"
"Unbefristet","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Unbefristet","1987","AkademikerIn","Westdeutschland","72","0.723562673407026","0.637608327285319","0.809517019528733"
"Unbefristet","1987","AkademikerIn","Ostdeutschland","","","",""
"Befristet","1987","(noch) kein Abschluss","Westdeutschland","12","","",""
"Befristet","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Befristet","1987","Hauptschule","Westdeutschland","149","0.224758336622938","0.191019050831493","0.258497622414383"
"Befristet","1987","Hauptschule","Ostdeutschland","","","",""
"Befristet","1987","Realschule","Westdeutschland","85","0.305067636513983","0.248884293687887","0.361250979340079"
"Befristet","1987","Realschule","Ostdeutschland","","","",""
"Befristet","1987","(Fach-)Abitur","Westdeutschland","44","0.417361587360802","0.326035495265174","0.50868767945643"
"Befristet","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Befristet","1987","AkademikerIn","Westdeutschland","32","0.276437326592974","0.190482980471267","0.362391672714681"
"Befristet","1987","AkademikerIn","Ostdeutschland","","","",""
"Unbefristet","1988","(noch) kein Abschluss","Westdeutschland","351","0.87721976830133","0.844266079775206","0.910173456827454"
"Unbefristet","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Unbefristet","1988","Hauptschule","Westdeutschland","2688","0.914150640625138","0.904092507665487","0.924208773584789"
"Unbefristet","1988","Hauptschule","Ostdeutschland","","","",""
"Unbefristet","1988","Realschule","Westdeutschland","830","0.867005036161778","0.845916480817113","0.888093591506443"
"Unbefristet","1988","Realschule","Ostdeutschland","","","",""
"Unbefristet","1988","(Fach-)Abitur","Westdeutschland","282","0.761354452335033","0.717444403532065","0.805264501138001"
"Unbefristet","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Unbefristet","1988","AkademikerIn","Westdeutschland","424","0.895357070758163","0.867772222543862","0.922941918972463"
"Unbefristet","1988","AkademikerIn","Ostdeutschland","","","",""
"Befristet","1988","(noch) kein Abschluss","Westdeutschland","30","0.12278023169867","0.0898265431725463","0.155733920224794"
"Befristet","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Befristet","1988","Hauptschule","Westdeutschland","292","0.085849359374862","0.075791226415211","0.0959074923345131"
"Befristet","1988","Hauptschule","Ostdeutschland","","","",""
"Befristet","1988","Realschule","Westdeutschland","166","0.132994963838222","0.111906408493557","0.154083519182887"
"Befristet","1988","Realschule","Ostdeutschland","","","",""
"Befristet","1988","(Fach-)Abitur","Westdeutschland","80","0.238645547664967","0.194735498861999","0.282555596467935"
"Befristet","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Befristet","1988","AkademikerIn","Westdeutschland","49","0.104642929241838","0.0770580810275369","0.132227777456138"
"Befristet","1988","AkademikerIn","Ostdeutschland","","","",""
"Unbefristet","1989","(noch) kein Abschluss","Westdeutschland","35","0.807066529953869","0.690471454184353","0.923661605723384"
"Unbefristet","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Unbefristet","1989","Hauptschule","Westdeutschland","319","0.768837010989226","0.729036765808806","0.808637256169645"
"Unbefristet","1989","Hauptschule","Ostdeutschland","","","",""
"Unbefristet","1989","Realschule","Westdeutschland","143","0.736578882759381","0.676716865322245","0.796440900196517"
"Unbefristet","1989","Realschule","Ostdeutschland","","","",""
"Unbefristet","1989","(Fach-)Abitur","Westdeutschland","69","0.717520546116622","0.629719840254199","0.805321251979046"
"Unbefristet","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Unbefristet","1989","AkademikerIn","Westdeutschland","66","0.81765868999525","0.736522048223536","0.898795331766965"
"Unbefristet","1989","AkademikerIn","Ostdeutschland","","","",""
"Befristet","1989","(noch) kein Abschluss","Westdeutschland","9","","",""
"Befristet","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
