"plb0037_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Befristet","1985","(Fach-)Abitur","maennlich","47","0.239426887873935","0.18379153899711","0.29506223675076"
"Befristet","1985","(Fach-)Abitur","weiblich","37","0.295355192421309","0.219240940914184","0.371469443928434"
"Befristet","1985","(noch) kein Abschluss","maennlich","17","","",""
"Befristet","1985","(noch) kein Abschluss","weiblich","11","","",""
"Befristet","1985","AkademikerIn","maennlich","39","0.090273913168138","0.0603790068474819","0.120168819488794"
"Befristet","1985","AkademikerIn","weiblich","31","0.206039559493304","0.139979101039564","0.272100017947044"
"Befristet","1985","Hauptschule","maennlich","183","0.0808181260138265","0.0691941087083373","0.0924421433193158"
"Befristet","1985","Hauptschule","weiblich","122","0.103019589808475","0.0857191503989638","0.120320029217987"
"Befristet","1985","Realschule","maennlich","93","0.175072048927882","0.14132000891836","0.208824088937403"
"Befristet","1985","Realschule","weiblich","89","0.171801958867356","0.139596911774852","0.204007005959859"
"Unbefristet","1985","(Fach-)Abitur","maennlich","179","0.760573112126065","0.70493776324924","0.81620846100289"
"Unbefristet","1985","(Fach-)Abitur","weiblich","101","0.704644807578691","0.628530556071565","0.780759059085816"
"Unbefristet","1985","(noch) kein Abschluss","maennlich","264","0.898048895922796","0.862670275856341","0.933427515989251"
"Unbefristet","1985","(noch) kein Abschluss","weiblich","190","0.940949625536868","0.908362610786722","0.973536640287015"
"Unbefristet","1985","AkademikerIn","maennlich","314","0.909726086831862","0.879831180511206","0.939620993152518"
"Unbefristet","1985","AkademikerIn","weiblich","113","0.793960440506696","0.727899982052956","0.860020898960436"
"Unbefristet","1985","Hauptschule","maennlich","1929","0.919181873986173","0.907557856680684","0.930805891291663"
"Unbefristet","1985","Hauptschule","weiblich","1064","0.896980410191525","0.879679970782013","0.914280849601036"
"Unbefristet","1985","Realschule","maennlich","394","0.824927951072118","0.791175911062597","0.85867999108164"
"Unbefristet","1985","Realschule","weiblich","438","0.828198041132645","0.795992994040141","0.860403088225148"
"Befristet","1986","(Fach-)Abitur","maennlich","11","","",""
"Befristet","1986","(Fach-)Abitur","weiblich","8","","",""
"Befristet","1986","(noch) kein Abschluss","maennlich","7","","",""
"Befristet","1986","(noch) kein Abschluss","weiblich","1","","",""
"Befristet","1986","AkademikerIn","maennlich","14","","",""
"Befristet","1986","AkademikerIn","weiblich","11","","",""
"Befristet","1986","Hauptschule","maennlich","61","0.181546877152022","0.137334083045735","0.225759671258308"
"Befristet","1986","Hauptschule","weiblich","29","","",""
"Befristet","1986","Realschule","maennlich","31","0.367038922431558","0.266333856526505","0.467743988336612"
"Befristet","1986","Realschule","weiblich","38","0.324299884988927","0.238369638194578","0.410230131783275"
"Unbefristet","1986","(Fach-)Abitur","maennlich","33","0.713042628518616","0.579386710628593","0.846698546408639"
"Unbefristet","1986","(Fach-)Abitur","weiblich","25","","",""
"Unbefristet","1986","(noch) kein Abschluss","maennlich","17","","",""
"Unbefristet","1986","(noch) kein Abschluss","weiblich","10","","",""
"Unbefristet","1986","AkademikerIn","maennlich","50","0.7655412727294","0.661746469355372","0.869336076103428"
"Unbefristet","1986","AkademikerIn","weiblich","14","","",""
"Unbefristet","1986","Hauptschule","maennlich","231","0.818453122847978","0.774240328741692","0.862665916954265"
"Unbefristet","1986","Hauptschule","weiblich","104","0.781191323921928","0.710927263148954","0.851455384694901"
"Unbefristet","1986","Realschule","maennlich","57","0.632961077568442","0.532256011663388","0.733666143473495"
"Unbefristet","1986","Realschule","weiblich","76","0.675700115011073","0.589769868216725","0.761630361805422"
"Befristet","1987","(Fach-)Abitur","maennlich","25","","",""
"Befristet","1987","(Fach-)Abitur","weiblich","19","","",""
"Befristet","1987","(noch) kein Abschluss","maennlich","5","","",""
"Befristet","1987","(noch) kein Abschluss","weiblich","7","","",""
"Befristet","1987","AkademikerIn","maennlich","14","","",""
"Befristet","1987","AkademikerIn","weiblich","18","","",""
"Befristet","1987","Hauptschule","maennlich","93","0.212264079509343","0.170822064081523","0.253706094937162"
"Befristet","1987","Hauptschule","weiblich","56","0.244137656614584","0.186583069204259","0.301692244024908"
"Befristet","1987","Realschule","maennlich","29","","",""
"Befristet","1987","Realschule","weiblich","56","0.33870828979337","0.264202213257047","0.413214366329693"
"Unbefristet","1987","(Fach-)Abitur","maennlich","40","0.576089256656412","0.455953161311673","0.69622535200115"
"Unbefristet","1987","(Fach-)Abitur","weiblich","28","","",""
"Unbefristet","1987","(noch) kein Abschluss","maennlich","20","","",""
"Unbefristet","1987","(noch) kein Abschluss","weiblich","18","","",""
"Unbefristet","1987","AkademikerIn","maennlich","57","0.847485700672821","0.763859880883682","0.931111520461961"
"Unbefristet","1987","AkademikerIn","weiblich","15","","",""
"Unbefristet","1987","Hauptschule","maennlich","281","0.787735920490657","0.746293905062838","0.829177935918477"
"Unbefristet","1987","Hauptschule","weiblich","158","0.755862343385416","0.698307755975092","0.813416930795741"
"Unbefristet","1987","Realschule","maennlich","74","0.749448537168859","0.665763298679348","0.83313377565837"
"Unbefristet","1987","Realschule","weiblich","99","0.66129171020663","0.586785633670307","0.735797786742953"
"Befristet","1988","(Fach-)Abitur","maennlich","48","0.252113984236711","0.193936172950782","0.31029179552264"
"Befristet","1988","(Fach-)Abitur","weiblich","32","0.223155061116948","0.156075876611845","0.290234245622052"
"Befristet","1988","(noch) kein Abschluss","maennlich","19","","",""
"Befristet","1988","(noch) kein Abschluss","weiblich","11","","",""
"Befristet","1988","AkademikerIn","maennlich","25","","",""
"Befristet","1988","AkademikerIn","weiblich","24","","",""
"Befristet","1988","Hauptschule","maennlich","175","0.0801754524744814","0.0679934597902765","0.0923574451586863"
"Befristet","1988","Hauptschule","weiblich","117","0.0954217697040344","0.0778263287566938","0.113017210651375"
"Befristet","1988","Realschule","maennlich","82","0.131528382508255","0.101166257134974","0.161890507881536"
"Befristet","1988","Realschule","weiblich","84","0.134308343817888","0.105000792648099","0.163615894987676"
"Unbefristet","1988","(Fach-)Abitur","maennlich","166","0.747886015763289","0.68970820447736","0.806063827049218"
"Unbefristet","1988","(Fach-)Abitur","weiblich","116","0.776844938883052","0.709765754377948","0.843924123388155"
"Unbefristet","1988","(noch) kein Abschluss","maennlich","203","0.843600769243454","0.795819531722197","0.89138200676471"
"Unbefristet","1988","(noch) kein Abschluss","weiblich","148","0.936116522560557","0.898105569542395","0.974127475578719"
"Unbefristet","1988","AkademikerIn","maennlich","311","0.924141429855695","0.895830769552894","0.952452090158496"
"Unbefristet","1988","AkademikerIn","weiblich","113","0.825271317898475","0.761684325488825","0.888858310308124"
"Unbefristet","1988","Hauptschule","maennlich","1734","0.919824547525519","0.907642554841314","0.932006540209724"
"Unbefristet","1988","Hauptschule","weiblich","954","0.904578230295966","0.886982789348625","0.922173671243306"
"Unbefristet","1988","Realschule","maennlich","394","0.868471617491745","0.838109492118464","0.898833742865026"
"Unbefristet","1988","Realschule","weiblich","436","0.865691656182112","0.836384105012324","0.894999207351901"
"Befristet","1989","(Fach-)Abitur","maennlich","18","","",""
"Befristet","1989","(Fach-)Abitur","weiblich","14","","",""
"Befristet","1989","(noch) kein Abschluss","maennlich","5","","",""
"Befristet","1989","(noch) kein Abschluss","weiblich","4","","",""
"Befristet","1989","AkademikerIn","maennlich","13","","",""
"Befristet","1989","AkademikerIn","weiblich","8","","",""
"Befristet","1989","Hauptschule","maennlich","58","0.246638656044662","0.191989761762658","0.301287550326667"
"Befristet","1989","Hauptschule","weiblich","54","0.212675040919717","0.154794477651973","0.270555604187461"
"Befristet","1989","Realschule","maennlich","21","","",""
"Befristet","1989","Realschule","weiblich","44","0.323472180733062","0.241134515775858","0.405809845690265"
"Unbefristet","1989","(Fach-)Abitur","maennlich","42","0.696422053476277","0.580078095831234","0.81276601112132"
"Unbefristet","1989","(Fach-)Abitur","weiblich","27","","",""
"Unbefristet","1989","(noch) kein Abschluss","maennlich","13","","",""
"Unbefristet","1989","(noch) kein Abschluss","weiblich","22","","",""
"Unbefristet","1989","AkademikerIn","maennlich","51","0.868263551947089","0.785405090646264","0.951122013247914"
"Unbefristet","1989","AkademikerIn","weiblich","15","","",""
"Unbefristet","1989","Hauptschule","maennlich","181","0.753361343955338","0.698712449673333","0.808010238237342"
"Unbefristet","1989","Hauptschule","weiblich","138","0.787324959080283","0.729444395812539","0.845205522348026"
"Unbefristet","1989","Realschule","maennlich","63","0.828129027318079","0.747450359354887","0.908807695281271"
"Unbefristet","1989","Realschule","weiblich","80","0.676527819266938","0.594190154309735","0.758865484224142"
"Befristet","1990","(Fach-)Abitur","maennlich","17","","",""
"Befristet","1990","(Fach-)Abitur","weiblich","15","","",""
"Befristet","1990","(noch) kein Abschluss","maennlich","2","","",""
"Befristet","1990","(noch) kein Abschluss","weiblich","6","","",""
"Befristet","1990","AkademikerIn","maennlich","13","","",""
"Befristet","1990","AkademikerIn","weiblich","7","","",""
"Befristet","1990","Hauptschule","maennlich","39","0.118698832828594","0.0784449621043098","0.158952703552878"
"Befristet","1990","Hauptschule","weiblich","58","0.262248124558801","0.202757325769545","0.321738923348057"
"Befristet","1990","Realschule","maennlich","21","","",""
"Befristet","1990","Realschule","weiblich","38","0.279941937773495","0.200598086617806","0.359285788929183"
"Unbefristet","1990","(Fach-)Abitur","maennlich","33","0.659724113693752","0.528395350289773","0.791052877097731"
"Unbefristet","1990","(Fach-)Abitur","weiblich","37","0.75809516125114","0.641701170401785","0.874489152100494"
"Unbefristet","1990","(noch) kein Abschluss","maennlich","16","","",""
"Unbefristet","1990","(noch) kein Abschluss","weiblich","16","","",""
"Unbefristet","1990","AkademikerIn","maennlich","43","0.698794927850363","0.578634880725775","0.818954974974952"
