"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","38.24","39","424","16","40","43","50","72","37.01","39.47","1","80","40","40"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","39.14","38.5","591","30","40","40","48","70","38.39","39.89","2","80","40","40"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","41.69","41.5","561","20","40","50","60","75","40.52","42.86","1","80","40","42"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","39.85","39.5","3792","21","40","44","50","74","39.48","40.22","1","80","40","40"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","39.71","39.5","1101","20","40","44","50","75","38.96","40.46","1","80","40","40"
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","36.11","39.5","387","10","30","45","50","70","34.63","37.59","2","80","40","40"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","38.28","39.5","469","15","40","41","49","70","37.37","39.19","1","80","40","40"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","42.86","42.5","562","26","40","50","60","70","41.83","43.89","2","80","42","44"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","39.25","39.5","3412","20","40","45","50","70","38.83","39.67","1","80","40","40"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","39.94","39.5","1071","20","40","45","50","70","39.2","40.68","1","80","40","40"
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","38.34","39.5","394","15","38","44","50","70","37.05","39.63","1","75","40","40"
"1986","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","38.72","39.5","433","30","39","42","50","62","37.76","39.68","2","80","40","40"
"1986","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Westdeutschland","43.51","43.5","540","28","40","50","60","70","42.44","44.58","2","80","42","45"
"1986","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Westdeutschland","39.56","39.5","3301","20","39","45","54","72","39.15","39.97","1","80","40","40"
"1986","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Westdeutschland","40.31","39.5","1041","24","40","45","50","70","39.61","41.01","1","80","40","40"
"1987","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","38.13","39.5","415","15","38","45","50","72","36.94","39.32","2","80","40","40"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Westdeutschland","37.72","39.5","446","20","38","40","50","68","36.79","38.65","2","80","40","40"
"1987","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1987","AkademikerIn","Westdeutschland","42.07","41.5","544","24","40","50","60","70","40.98","43.16","1","80","40","43"
"1987","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Hauptschule","Westdeutschland","39.22","39.5","3308","20","39","44","50","70","38.83","39.61","1","80","40","40"
"1987","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Realschule","Westdeutschland","39.7","39.5","1068","22","39","44","50","70","39.02","40.38","1","80","40","40"
"1988","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
