"ple0021","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2011","Westdeutschland","3098","0.206758497362579","0.200451757754239","0.213065236970918"
"Ja","2011","Ostdeutschland","996","0.208342994800543","0.196977546625021","0.219708442976066"
"Nein","2011","Westdeutschland","12742","","",""
"Nein","2011","Ostdeutschland","3909","0.791657005199457","0.780291557023934","0.803022453374979"
"Ja","2012","Westdeutschland","","","",""
"Ja","2012","Ostdeutschland","","","",""
"Nein","2012","Westdeutschland","","","",""
"Nein","2012","Ostdeutschland","","","",""
"Ja","2013","Westdeutschland","2981","","",""
"Ja","2013","Ostdeutschland","923","0.206718941067217","0.194823674155099","0.218614207979334"
"Nein","2013","Westdeutschland","11433","","",""
"Nein","2013","Ostdeutschland","3529","0.793281058932783","0.781385792020666","0.805176325844901"
"Ja","2014","Westdeutschland","","","",""
"Ja","2014","Ostdeutschland","","","",""
"Nein","2014","Westdeutschland","","","",""
"Nein","2014","Ostdeutschland","","","",""
"Ja","2015","Westdeutschland","3361","0.202810165871102","0.197207640264211","0.208412691477992"
"Ja","2015","Ostdeutschland","1047","","",""
"Nein","2015","Westdeutschland","16426","","",""
"Nein","2015","Ostdeutschland","4206","0.785513494558029","0.774413539957439","0.796613449158619"
"Ja","2016","Westdeutschland","","","",""
"Ja","2016","Ostdeutschland","","","",""
"Nein","2016","Westdeutschland","","","",""
"Nein","2016","Ostdeutschland","","","",""
"Ja","2017","Westdeutschland","3660","0.211206710385145","0.205680870815145","0.216732549955145"
"Ja","2017","Ostdeutschland","1142","","",""
"Nein","2017","Westdeutschland","17299","","",""
"Nein","2017","Ostdeutschland","4448","0.780335993038417","0.769482676800795","0.791189309276039"
"Ja","2018","Westdeutschland","","","",""
"Ja","2018","Ostdeutschland","","","",""
"Nein","2018","Westdeutschland","","","",""
"Nein","2018","Ostdeutschland","","","",""
"Ja","2019","Westdeutschland","3852","0.213089467459483","0.207439972035114","0.218738962883851"
"Ja","2019","Ostdeutschland","1162","","",""
"Nein","2019","Westdeutschland","16330","","",""
"Nein","2019","Ostdeutschland","4408","0.771693955776151","0.760670906536402","0.7827170050159"
