"ple0021","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2011","(noch) kein Abschluss","Schleswig-Holstein","3","","",""
"Ja","2011","(noch) kein Abschluss","Hamburg","1","","",""
"Ja","2011","(noch) kein Abschluss","Niedersachsen","9","","",""
"Ja","2011","(noch) kein Abschluss","Bremen","","","",""
"Ja","2011","(noch) kein Abschluss","Nordrhein-Westfalen","18","","",""
"Ja","2011","(noch) kein Abschluss","Hessen","9","","",""
"Ja","2011","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","1","","",""
"Ja","2011","(noch) kein Abschluss","Baden-Wuerttemberg","6","","",""
"Ja","2011","(noch) kein Abschluss","Bayern","17","","",""
"Ja","2011","(noch) kein Abschluss","Saarland","","","",""
"Ja","2011","(noch) kein Abschluss","Berlin","","","",""
"Ja","2011","(noch) kein Abschluss","Brandenburg","1","","",""
"Ja","2011","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2011","(noch) kein Abschluss","Sachsen","3","","",""
"Ja","2011","(noch) kein Abschluss","Sachsen-Anhalt","1","","",""
"Ja","2011","(noch) kein Abschluss","Thueringen","","","",""
"Ja","2011","Hauptschule","Schleswig-Holstein","54","0.263323277489814","0.207011756295899","0.319634798683729"
"Ja","2011","Hauptschule","Hamburg","20","","",""
"Ja","2011","Hauptschule","Niedersachsen","176","0.257794003504369","0.225596395521899","0.289991611486839"
"Ja","2011","Hauptschule","Bremen","10","","",""
"Ja","2011","Hauptschule","Nordrhein-Westfalen","431","0.293932591542536","0.271260627369665","0.316604555715407"
"Ja","2011","Hauptschule","Hessen","135","0.31361869557916","0.269193967880646","0.358043423277673"
"Ja","2011","Hauptschule","Rheinland-Pfalz,Saarland","159","0.285785214754203","0.249206067272866","0.32236436223554"
"Ja","2011","Hauptschule","Baden-Wuerttemberg","284","0.318270461660287","0.288203686259913","0.348337237060661"
"Ja","2011","Hauptschule","Bayern","345","0.268529507749002","0.244782196317621","0.292276819180384"
"Ja","2011","Hauptschule","Saarland","","","",""
"Ja","2011","Hauptschule","Berlin","39","0.311945320435317","0.232306076408355","0.39158456446228"
"Ja","2011","Hauptschule","Brandenburg","71","0.273421470808412","0.2153113927179","0.331531548898924"
"Ja","2011","Hauptschule","Mecklenburg-Vorpommern","31","0.370427557028009","0.27716571746768","0.463689396588338"
"Ja","2011","Hauptschule","Sachsen","123","0.388628711604985","0.335305593658945","0.441951829551024"
"Ja","2011","Hauptschule","Sachsen-Anhalt","67","0.279155291914784","0.221802052889734","0.336508530939834"
"Ja","2011","Hauptschule","Thueringen","82","0.282897769467415","0.22897328618129","0.336822252753539"
"Ja","2011","Realschule","Schleswig-Holstein","37","0.182544442513299","0.12702974189622","0.238059143130378"
"Ja","2011","Realschule","Hamburg","18","","",""
"Ja","2011","Realschule","Niedersachsen","91","0.175528681895091","0.143936304031749","0.207121059758433"
"Ja","2011","Realschule","Bremen","3","","",""
"Ja","2011","Realschule","Nordrhein-Westfalen","137","0.180789256331266","0.154764146152717","0.206814366509815"
"Ja","2011","Realschule","Hessen","57","0.183848026165111","0.142243461920403","0.225452590409818"
"Ja","2011","Realschule","Rheinland-Pfalz,Saarland","30","0.130846612352918","0.0882702037698009","0.173423020936034"
