year,rentown,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,West,,,,,,,,,,,,
1984,Tenant,West,,,,,,,,,,,,
1985,Owner,West,,,,,,,,,,,,
1985,Tenant,West,,,,,,,,,,,,
1986,Owner,West,,,,,,,,,,,,
1986,Tenant,West,,,,,,,,,,,,
1987,Owner,West,,,,,,,,,,,,
1987,Tenant,West,,,,,,,,,,,,
1988,Owner,West,,,,,,,,,,,,
1988,Tenant,West,,,,,,,,,,,,
1989,Owner,West,,,,,,,,,,,,
1989,Tenant,West,,,,,,,,,,,,
1990,Owner,West,,,,,,,,,,,,
1990,Owner,East,,,,,,,,,,,,
1990,Tenant,West,,,,,,,,,,,,
1990,Tenant,East,,,,,,,,,,,,
1991,Owner,West,,,,,,,,,,,,
1991,Owner,East,,,,,,,,,,,,
1991,Tenant,West,,,,,,,,,,,,
1991,Tenant,East,,,,,,,,,,,,
1992,Owner,West,,,,,,,,,,,,
1992,Owner,East,,,,,,,,,,,,
1992,Tenant,West,,,,,,,,,,,,
1992,Tenant,East,,,,,,,,,,,,
1993,Owner,West,,,,,,,,,,,,
1993,Owner,East,,,,,,,,,,,,
1993,Tenant,West,,,,,,,,,,,,
1993,Tenant,East,,,,,,,,,,,,
1994,Owner,West,,,,,,,,,,,,
1994,Owner,East,,,,,,,,,,,,
1994,Tenant,West,,,,,,,,,,,,
1994,Tenant,East,,,,,,,,,,,,
1995,Owner,West,,,,,,,,,,,,
1995,Owner,East,,,,,,,,,,,,
1995,Tenant,West,,,,,,,,,,,,
1995,Tenant,East,,,,,,,,,,,,
1996,Owner,West,,,,,,,,,,,,
1996,Owner,East,,,,,,,,,,,,
1996,Tenant,West,,,,,,,,,,,,
1996,Tenant,East,,,,,,,,,,,,
1997,Owner,West,,,,,,,,,,,,
1997,Owner,East,,,,,,,,,,,,
1997,Tenant,West,,,,,,,,,,,,
1997,Tenant,East,,,,,,,,,,,,
1998,Owner,West,,,,,,,,,,,,
1998,Owner,East,,,,,,,,,,,,
1998,Tenant,West,,,,,,,,,,,,
1998,Tenant,East,,,,,,,,,,,,
1999,Owner,West,,,,,,,,,,,,
1999,Owner,East,,,,,,,,,,,,
1999,Tenant,West,,,,,,,,,,,,
1999,Tenant,East,,,,,,,,,,,,
2000,Owner,West,,,,,,,,,,,,
2000,Owner,East,,,,,,,,,,,,
2000,Tenant,West,,,,,,,,,,,,
2000,Tenant,East,,,,,,,,,,,,
2001,Owner,West,4148,3.78065,3.73403,3.82728,3.00000,4.00000,5.00000,1.00000,7.00000,,,
2001,Owner,East,1101,3.38997,3.30488,3.47505,2.00000,3.00000,4.00000,1.00000,7.00000,,,
2001,Tenant,West,4655,3.10843,3.06594,3.15093,2.00000,3.00000,4.00000,1.00000,7.00000,,,
2001,Tenant,East,1736,3.13557,3.06317,3.20797,2.00000,3.00000,4.00000,1.00000,7.00000,,,
2002,Owner,West,,,,,,,,,,,,
2002,Owner,East,,,,,,,,,,,,
2002,Tenant,West,,,,,,,,,,,,
2002,Tenant,East,,,,,,,,,,,,
2003,Owner,West,,,,,,,,,,,,
2003,Owner,East,,,,,,,,,,,,
