"plh0192","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimme voll zu","2003","Schleswig-Holstein","maennlich","20","","",""
"Stimme voll zu","2003","Schleswig-Holstein","weiblich","31","0.0810536142548655","0.0520441363899949","0.110063092119736"
"Stimme voll zu","2003","Hamburg","maennlich","19","","",""
"Stimme voll zu","2003","Hamburg","weiblich","18","","",""
"Stimme voll zu","2003","Niedersachsen","maennlich","62","0.073064312433289","0.0562388198404825","0.0898898050260956"
"Stimme voll zu","2003","Niedersachsen","weiblich","63","0.0663917055677142","0.0507963238688301","0.0819870872665982"
"Stimme voll zu","2003","Bremen","maennlich","9","0.0742778556080967","0.0171726648599321","0.131383046356261"
"Stimme voll zu","2003","Bremen","weiblich","17","","",""
"Stimme voll zu","2003","Nordrhein-Westfalen","maennlich","134","","",""
"Stimme voll zu","2003","Nordrhein-Westfalen","weiblich","159","","",""
"Stimme voll zu","2003","Hessen","maennlich","45","0.0637796473959436","0.0460534020110397","0.0815058927808475"
"Stimme voll zu","2003","Hessen","weiblich","47","0.0644861322369346","0.047058270667","0.0819139938068693"
"Stimme voll zu","2003","Rheinland-Pfalz,Saarland","maennlich","37","0.0711944781891687","0.051162133424925","0.0912268229534125"
"Stimme voll zu","2003","Rheinland-Pfalz,Saarland","weiblich","46","0.0601141136624111","0.0426299563729613","0.0775982709518608"
"Stimme voll zu","2003","Baden-Wuerttemberg","maennlich","109","","",""
"Stimme voll zu","2003","Baden-Wuerttemberg","weiblich","111","","",""
"Stimme voll zu","2003","Bayern","maennlich","107","","",""
"Stimme voll zu","2003","Bayern","weiblich","108","","",""
"Stimme voll zu","2003","Saarland","maennlich","","","",""
"Stimme voll zu","2003","Saarland","weiblich","","","",""
"Stimme voll zu","2003","Berlin","maennlich","49","0.0996671904723167","0.0706360509182424","0.128698330026391"
"Stimme voll zu","2003","Berlin","weiblich","42","0.0984882011242542","0.069785304252764","0.127191097995744"
"Stimme voll zu","2003","Brandenburg","maennlich","10","","",""
"Stimme voll zu","2003","Brandenburg","weiblich","17","","",""
"Stimme voll zu","2003","Mecklenburg-Vorpommern","maennlich","9","0.0509390514534641","0.0232369390793621","0.0786411638275661"
"Stimme voll zu","2003","Mecklenburg-Vorpommern","weiblich","7","0.0229739863174956","0.00548781296785203","0.0404601596671393"
"Stimme voll zu","2003","Sachsen","maennlich","25","","",""
"Stimme voll zu","2003","Sachsen","weiblich","27","","",""
"Stimme voll zu","2003","Sachsen-Anhalt","maennlich","17","","",""
"Stimme voll zu","2003","Sachsen-Anhalt","weiblich","18","","",""
"Stimme voll zu","2003","Thueringen","maennlich","19","","",""
"Stimme voll zu","2003","Thueringen","weiblich","25","","",""
"Stimme eher zu","2003","Schleswig-Holstein","maennlich","180","","",""
"Stimme eher zu","2003","Schleswig-Holstein","weiblich","190","","",""
"Stimme eher zu","2003","Hamburg","maennlich","86","0.595307993481488","0.512202666609474","0.678413320353501"
"Stimme eher zu","2003","Hamburg","weiblich","96","0.586724341984437","0.509942855840408","0.663505828128465"
"Stimme eher zu","2003","Niedersachsen","maennlich","530","0.530305518398903","0.498038329063569","0.562572707734237"
"Stimme eher zu","2003","Niedersachsen","weiblich","569","0.568769938610959","0.537747239799843","0.599792637422074"
