"ple0055","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","Schleswig-Holstein","Westdeutschland","","","",""
"0","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"0","1984","Hamburg","Westdeutschland","","","",""
"0","1984","Hamburg","Ostdeutschland","","","",""
"0","1984","Niedersachsen","Westdeutschland","","","",""
"0","1984","Niedersachsen","Ostdeutschland","","","",""
"0","1984","Bremen","Westdeutschland","","","",""
"0","1984","Bremen","Ostdeutschland","","","",""
"0","1984","Nordrhein-Westfalen","Westdeutschland","2","","",""
"0","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"0","1984","Hessen","Westdeutschland","","","",""
"0","1984","Hessen","Ostdeutschland","","","",""
"0","1984","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"0","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"0","1984","Baden-Wuerttemberg","Westdeutschland","","","",""
"0","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"0","1984","Bayern","Westdeutschland","","","",""
"0","1984","Bayern","Ostdeutschland","","","",""
"0","1984","Saarland","Westdeutschland","","","",""
"0","1984","Saarland","Ostdeutschland","","","",""
"0","1984","Berlin","Westdeutschland","","","",""
"0","1984","Berlin","Ostdeutschland","","","",""
"0","1984","Brandenburg","Westdeutschland","","","",""
"0","1984","Brandenburg","Ostdeutschland","","","",""
"0","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"0","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"0","1984","Sachsen","Westdeutschland","","","",""
"0","1984","Sachsen","Ostdeutschland","","","",""
"0","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"0","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"0","1984","Thueringen","Westdeutschland","","","",""
"0","1984","Thueringen","Ostdeutschland","","","",""
"1","1984","Schleswig-Holstein","Westdeutschland","34","0.881835503993611","0.779200953099149","0.984470054888072"
"1","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"1","1984","Hamburg","Westdeutschland","26","","",""
"1","1984","Hamburg","Ostdeutschland","","","",""
"1","1984","Niedersachsen","Westdeutschland","108","","",""
"1","1984","Niedersachsen","Ostdeutschland","","","",""
"1","1984","Bremen","Westdeutschland","15","","",""
"1","1984","Bremen","Ostdeutschland","","","",""
"1","1984","Nordrhein-Westfalen","Westdeutschland","284","","",""
"1","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"1","1984","Hessen","Westdeutschland","106","","",""
"1","1984","Hessen","Ostdeutschland","","","",""
"1","1984","Rheinland-Pfalz,Saarland","Westdeutschland","69","0.792903671750308","0.707259999774364","0.878547343726251"
"1","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"1","1984","Baden-Wuerttemberg","Westdeutschland","206","","",""
"1","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"1","1984","Bayern","Westdeutschland","178","","",""
"1","1984","Bayern","Ostdeutschland","","","",""
"1","1984","Saarland","Westdeutschland","","","",""
"1","1984","Saarland","Ostdeutschland","","","",""
"1","1984","Berlin","Westdeutschland","30","0.855241580950815","0.738673300950518","0.971809860951113"
"1","1984","Berlin","Ostdeutschland","","","",""
"1","1984","Brandenburg","Westdeutschland","","","",""
"1","1984","Brandenburg","Ostdeutschland","","","",""
"1","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"1","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"1","1984","Sachsen","Westdeutschland","","","",""
"1","1984","Sachsen","Ostdeutschland","","","",""
"1","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"1","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"1","1984","Thueringen","Westdeutschland","","","",""
"1","1984","Thueringen","Ostdeutschland","","","",""
"2","1984","Schleswig-Holstein","Westdeutschland","3","","",""
"2","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"2","1984","Hamburg","Westdeutschland","2","","",""
"2","1984","Hamburg","Ostdeutschland","","","",""
"2","1984","Niedersachsen","Westdeutschland","10","","",""
"2","1984","Niedersachsen","Ostdeutschland","","","",""
"2","1984","Bremen","Westdeutschland","2","","",""
"2","1984","Bremen","Ostdeutschland","","","",""
"2","1984","Nordrhein-Westfalen","Westdeutschland","42","0.13427355073145","0.0984520275376604","0.170095073925239"
"2","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"2","1984","Hessen","Westdeutschland","20","","",""
"2","1984","Hessen","Ostdeutschland","","","",""
"2","1984","Rheinland-Pfalz,Saarland","Westdeutschland","13","","",""
"2","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"2","1984","Baden-Wuerttemberg","Westdeutschland","25","","",""
"2","1984","Baden-Wuerttemberg","Ostdeutschland","","","",""
"2","1984","Bayern","Westdeutschland","23","","",""
"2","1984","Bayern","Ostdeutschland","","","",""
"2","1984","Saarland","Westdeutschland","","","",""
"2","1984","Saarland","Ostdeutschland","","","",""
"2","1984","Berlin","Westdeutschland","2","","",""
"2","1984","Berlin","Ostdeutschland","","","",""
"2","1984","Brandenburg","Westdeutschland","","","",""
"2","1984","Brandenburg","Ostdeutschland","","","",""
"2","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
