year,sampreg,pli0083,proportion,n,lower_confidence,upper_confidence
1990,Westdeutschland,Taeglich,0.7862240484429066,18165,0.7802620623841974,0.7921860345016158
1990,Westdeutschland,Min 1x pro Woche,0.15095155709342561,18165,0.14574532645329322,0.156157787733558
1990,Westdeutschland,Seltener,0.03579152249134948,18165,0.0330899667711521,0.03849307821154686
1990,Westdeutschland,Min 1x pro Monat,0.016544117647058824,18165,0.01468914454603759,0.018399090748080056
1990,Westdeutschland,Nie,0.010488754325259515,18165,0.009007223493201225,0.011970285157317805
1995,Westdeutschland,Taeglich,0.6016166281755196,17246,0.5943099093106681,0.6089233470403712
1995,Ostdeutschland,Taeglich,0.24280215550423404,17246,0.23640270279687875,0.24920160821158932
1995,Westdeutschland,Min 1x pro Woche,0.0867590454195535,17246,0.08255795573788749,0.0909601351012195
1995,Ostdeutschland,Min 1x pro Woche,0.023941493456505005,17246,0.021659967443213766,0.026223019469796244
1995,Westdeutschland,Seltener,0.017628945342571208,17246,0.015664848828227173,0.019593041856915242
1995,Westdeutschland,Min 1x pro Monat,0.009468822170900693,17246,0.008023402583840744,0.010914241757960642
1995,Westdeutschland,Nie,0.007159353348729792,17246,0.005901040724964464,0.00841766597249512
1995,Ostdeutschland,Seltener,0.006928406466512702,17246,0.005690411613014841,0.008166401320010563
1995,Ostdeutschland,Nie,0.0020015396458814474,17246,0.0013344888378815823,0.0026685904538813125
1995,Ostdeutschland,Min 1x pro Monat,0.0016936104695919939,17246,0.0010799183158327107,0.002307302623351277
1998,Westdeutschland,Taeglich,0.6142959770114943,18147,0.6072137544310183,0.6213781995919703
1998,Ostdeutschland,Taeglich,0.23929597701149424,18147,0.2330882986465963,0.24550365537639218
1998,Westdeutschland,Min 1x pro Woche,0.08074712643678161,18147,0.07678311692617325,0.08471113594738998
1998,Ostdeutschland,Min 1x pro Woche,0.022198275862068965,18147,0.020054700912192983,0.024341850811944947
1998,Westdeutschland,Seltener,0.017744252873563217,18147,0.015823396911215263,0.01966510883591117
