"ple0053","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1984","(noch) kein Abschluss","Westdeutschland","151","0.0869384635277661","0.0715037309052316","0.102373196150301"
"Ja","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1984","Hauptschule","Westdeutschland","865","0.124034151570142","0.116440983197822","0.131627319942462"
"Ja","1984","Hauptschule","Ostdeutschland","","","",""
"Ja","1984","Realschule","Westdeutschland","194","0.103873429540722","0.0900784324382415","0.117668426643203"
"Ja","1984","Realschule","Ostdeutschland","","","",""
"Ja","1984","(Fach-)Abitur","Westdeutschland","85","0.0791359602870474","0.0611462266699778","0.0971256939041169"
"Ja","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1984","AkademikerIn","Westdeutschland","61","0.0833613946914011","0.0640487263253944","0.102674063057408"
"Ja","1984","AkademikerIn","Ostdeutschland","","","",""
"Nein","1984","(noch) kein Abschluss","Westdeutschland","1129","0.913061536472234","0.8976268038497","0.928496269094768"
"Nein","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1984","Hauptschule","Westdeutschland","6374","0.875965848429858","0.868372680057538","0.883559016802178"
"Nein","1984","Hauptschule","Ostdeutschland","","","",""
"Nein","1984","Realschule","Westdeutschland","1685","0.896126570459278","0.882331573356797","0.909921567561758"
"Nein","1984","Realschule","Ostdeutschland","","","",""
"Nein","1984","(Fach-)Abitur","Westdeutschland","780","0.920864039712953","0.902874306095883","0.938853773330022"
"Nein","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1984","AkademikerIn","Westdeutschland","726","0.916638605308599","0.897325936942592","0.935951273674606"
"Nein","1984","AkademikerIn","Ostdeutschland","","","",""
"Ja","1985","(noch) kein Abschluss","Westdeutschland","133","0.112446176353606","0.0936572106305281","0.131235142076684"
"Ja","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1985","Hauptschule","Westdeutschland","755","0.118188788903746","0.110294349889492","0.126083227918001"
"Ja","1985","Hauptschule","Ostdeutschland","","","",""
"Ja","1985","Realschule","Westdeutschland","197","0.110763065724892","0.09632078840981","0.125205343039973"
"Ja","1985","Realschule","Ostdeutschland","","","",""
"Ja","1985","(Fach-)Abitur","Westdeutschland","84","0.0958377387620519","0.0752585483690302","0.116416929155074"
"Ja","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1985","AkademikerIn","Westdeutschland","72","0.0988497598974643","0.0775463644625233","0.120153155332405"
"Ja","1985","AkademikerIn","Ostdeutschland","","","",""
"Nein","1985","(noch) kein Abschluss","Westdeutschland","953","0.887553823646394","0.868764857923316","0.906342789369472"
"Nein","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1985","Hauptschule","Westdeutschland","5669","0.881811211096254","0.873916772081999","0.889705650110509"
"Nein","1985","Hauptschule","Ostdeutschland","","","",""
"Nein","1985","Realschule","Westdeutschland","1617","0.889236934275108","0.874794656960026","0.90367921159019"
"Nein","1985","Realschule","Ostdeutschland","","","",""
"Nein","1985","(Fach-)Abitur","Westdeutschland","702","0.904162261237948","0.883583070844926","0.92474145163097"
"Nein","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1985","AkademikerIn","Westdeutschland","682","0.901150240102536","0.879846844667595","0.922453635537477"
"Nein","1985","AkademikerIn","Ostdeutschland","","","",""
"Ja","1986","(noch) kein Abschluss","Westdeutschland","138","0.122791268513444","0.102709145337948","0.14287339168894"
"Ja","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1986","Hauptschule","Westdeutschland","763","0.126740644523566","0.118372834942483","0.13510845410465"
"Ja","1986","Hauptschule","Ostdeutschland","","","",""
"Ja","1986","Realschule","Westdeutschland","213","0.130181859449505","0.114491991734955","0.145871727164054"
"Ja","1986","Realschule","Ostdeutschland","","","",""
"Ja","1986","(Fach-)Abitur","Westdeutschland","88","0.0910035161104441","0.0711475621102386","0.11085947011065"
"Ja","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1986","AkademikerIn","Westdeutschland","74","0.107588579490195","0.0853829576999365","0.129794201280454"
"Ja","1986","AkademikerIn","Ostdeutschland","","","",""
"Nein","1986","(noch) kein Abschluss","Westdeutschland","888","0.877208731486556","0.857126608311059","0.897290854662052"
"Nein","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1986","Hauptschule","Westdeutschland","5309","0.873259355476434","0.86489154589535","0.881627165057517"
